GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,BUS ID,C0,C1,C2,Csu,capex1,capex2,capex3,fuel_cost1,fuel_cost2,fuel_cost3,fixed_ops1,fixed_ops2,fixed_ops3,var_ops1,var_ops2,var_ops3
1,107,NUC,N,,,1.0,2430.0,729.0,894.24,-199.26,48.0,48.0,121.5,,,,,,,1200,0.81035,0.3,0.533333333,0.766666667,1.0,,3598445.116,14469.74764,15739.27908,-30209.02672,,107.0,0.0,17.44,0.0016,1200.0,7040.489322,6966.178959,6731.224251,7.210946358,7.294679868,7.378403404,145.96,145.96,145.96,2.84,2.84,2.84
2,100,CT,G,,,1.0,304.6,91.38,170.58,-19.49,1.0,2.0,68.4,,,,,,,69,2.29,0.3,0.533333333,0.766666667,1.0,,9177.90393,876.9683769,884.0271279,-1760.995505,,100.0,597.0,27.85,0.0016,69.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
3,100,CT,G,,,1.0,236.0,70.8,132.16,-15.1,1.0,2.0,10.8,,,,,,,61,2.29,0.3,0.533333333,0.766666667,1.0,,6286.462882,1330.12852,1334.365848,-2664.494368,,100.0,363.0,55.0,0.0016,61.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
4,100,CT,G,,,1.0,176.4,52.92,98.78,-11.29,1.0,2.0,44.86,,,,,,,46,2.29,0.3,0.533333333,0.766666667,1.0,,3543.406114,869.3063895,871.6737546,-1740.980144,,100.0,548.0,48.13,0.0016,46.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
5,100,CT,G,,,1.0,380.7,114.21,213.19,-24.36,1.0,2.0,76.76,,,,,,,37,2.29,0.3,0.533333333,0.766666667,1.0,,6151.048035,1347.097252,1358.123654,-2705.220907,,100.0,316.0,34.22,0.0016,37.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
6,100,COAL,C,,,1.0,842.5,252.75,392.6,-102.79,12.0,12.0,51.34,,,,,,,310,1.78,0.3,0.533333333,0.766666667,1.0,,146727.5281,2241.197253,2310.671423,-4551.868677,,100.0,1372.0,19.17,0.0016,310.0,3009.084047,2863.00038,2715.719307,19.27003,19.73475,18.93942,73.16,71.08,69.84,7.85,7.56,7.44
7,100,CT,G,,,1.0,177.3,53.19,99.29,-11.35,1.0,2.0,41.95,,,,,,,59,2.29,0.3,0.533333333,0.766666667,1.0,,4567.991266,813.2438725,815.6354559,-1628.879328,,100.0,49.0,44.78,0.0016,59.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
8,100,CT,G,,,1.0,381.8,114.54,213.81,-24.44,1.0,2.0,83.05,,,,,,,62,2.29,0.3,0.533333333,0.766666667,1.0,,10336.94323,1298.139266,1309.22948,-2607.368746,,100.0,435.0,32.86,0.0016,62.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
9,50,PV,S,,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,444.4444444,1333.333333,-1777.777778,,50.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
10,62,CT,G,,,1.0,92.7,27.81,51.91,-5.93,1.0,2.0,18.1,,,,,,,61,2.29,0.3,0.533333333,0.766666667,1.0,,2469.30131,224.4570603,225.1108341,-449.5678944,,62.0,340.0,23.64,0.0016,61.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
11,62,CT,G,,,1.0,678.1,203.43,379.74,-43.4,1.0,2.0,177.34,,,,,,,69,2.29,0.3,0.533333333,0.766666667,1.0,,20431.83406,3744.443853,3779.426732,-7523.870585,,62.0,2129.0,53.29,0.0016,69.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
12,62,CT,G,,,1.0,260.0,78.0,145.6,-16.64,1.0,2.0,63.35,,,,,,,12,2.29,0.3,0.533333333,0.766666667,1.0,,1362.445415,887.1285784,892.2715575,-1779.400136,,62.0,413.0,33.14,0.0016,12.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
13,62,CT,G,,,1.0,497.9,149.37,278.82,-31.87,1.0,2.0,20.87,,,,,,,70,2.29,0.3,0.533333333,0.766666667,1.0,,15219.65066,1935.121084,1953.981546,-3889.10263,,62.0,3108.0,37.48,0.0016,70.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
14,110,CT,G,,,1.0,22.0,6.6,12.32,-1.41,1.0,2.0,3.52,,,,,,,12,2.29,0.3,0.533333333,0.766666667,1.0,,115.2838428,53.79763222,53.83445473,-107.6320869,,110.0,505.0,23.97,0.0016,12.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
15,110,CT,G,,,1.0,50.1,15.03,28.06,-3.21,1.0,2.0,7.7,,,,,,,44,2.29,0.3,0.533333333,0.766666667,1.0,,962.6200873,224.2376821,224.4286426,-448.6663247,,110.0,122.0,43.86,0.0016,44.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
16,110,CT,G,,,1.0,203.2,60.96,94.69,-24.79,1.0,2.0,53.95,,,,,,,76,2.29,0.3,0.533333333,0.766666667,1.0,,6743.755459,981.4132107,984.5545545,-1965.967765,,110.0,322.0,47.13,0.0016,76.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
17,32,PV,S,,,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,1e-05,0.0,0.333333333,0.666666667,1.0,,0.0,113777.7778,341333.3333,-455111.1111,,32.0,0.0,0.0,0.0016,0.0,981.7075546,754.3966071,720.7850088,0.0,0.0,0.0,18.1653519,15.22157173,14.72060919,0.0,0.0,0.0
18,32,CT,G,,,1.0,432.0,129.6,241.92,-27.65,1.0,2.0,29.11,,,,,,,75,2.29,0.3,0.533333333,0.766666667,1.0,,14148.47162,2259.680699,2273.878973,-4533.559672,,32.0,3088.0,50.76,0.0016,75.0,958.3056411,928.7012334,908.9649616,21.62404,18.03036,22.80128,26.87,26.87,26.87,1.76,1.76,1.76
