Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-07-01,674764.605295,241093.01,241093.01,54.578631,0.248999,164521.495309,3493.92414,0.0,8063.575399,0.0,0.0,207,13444.478162,78316.876435,-171178439.399918,0.0,-200759.905452,0.0,-171379199.30537,0.0,0.0,-171379199.30537,-253.983683
2035-07-02,694258.31383,298026.9,298026.9,73.376368,0.165092,110129.929353,4486.603072,0.0,9930.552935,0.0,0.0,120,10749.09,67050.086606,-153639217.0656,0.0,542435.460067,0.0,-153096781.605533,0.0,14231.64277,-153082549.962764,-220.497972
2035-07-03,677762.362067,315902.36,315902.36,85.222365,0.154728,100619.390315,4249.750041,0.0,8820.110312,0.0,0.0,111,10342.29,82622.037466,-167224275.267105,0.0,14350030.374384,0.0,-152874244.892721,0.0,10359.095183,-152863885.797538,-225.542011
2035-07-04,697743.799241,318813.78,318813.78,81.967036,0.17136,115156.371275,4409.282119,0.0,10023.631752,0.0,0.0,107,10885.71,77506.215929,-206268261.618459,0.0,-463267.409273,0.0,-206731529.027732,0.0,0.0,-206731529.027732,-296.285727
2035-07-05,739158.213675,316869.82,316869.82,73.357998,0.192848,138255.222363,4289.807943,0.0,9661.534432,0.0,0.0,95,10190.85,60235.059553,-180605431.481752,0.0,-345873.539159,0.0,-180951305.020911,0.0,0.0,-180951305.020911,-244.807271
2035-07-06,720237.069243,263761.66,263761.66,56.327929,0.182543,127148.727297,4325.558517,6.850669,11792.327774,0.0,0.0,97,7594.47,68056.013715,-187979308.37417,0.0,2437804.732034,0.0,-185541503.642136,0.0,0.0,-185541503.642136,-257.611711
2035-07-07,694295.329169,174894.49,174894.49,33.421271,0.185223,123134.992564,5464.384155,0.0,3902.08535,0.0,0.0,114,11167.77,71535.142182,-108066199.586266,0.0,-233674.200266,0.0,-108299873.786531,0.0,0.0,-108299873.786531,-155.985312
2035-07-08,727903.701155,194954.5,194954.5,36.018768,0.227251,159678.930448,5737.625415,34.222987,8343.125876,0.0,0.0,112,13071.99,81636.012798,-159266698.080869,0.0,-4912518.764386,0.0,-164179216.845255,0.0,0.0,-164179216.845255,-225.550738
2035-07-09,741356.416227,263624.93,263624.93,54.051563,0.259618,187634.775091,4834.522281,0.0,9997.106612,0.0,0.0,110,9691.14,77836.131714,-170029615.936141,0.0,364700.750597,0.0,-169664915.185544,0.0,0.0,-169664915.185544,-228.857418
2035-07-10,749857.325044,212741.5,212741.5,38.978335,0.228226,165013.569527,6123.163598,0.0,8678.398964,0.0,0.0,112,12047.56,68919.294807,-162960173.651727,0.0,-288101.501074,0.0,-163248275.152801,0.0,0.0,-163248275.152801,-217.705782
2035-07-11,712690.193818,176655.88,176655.88,32.266196,0.246163,169397.223405,6040.803154,0.0,11460.90587,0.0,0.0,107,9477.66,77218.314592,-164485235.834843,0.0,-125625.77921,0.0,-164610861.614054,0.0,0.0,-164610861.614054,-230.971133
2035-07-12,715912.314456,134207.69,134207.69,22.839459,0.212037,144695.778419,7104.269261,0.0,5908.628686,0.0,0.0,77,5660.16,67574.389975,-121132320.739809,0.0,74236.649904,0.0,-121058084.089905,0.0,0.0,-121058084.089905,-169.096245
