Date,Hour,Minute,Type,Solve Time
2035-07-01,0,0,SCED,0.06
2035-07-01,1,0,SCED,0.049
2035-07-01,2,0,SCED,0.063
2035-07-01,3,0,SCED,0.061
2035-07-01,4,0,SCED,0.046
2035-07-01,5,0,SCED,0.067
2035-07-01,6,0,SCED,0.069
2035-07-01,7,0,SCED,0.075
2035-07-01,8,0,SCED,0.068
2035-07-01,9,0,SCED,0.055
2035-07-01,10,0,SCED,0.065
2035-07-01,11,0,SCED,0.047
2035-07-01,12,0,SCED,0.054
2035-07-01,13,0,SCED,0.065
2035-07-01,14,0,SCED,0.061
2035-07-01,15,0,SCED,0.059
2035-07-01,16,0,SCED,0.071
2035-07-01,17,0,SCED,0.062
2035-07-01,18,0,SCED,0.054
2035-07-01,19,0,SCED,0.059
2035-07-01,20,0,SCED,0.057
2035-07-01,21,0,SCED,0.065
2035-07-01,22,0,SCED,0.05
2035-07-01,23,0,SCED,0.053
2035-07-02,0,0,SCED,0.058
2035-07-02,1,0,SCED,0.049
2035-07-02,2,0,SCED,0.055
2035-07-02,3,0,SCED,0.058
2035-07-02,4,0,SCED,0.064
2035-07-02,5,0,SCED,0.057
2035-07-02,6,0,SCED,0.048
2035-07-02,7,0,SCED,0.049
2035-07-02,8,0,SCED,0.069
2035-07-02,9,0,SCED,0.048
2035-07-02,10,0,SCED,0.046
2035-07-02,11,0,SCED,0.056
2035-07-02,12,0,SCED,0.052
2035-07-02,13,0,SCED,0.089
2035-07-02,14,0,SCED,0.074
2035-07-02,15,0,SCED,0.068
2035-07-02,16,0,SCED,0.064
2035-07-02,17,0,SCED,0.075
2035-07-02,18,0,SCED,0.068
2035-07-02,19,0,SCED,0.061
2035-07-02,20,0,SCED,0.045
2035-07-02,21,0,SCED,0.078
2035-07-02,22,0,SCED,0.047
2035-07-02,23,0,SCED,0.056
2035-07-03,0,0,SCED,0.059
2035-07-03,1,0,SCED,0.106
2035-07-03,2,0,SCED,0.107
2035-07-03,3,0,SCED,0.062
2035-07-03,4,0,SCED,0.048
2035-07-03,5,0,SCED,0.045
2035-07-03,6,0,SCED,0.06
2035-07-03,7,0,SCED,0.049
2035-07-03,8,0,SCED,0.06
2035-07-03,9,0,SCED,0.065
2035-07-03,10,0,SCED,0.062
2035-07-03,11,0,SCED,0.065
2035-07-03,12,0,SCED,0.057
2035-07-03,13,0,SCED,0.055
2035-07-03,14,0,SCED,0.067
2035-07-03,15,0,SCED,0.069
2035-07-03,16,0,SCED,0.053
2035-07-03,17,0,SCED,0.101
2035-07-03,18,0,SCED,0.055
2035-07-03,19,0,SCED,0.061
2035-07-03,20,0,SCED,0.074
2035-07-03,21,0,SCED,0.062
2035-07-03,22,0,SCED,0.074
2035-07-03,23,0,SCED,0.073
2035-07-04,0,0,SCED,0.063
2035-07-04,1,0,SCED,0.06
2035-07-04,2,0,SCED,0.064
2035-07-04,3,0,SCED,0.06
2035-07-04,4,0,SCED,0.062
2035-07-04,5,0,SCED,0.048
2035-07-04,6,0,SCED,0.061
2035-07-04,7,0,SCED,0.063
2035-07-04,8,0,SCED,0.067
2035-07-04,9,0,SCED,0.086
2035-07-04,10,0,SCED,0.079
2035-07-04,11,0,SCED,0.077
2035-07-04,12,0,SCED,0.057
2035-07-04,13,0,SCED,0.065
2035-07-04,14,0,SCED,0.05
2035-07-04,15,0,SCED,0.082
2035-07-04,16,0,SCED,0.064
2035-07-04,17,0,SCED,0.062
2035-07-04,18,0,SCED,0.066
2035-07-04,19,0,SCED,0.049
2035-07-04,20,0,SCED,0.07
2035-07-04,21,0,SCED,0.055
2035-07-04,22,0,SCED,0.047
2035-07-04,23,0,SCED,0.061
2035-07-05,0,0,SCED,0.084
2035-07-05,1,0,SCED,0.051
2035-07-05,2,0,SCED,0.05
2035-07-05,3,0,SCED,0.059
2035-07-05,4,0,SCED,0.062
2035-07-05,5,0,SCED,0.063
2035-07-05,6,0,SCED,0.072
2035-07-05,7,0,SCED,0.065
2035-07-05,8,0,SCED,0.06
2035-07-05,9,0,SCED,0.074
