GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,C0,C1,C2,Csu,BUS ID
1,107,NUC,N,,,1,2430.0,729.0,894.24,-199.26,48,48,121.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2542670294888964,0.3,0.5333333333333333,0.7666666666666666,1.0,,24220.398593200473,29018.325414944164,33216.51138396988,37414.69735299563,,0,17.44,0.003,1200,107
2,100,CT,G,,,1,304.6,91.38,170.58,-19.49,1,2,68.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7474486691506212,0.3,0.5333333333333333,0.7666666666666666,1.0,,15333.711021971689,13048.326055312955,13544.908296943233,14041.490538573506,,597,27.85,0.008,69,100
3,100,CT,G,,,1,236.0,70.8,132.16,-15.1,1,2,10.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9229601319820884,0.3,0.5333333333333333,0.7666666666666666,1.0,,26503.719931907337,24704.512372634636,25089.25764192141,25474.00291120814,,363,55.0,0.008,61,100
4,100,CT,G,,,1,176.4,52.92,98.78,-11.29,1,2,44.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.058997509430901,0.3,0.5333333333333333,0.7666666666666666,1.0,,25724.285245587806,21531.004366812227,21818.585152838426,22106.165938864644,,548,48.13,0.008,46,100
5,100,CT,G,,,1,380.7,114.21,213.19,-24.36,1,2,76.76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4205052287937323,0.3,0.5333333333333333,0.7666666666666666,1.0,,16550.442369816734,16051.528384279472,16672.17467248908,17292.820960698693,,316,34.22,0.008,37,100
7,100,CT,G,,,1,177.3,53.19,99.29,-11.35,1,2,41.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1360456725120747,0.3,0.5333333333333333,0.7666666666666666,1.0,,20142.683752979145,20070.742358078613,20359.790393013092,20648.838427947587,,49,44.78,0.008,59,100
8,100,CT,G,,,1,381.8,114.54,213.81,-24.44,1,2,83.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4747758680424798,0.3,0.5333333333333333,0.7666666666666666,1.0,,16407.912618005725,15460.844250363896,16083.283842794763,16705.723435225616,,435,32.86,0.008,62,100
9,50,PV,S,,,1,2.35,0.0,0.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,50
10,62,CT,G,,,1,92.7,27.81,51.91,-5.93,1,2,18.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1524829417099514,0.3,0.5333333333333333,0.7666666666666666,1.0,,15759.082118367149,10593.01310043668,10744.139737991265,10895.266375545862,,340,23.64,0.008,61,62
11,62,CT,G,,,1,678.1,203.43,379.74,-43.4,1,2,177.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9032058305272381,0.3,0.5333333333333333,0.7666666666666666,1.0,,28551.50934229063,25244.8326055313,26350.323144104794,27455.813682678323,,2129,53.29,0.008,69,62
