Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2035-01-01,0,0,Tennessee Colony 345,26.317859,0.0,0.0,23.480355,23.480355
2035-01-01,0,0,Wheeler 345,172.330631,0.0,0.0,23.241793,23.241793
2035-01-01,0,0,Alpine 2 345,96.408579,0.0,0.0,23.643898,23.643898
2035-01-01,0,0,Rosharon 345,81.921553,0.0,0.0,23.709316,23.709316
2035-01-01,0,0,Sullivan City 345,27.247793,0.0,0.0,23.268989,23.268989
2035-01-01,0,0,Prosper 345,334.016606,0.0,0.0,23.364367,23.364367
2035-01-01,0,0,Eastland 345,23.471014,0.0,0.0,22.951521,22.951521
2035-01-01,0,0,Fischer 345,153.840081,0.0,0.0,23.41886,23.41886
2035-01-01,0,0,Bryan 1 345,56.115463,0.0,0.0,23.44403,23.44403
2035-01-01,0,0,Rowlett 1 345,592.919948,0.0,0.0,23.364423,23.364423
2035-01-01,0,0,Weatherford 3 345,24.993621,0.0,0.0,23.363524,23.363524
2035-01-01,0,0,Odonnell 345,233.717969,0.0,0.0,23.051665,23.051665
2035-01-01,0,0,Dallas 10 345,438.901948,0.0,0.0,23.364711,23.364711
2035-01-01,0,0,O'Donnell 345,49.761206,0.0,0.0,23.059197,23.059197
2035-01-01,0,0,Canyon Lake 1 345,39.333507,0.0,0.0,23.418342,23.418342
2035-01-01,0,0,Adrian 1 345,15.85013,0.0,0.0,23.059197,23.059197
2035-01-01,0,0,Austin 17 345,161.689361,0.0,0.0,23.42155,23.42155
2035-01-01,0,0,Taft 2 345,94.360584,0.0,0.0,23.259274,23.259274
2035-01-01,0,0,Dilley 1 345,63.421588,0.0,0.0,23.360282,23.360282
2035-01-01,0,0,Dallas 8 345,268.725058,0.0,0.0,23.361732,23.361732
2035-01-01,0,0,San Angelo 3 345,213.879253,0.0,0.0,23.608381,23.608381
2035-01-01,0,0,Carlsbad 345,142.09215,0.0,0.0,23.646013,23.646013
2035-01-01,0,0,Dale 345,130.389026,0.0,0.0,23.417308,23.417308
2035-01-01,0,0,Brenham 345,136.525208,0.0,0.0,23.315637,23.315637
2035-01-01,0,0,Raymondville 345,172.872963,0.0,0.0,23.26316,23.26316
2035-01-01,0,0,Mccamey 345,195.336289,0.0,0.0,23.643898,23.643898
2035-01-01,0,0,Fort Worth 16 345,572.554329,0.0,0.0,23.359368,23.359368
2035-01-01,0,0,Art 345,86.623104,0.0,0.0,23.480915,23.480915
2035-01-01,0,0,Austin 22 345,956.837878,0.0,0.0,23.42155,23.42155
2035-01-01,0,0,Abilene 2 345,279.738131,0.0,0.0,22.967446,22.967446
2035-01-01,0,0,Campbellton 345,29.309115,0.0,0.0,23.308623,23.308623
2035-01-01,0,0,Corpus Christi 11 345,233.571688,0.0,0.0,23.259609,23.259609
2035-01-01,0,0,New Braunfels 2 345,244.266497,0.0,0.0,23.423731,23.423731
2035-01-01,0,0,Abilene 5 345,337.785337,0.0,0.0,22.955218,22.955218
2035-01-01,0,0,Rule 2 345,154.916574,0.0,0.0,23.201023,23.201023
2035-01-01,0,0,Cedar Creek 2 345,18.669866,0.0,0.0,23.415818,23.415818
2035-01-01,0,0,Fort Worth 15 345,142.12,0.0,0.0,23.356638,23.356638
2035-01-01,0,0,Lytle 345,41.504468,0.0,0.0,23.339639,23.339639
2035-01-01,0,0,Conroe 4 345,59.088154,0.0,0.0,23.595416,23.595416
2035-01-01,0,0,Gordon 345,52.508872,0.0,0.0,23.432847,23.432847
2035-01-01,0,0,Melvin 345,67.001296,0.0,0.0,23.552389,23.552389
2035-01-01,0,0,Blum 345,146.104055,0.0,0.0,23.371965,23.371965
2035-01-01,0,0,Rockdale 2 345,40.853034,0.0,0.0,23.407843,23.407843
2035-01-01,0,0,Richards 2 345,2.506027,0.0,0.0,23.529275,23.529275
2035-01-01,0,0,Tarpley 345,142.235535,0.0,0.0,23.468306,23.468306
2035-01-01,0,0,Bayside 3 345,67.927732,0.0,0.0,23.246552,23.246552
2035-01-01,0,0,San Antonio 25 345,658.197455,0.0,0.0,23.411505,23.411505
2035-01-01,0,0,Roscoe 2 345,36.094247,0.0,0.0,22.983646,22.983646
2035-01-01,0,0,Lopeno 345,126.919876,0.0,0.0,23.278723,23.278723
2035-01-01,0,0,Crane 2 345,439.438159,0.0,0.0,23.641875,23.641875
2035-01-01,0,0,Brownsville 1 345,162.460892,0.0,0.0,23.263354,23.263354
2035-01-01,0,0,San Antonio 14 345,227.048409,0.0,0.0,23.362097,23.362097
2035-01-01,0,0,Monahans 2 345,260.472886,0.0,0.0,23.643898,23.643898
2035-01-01,0,0,Centerville 345,24.022449,0.0,0.0,23.530636,23.530636
2035-01-01,0,0,Fort Worth 10 345,190.849437,0.0,0.0,23.351498,23.351498
2035-01-01,0,0,Del Valle 345,103.927951,0.0,0.0,23.417308,23.417308
2035-01-01,0,0,Texas City 2 345,160.184291,0.0,0.0,23.700358,23.700358
2035-01-01,0,0,Electra 345,856.399067,0.0,0.0,23.355227,23.355227
2035-01-01,0,0,Odessa 8 345,839.545788,0.0,0.0,23.641875,23.641875
2035-01-01,0,0,Weatherford 2 345,158.266855,0.0,0.0,23.374529,23.374529
2035-01-01,0,0,Burnet 345,466.601466,0.0,0.0,23.448789,23.448789
2035-01-01,0,0,Feeeport 345,133.14069,0.0,0.0,23.709316,23.709316
2035-01-01,0,0,Waco 2 345,267.569563,0.0,0.0,23.291743,23.291743
2035-01-01,0,0,San Antonio 33 345,432.010434,0.0,0.0,23.406633,23.406633
2035-01-01,0,0,Calliham 345,59.576984,0.0,0.0,23.305991,23.305991
2035-01-01,0,0,Eden 345,19.251294,0.0,0.0,23.579525,23.579525
2035-01-01,0,0,Tomball 1 345,286.250987,0.0,0.0,23.629316,23.629316
2035-01-01,0,0,Houston 46 345,402.401268,0.0,0.0,9.689636,9.689636
