Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2035-01-01,0,0.0,0.0,11567.674807,0.0
2035-01-01,1,0.0,0.0,12459.469545,0.0
2035-01-01,2,0.0,0.0,14855.520906,0.0
2035-01-01,3,0.0,0.0,15789.08694,0.0
2035-01-01,4,0.0,0.0,10565.118733,0.0
2035-01-01,5,0.0,0.0,9593.821095,0.0
2035-01-01,6,0.0,0.0,11522.498341,0.0
2035-01-01,7,0.0,0.0,11810.40859,0.0
2035-01-01,8,0.0,0.0,11344.503278,0.0
2035-01-01,9,0.0,0.0,11007.791262,0.0
2035-01-01,10,0.0,0.0,7953.850791,0.0
2035-01-01,11,0.0,0.0,5553.59309,4.678056
2035-01-01,12,0.0,0.0,6773.967992,768.702231
2035-01-01,13,0.0,0.0,8028.561675,753.394903
2035-01-01,14,0.0,0.0,7202.68691,680.652559
2035-01-01,15,0.0,0.0,7188.013193,520.880214
2035-01-01,16,0.0,0.0,8407.097257,101.92966
2035-01-01,17,0.0,0.0,12844.751736,0.0
2035-01-01,18,0.0,0.0,17019.449031,0.0
2035-01-01,19,0.0,0.0,14903.800248,0.0
2035-01-01,20,0.0,0.0,15866.655682,0.0
2035-01-01,21,0.0,0.0,15791.108914,0.0
2035-01-01,22,0.0,0.0,15388.499789,0.0
2035-01-01,23,0.0,0.0,15928.877283,0.0
2035-01-02,0,0.0,0.0,16071.321787,0.0
2035-01-02,1,0.0,0.0,16211.378795,0.0
2035-01-02,2,0.0,0.0,16050.990414,0.0
2035-01-02,3,0.0,0.0,16011.101136,0.0
2035-01-02,4,0.0,0.0,15776.510423,0.0
2035-01-02,5,0.0,0.0,16277.893798,0.0
2035-01-02,6,0.0,0.0,16624.082561,0.0
2035-01-02,7,0.0,0.0,16464.17861,0.0
2035-01-02,8,0.0,0.0,15112.801002,0.0
2035-01-02,9,0.0,0.0,15341.028576,0.0
2035-01-02,10,0.0,0.0,16307.50902,0.0
2035-01-02,11,0.0,0.0,15108.712334,0.0
2035-01-02,12,0.0,0.0,13102.981245,0.0
2035-01-02,13,0.0,0.0,8892.473848,129.900982
2035-01-02,14,0.0,0.0,9218.481504,276.921968
2035-01-02,15,0.0,0.0,8868.660662,157.11915
2035-01-02,16,0.0,0.0,12656.137077,0.0
2035-01-02,17,0.0,0.0,16600.708639,0.0
2035-01-02,18,0.0,0.0,17439.55207,0.0
2035-01-02,19,0.0,0.0,17328.059685,0.0
2035-01-02,20,0.0,0.0,18137.174028,0.0
2035-01-02,21,0.0,0.0,17683.858908,0.0
2035-01-02,22,0.0,0.0,17419.340235,0.0
2035-01-02,23,0.0,0.0,16481.80819,0.0
2035-01-03,0,0.0,0.0,16522.374783,0.0
2035-01-03,1,0.0,0.0,17695.518008,0.0
2035-01-03,2,0.0,0.0,17675.05931,0.0
2035-01-03,3,0.0,0.0,17693.359628,0.0
2035-01-03,4,0.0,0.0,17450.754835,0.0
2035-01-03,5,0.0,0.0,16554.980422,0.0
2035-01-03,6,0.0,0.0,16386.057397,0.0
2035-01-03,7,0.0,0.0,16713.268904,0.0
2035-01-03,8,0.0,0.0,16806.585012,0.0
2035-01-03,9,0.0,0.0,17368.833548,0.0
2035-01-03,10,0.0,0.0,13182.003338,0.0
2035-01-03,11,0.0,0.0,9411.882104,65.871375
2035-01-03,12,0.0,0.0,8260.73693,801.416835
2035-01-03,13,0.0,0.0,7068.918533,1453.431338
2035-01-03,14,0.0,0.0,6558.040562,1409.220986
2035-01-03,15,0.0,0.0,7560.256802,1197.763625
2035-01-03,16,0.0,0.0,9655.67201,878.668896
2035-01-03,17,0.0,0.0,9883.474521,74.634034
2035-01-03,18,0.0,0.0,12386.458569,0.0
2035-01-03,19,0.0,0.0,15770.712389,0.0
2035-01-03,20,0.0,0.0,16822.627541,0.0
2035-01-03,21,0.0,0.0,16977.816718,0.0
2035-01-03,22,0.0,0.0,17160.261604,0.0
2035-01-03,23,0.0,0.0,17268.907269,0.0
2035-01-04,0,0.0,0.0,18380.125054,0.0
2035-01-04,1,0.0,0.0,16845.187654,0.0
2035-01-04,2,0.0,0.0,17061.899181,0.0
2035-01-04,3,0.0,0.0,17068.590429,0.0
2035-01-04,4,0.0,0.0,16946.339574,0.0
2035-01-04,5,0.0,0.0,15471.387743,0.0
2035-01-04,6,0.0,0.0,15416.873366,0.0
2035-01-04,7,0.0,0.0,15642.045808,0.0
2035-01-04,8,0.0,0.0,15970.812201,0.0
2035-01-04,9,0.0,0.0,16685.03764,0.0
2035-01-04,10,0.0,0.0,14776.003177,0.0
2035-01-04,11,0.0,0.0,10746.520037,0.0
2035-01-04,12,0.0,0.0,8775.024973,327.845617
2035-01-04,13,0.0,0.0,8625.800688,925.799169
2035-01-04,14,0.0,0.0,7618.889305,813.330454
2035-01-04,15,0.0,0.0,7367.154362,506.865519
2035-01-04,16,0.0,0.0,10581.931725,0.0
2035-01-04,17,0.0,0.0,12985.18958,0.0
2035-01-04,18,0.0,0.0,14281.155717,0.0
2035-01-04,19,0.0,0.0,14564.063906,0.0
2035-01-04,20,0.0,0.0,14603.675046,0.0
2035-01-04,21,0.0,0.0,15103.737918,0.0
2035-01-04,22,0.0,0.0,14882.398792,0.0
2035-01-04,23,0.0,0.0,14624.744458,0.0
