Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2035-01-01,0,310665.039259,157130.044862,153534.994397,0.0,0.0,0.0,7084.69,0.0,25898.575193,11.995449
2035-01-01,1,288683.501207,154994.352038,133689.14917,0.0,0.0,0.0,8213.48,0.0,26123.177155,11.050857
2035-01-01,2,280617.487874,164668.67927,115948.808603,0.0,0.0,0.0,8678.61,0.0,26187.229094,10.715814
2035-01-01,3,273794.438824,164666.519677,109127.919147,0.0,0.0,0.0,9038.32,0.0,26236.06636,10.435804
2035-01-01,4,276008.927507,171544.15518,104464.772326,0.0,0.0,0.0,9310.06,0.0,26387.695771,10.459759
2035-01-01,5,284696.273846,145926.490143,138769.783703,0.0,0.0,0.0,10132.13,0.0,26741.518905,10.646227
2035-01-01,6,281539.148876,145919.960164,135619.188712,0.0,0.0,0.0,10640.52,0.0,27121.491659,10.380666
2035-01-01,7,274881.604188,145919.960164,128961.644023,0.0,0.0,0.0,11102.49,0.0,27295.55141,10.070564
2035-01-01,8,292756.073259,152704.593893,140051.479366,0.0,0.0,0.0,10313.64,0.0,27270.896722,10.73511
2035-01-01,9,307379.927129,159287.940533,148091.986596,0.0,0.0,0.0,9766.04,0.0,27325.528738,11.248819
2035-01-01,10,282540.807076,208972.389035,73568.41804,0.0,0.0,0.0,11394.56,0.0,27593.13559,10.239532
2035-01-01,11,337058.921539,125593.202995,211465.718544,0.0,4.678056,0.0,11582.54,0.0,27479.618855,12.265779
2035-01-01,12,320023.858528,127365.749892,192658.108637,0.0,768.702231,0.0,12554.74,0.0,27238.749777,11.748845
2035-01-01,13,309130.086299,127363.625555,181766.460744,0.0,753.394903,0.0,13638.88,0.0,27244.323422,11.346587
2035-01-01,14,317513.953596,125621.898619,191892.054977,0.0,680.652559,0.0,13198.1,0.0,27438.560531,11.571815
2035-01-01,15,324786.263967,148924.870858,175861.393109,0.0,520.880214,0.0,12547.12,0.0,27949.786124,11.620349
2035-01-01,16,379993.397309,164986.781537,215006.615771,0.0,101.92966,0.0,11336.75,0.0,29035.163083,13.087352
2035-01-01,17,357870.109555,256525.139921,101344.969635,0.0,0.0,0.0,9771.29,0.0,30132.015208,11.87674
2035-01-01,18,365883.988,199494.106764,166389.881237,0.0,0.0,0.0,8638.62,0.0,29959.624572,12.212569
2035-01-01,19,391141.979389,189194.780684,201947.198706,0.0,0.0,0.0,7169.14,0.0,29601.709752,13.213493
2035-01-01,20,368788.329123,189194.780684,179593.548439,0.0,0.0,0.0,7724.21,0.0,29193.924318,12.632366
2035-01-01,21,370766.972631,189194.780684,181572.191948,0.0,0.0,0.0,7142.44,0.0,28687.701086,12.924248
2035-01-01,22,381253.199217,189194.780684,192058.418534,0.0,0.0,0.0,6021.61,0.0,27969.480211,13.631043
2035-01-01,23,360693.085864,193874.714108,166818.371755,0.0,0.0,0.0,6104.6,0.0,27230.779417,13.245786
2035-01-02,0,346810.386767,185943.048795,160867.337972,0.0,0.0,0.0,6087.56,0.0,26649.081513,13.013971
2035-01-02,1,332877.618847,179878.137116,152999.481731,0.0,0.0,0.0,6466.59,0.0,26423.281205,12.597891
2035-01-02,2,336185.520332,179878.137116,156307.383216,0.0,0.0,0.0,6196.74,0.0,26313.819586,12.776006
2035-01-02,3,336420.755353,179878.137116,156542.618237,0.0,0.0,0.0,6383.79,0.0,26540.758864,12.675627
2035-01-02,4,347379.072687,198244.591887,149134.4808,0.0,0.0,0.0,6570.16,0.0,27208.679577,12.767215
2035-01-02,5,371196.087777,196642.768071,174553.319707,0.0,0.0,0.0,6470.76,0.0,28019.746202,13.247661
2035-01-02,6,372968.610577,196640.910326,176327.700251,0.0,0.0,0.0,6431.3,0.0,28067.187439,13.288421
2035-01-02,7,378084.561757,198178.75674,179905.805017,0.0,0.0,0.0,6556.88,0.0,28413.15139,13.306675
2035-01-02,8,431329.43846,217278.282339,214051.15612,0.0,0.0,0.0,5219.46,0.0,29363.888998,14.689111
2035-01-02,9,472340.448243,220140.030184,252200.418058,0.0,0.0,0.0,4689.01,0.0,30602.011424,15.434948
2035-01-02,10,458839.861629,222574.741724,236265.119905,0.0,0.0,0.0,6234.09,0.0,31579.42098,14.529711
2035-01-02,11,502410.870413,264239.787022,238171.083391,0.0,0.0,0.0,5270.36,0.0,32380.90868,15.515651
2035-01-02,12,509922.816561,294504.387534,215418.429027,0.0,0.0,0.0,5812.75,0.0,32942.180909,15.479328
2035-01-02,13,579770.869686,203342.980503,376427.889184,0.0,129.900982,0.0,6632.78,0.0,33356.54517,17.381023
2035-01-02,14,575744.723478,203338.763103,372405.960374,0.0,276.921968,0.0,6997.16,0.0,33640.456529,17.114653
2035-01-02,15,574598.540842,203609.631909,370988.908934,0.0,157.11915,0.0,6828.09,0.0,33810.270188,16.994793
2035-01-02,16,530431.45367,298153.282769,232278.170901,0.0,0.0,0.0,6265.85,0.0,33932.825201,15.631809
2035-01-02,17,549840.215203,283393.826307,266446.388896,0.0,0.0,0.0,4657.98,0.0,33901.411361,16.2188
2035-01-02,18,553715.827722,256779.278087,296936.549635,0.0,0.0,0.0,3219.11,0.0,32742.05793,16.911455
2035-01-02,19,554136.158757,256779.278087,297356.880671,0.0,0.0,0.0,2255.55,0.0,31801.810315,17.424673
2035-01-02,20,528619.523736,255480.47154,273139.052196,0.0,0.0,0.0,2438.49,0.0,30906.835972,17.103644
2035-01-02,21,504778.219365,251820.590836,252957.628529,0.0,0.0,0.0,2779.23,0.0,30220.261092,16.703304
2035-01-02,22,479215.36041,233837.400773,245377.959636,0.0,0.0,0.0,3132.81,0.0,29445.569765,16.274617
2035-01-02,23,492466.6051,233837.400773,258629.204327,0.0,0.0,0.0,1837.47,0.0,28720.84181,17.146663
2035-01-03,0,488069.512515,237413.47707,250656.035445,0.0,0.0,0.0,1374.76,0.0,28073.751917,17.385261
2035-01-03,1,478547.42596,235843.27507,242704.15089,0.0,0.0,0.0,1471.6,0.0,27769.781992,17.232668
2035-01-03,2,478926.751042,235843.27507,243083.475972,0.0,0.0,0.0,1295.07,0.0,27613.71069,17.343803
2035-01-03,3,478302.792805,235843.27507,242459.517735,0.0,0.0,0.0,1388.99,0.0,27689.330372,17.273902
2035-01-03,4,483712.032581,251353.400099,232358.632482,0.0,0.0,0.0,1635.36,0.0,28162.468465,17.175768
2035-01-03,5,516946.305861,261367.796972,255578.508888,0.0,0.0,0.0,907.71,0.0,28601.416178,18.074151
2035-01-03,6,513288.943211,248977.171143,264311.772068,0.0,0.0,0.0,1124.77,0.0,28402.692603,18.071841
2035-01-03,7,498431.980535,242681.010436,255750.9701,0.0,0.0,0.0,2369.69,0.0,28783.821096,17.316394
2035-01-03,8,485220.645693,242681.010436,242539.635258,0.0,0.0,0.0,2947.48,0.0,28794.46139,16.85118
2035-01-03,9,453823.174071,236183.549747,217639.624323,0.0,0.0,0.0,4134.39,0.0,28532.356452,15.905562
2035-01-03,10,383626.758525,271809.454458,111817.304067,0.0,0.0,0.0,7407.55,0.0,28467.33651,13.476033
2035-01-03,11,397616.320008,179915.321388,217700.99862,0.0,65.871375,0.0,10230.24,0.0,28286.486522,14.056759
2035-01-03,12,357060.483023,173093.800354,183966.682669,0.0,801.416835,0.0,12259.68,0.0,27905.266236,12.795452
2035-01-03,13,305217.494464,128366.616007,176850.878457,0.0,1453.431338,0.0,14500.31,0.0,27579.143488,11.066968
2035-01-03,14,307192.975108,117637.73443,189555.240679,0.0,1409.220986,0.0,14263.94,0.0,27317.678452,11.245208
2035-01-03,15,288059.315707,150062.147433,137997.168273,0.0,1197.763625,0.0,13705.07,0.0,27427.429572,10.5026
2035-01-03,16,346677.882922,166650.711953,180027.170969,0.0,878.668896,0.0,12873.42,0.0,28109.789094,12.332995
2035-01-03,17,407716.844347,184448.608163,223268.236184,0.0,74.634034,0.0,9675.94,0.0,28972.521444,14.072536
2035-01-03,18,446611.197161,284387.895671,162223.30149,0.0,0.0,0.0,5768.68,0.0,29297.264944,15.244126
2035-01-03,19,519098.472474,249620.804809,269477.667665,0.0,0.0,0.0,2104.34,0.0,29403.124311,17.654534
2035-01-03,20,513951.905004,247843.4997,266108.405304,0.0,0.0,0.0,2214.94,0.0,29369.712459,17.499385
2035-01-03,21,503945.945671,251253.040545,252692.905126,0.0,0.0,0.0,2675.31,0.0,29453.049982,17.110145
2035-01-03,22,488506.469931,247049.433636,241457.036295,0.0,0.0,0.0,3080.42,0.0,29228.801696,16.713188
2035-01-03,23,470065.806508,254217.971386,215847.835122,0.0,0.0,0.0,3072.71,0.0,28868.092731,16.28323
2035-01-04,0,455649.349665,245856.939198,209792.410467,0.0,0.0,0.0,3213.76,0.0,28561.432503,15.953309
2035-01-04,1,446387.866618,220195.273033,226192.593586,0.0,0.0,0.0,3666.83,0.0,28643.012346,15.584529
2035-01-04,2,441672.385783,220195.273033,221477.11275,0.0,0.0,0.0,3943.99,0.0,28717.390819,15.379962
2035-01-04,3,440975.038245,220195.273033,220779.765212,0.0,0.0,0.0,4456.0,0.0,29208.779571,15.097346
2035-01-04,4,443629.455233,220195.273033,223434.1822,0.0,0.0,0.0,4938.14,0.0,29813.170426,14.880318
2035-01-04,5,469380.462563,236321.066964,233059.3956,0.0,0.0,0.0,4636.55,0.0,30620.935557,15.328743
2035-01-04,6,488374.08575,227306.590425,261067.495324,0.0,0.0,0.0,4455.68,0.0,30987.926634,15.760141
2035-01-04,7,489042.083452,227302.481201,261739.602251,0.0,0.0,0.0,4572.74,0.0,31137.694192,15.70579
2035-01-04,8,481496.412123,227302.481201,254193.930922,0.0,0.0,0.0,4308.53,0.0,30544.717799,15.763656
2035-01-04,9,440564.949531,227302.481201,213262.46833,0.0,0.0,0.0,4251.52,0.0,28715.56236,15.342376
2035-01-04,10,366023.600961,203823.643456,162199.957505,0.0,0.0,0.0,6009.58,0.0,27240.250123,13.436866
2035-01-04,11,338494.549197,244264.075386,94230.473811,0.0,0.0,0.0,6972.49,0.0,25955.636073,13.041274
2035-01-04,12,352347.561766,170621.221619,181726.340147,0.0,327.845617,0.0,8585.51,0.0,24850.00271,14.178975
2035-01-04,13,295017.119838,128881.307888,166135.81195,0.0,925.799169,0.0,10465.25,0.0,24194.092646,12.193767
2035-01-04,14,300013.946028,129548.716403,170465.229624,0.0,813.330454,0.0,9612.25,0.0,23775.433534,12.618653
2035-01-04,15,328710.408892,135090.559392,193619.849501,0.0,506.865519,0.0,8540.21,0.0,23837.11012,13.78986
2035-01-04,16,298611.103952,206574.751779,92036.352173,0.0,0.0,0.0,7076.65,0.0,24177.688275,12.350689
2035-01-04,17,356177.129238,197840.024905,158337.104333,0.0,0.0,0.0,4953.15,0.0,24880.49042,14.315519
2035-01-04,18,419338.719406,219554.154777,199784.564629,0.0,0.0,0.0,3113.72,0.0,25972.214283,16.145667
2035-01-04,19,470547.583828,219536.802202,251010.781627,0.0,0.0,0.0,1349.6,0.0,26503.636094,17.754077
2035-01-04,20,469515.690531,219536.802202,249978.888329,0.0,0.0,0.0,1753.25,0.0,26867.674954,17.475114
2035-01-04,21,457681.444005,219536.802202,238144.641803,0.0,0.0,0.0,2575.83,0.0,27190.192082,16.832593
2035-01-04,22,435381.528101,219536.802202,215844.725899,0.0,0.0,0.0,3540.86,0.0,27192.241208,16.011241
2035-01-04,23,412979.532399,221284.101755,191695.430644,0.0,0.0,0.0,3884.96,0.0,27062.872242,15.260004
2035-01-05,0,401486.410185,220197.137891,181289.272295,0.0,0.0,0.0,4151.51,0.0,27126.716342,14.800406
2035-01-05,1,401788.605334,211635.120646,190153.484688,0.0,0.0,0.0,4453.42,0.0,27510.057609,14.605153
2035-01-05,2,411367.192125,206153.327821,205213.864304,0.0,0.0,0.0,4460.07,0.0,27929.875111,14.728573
2035-01-05,3,427341.581663,216546.38087,210795.200793,0.0,0.0,0.0,4592.27,0.0,28752.784218,14.862616
2035-01-05,4,446940.07873,220199.359921,226740.718808,0.0,0.0,0.0,4618.81,0.0,29626.936805,15.085599
2035-01-05,5,475069.678011,227256.555003,247813.123008,0.0,0.0,0.0,4354.56,0.0,30584.097761,15.533225
2035-01-05,6,505749.338294,251828.714539,253920.623755,0.0,0.0,0.0,3983.12,0.0,31505.750426,16.052604
2035-01-05,7,530356.327203,253121.370561,277234.956642,0.0,0.0,0.0,3695.07,0.0,32297.135846,16.421157
2035-01-05,8,535532.38402,253119.397382,282412.986638,0.0,0.0,0.0,2741.18,0.0,31560.64203,16.968362
2035-01-05,9,487416.031738,253119.397382,234296.634356,0.0,0.0,0.0,2405.91,0.0,29146.577005,16.722925
2035-01-05,10,403127.403223,218076.448841,185050.954381,0.0,0.0,0.0,3746.81,0.0,26845.820319,15.016394
2035-01-05,11,338439.235245,201332.2351,137107.000145,0.0,0.0,0.0,4761.8,0.0,25027.308374,13.522798
2035-01-05,12,305888.112004,214991.346533,90896.765471,0.0,0.0,0.0,6136.05,0.0,23770.65063,12.86831
2035-01-05,13,332288.547692,157156.854912,175131.69278,0.0,242.177053,0.0,7407.24,0.0,23024.920054,14.431692
2035-01-05,14,295726.862013,127369.259353,168357.60266,0.0,360.327498,0.0,7964.16,0.0,22660.187802,13.050504
2035-01-05,15,311140.762797,136866.838185,174273.924612,0.0,222.049967,0.0,8030.07,0.0,22729.14528,13.689066
2035-01-05,16,257794.841046,196320.09375,61474.747296,0.0,0.0,0.0,7765.86,0.0,23255.767953,11.0852
2035-01-05,17,307929.078187,166620.144417,141308.933769,0.0,0.0,0.0,6047.92,0.0,24024.84251,12.817111
2035-01-05,18,359350.509485,185586.162238,173764.347247,0.0,0.0,0.0,4669.66,0.0,24873.587003,14.447072
2035-01-05,19,390204.051692,185578.108547,204625.943145,0.0,0.0,0.0,3453.74,0.0,24991.026677,15.613766
2035-01-05,20,366310.445292,185578.108547,180732.336745,0.0,0.0,0.0,4369.95,0.0,24897.271042,14.712875
2035-01-05,21,338507.424247,177573.719102,160933.705144,0.0,0.0,0.0,5733.02,0.0,25058.689565,13.508584
2035-01-05,22,316122.587804,165636.20315,150486.384654,0.0,0.0,0.0,6617.96,0.0,24962.810935,12.663742
2035-01-05,23,308597.483401,165634.229972,142963.253429,0.0,0.0,0.0,6854.3,0.0,24868.605031,12.409119
2035-01-06,0,295437.820474,171428.177868,124009.642605,0.0,0.0,0.0,7125.13,0.0,24639.838673,11.99025
2035-01-06,1,290722.976998,161643.941269,129079.03573,0.0,0.0,0.0,7375.5,0.0,24731.513287,11.755163
2035-01-06,2,299634.478781,161643.941269,137990.537513,0.0,0.0,0.0,7188.17,0.0,24933.380466,12.017403
2035-01-06,3,315981.766691,168563.404763,147418.361928,0.0,0.0,0.0,7090.7,0.0,25564.191058,12.360327
2035-01-06,4,332925.982793,168559.171006,164366.811787,0.0,0.0,0.0,6960.75,0.0,26168.726481,12.722284
2035-01-06,5,322526.853641,157934.112711,164592.74093,0.0,0.0,0.0,8090.3,0.0,26590.375866,12.129458
2035-01-06,6,315131.718542,166998.624672,148133.093871,0.0,0.0,0.0,9063.24,0.0,27238.518793,11.569341
2035-01-06,7,318811.592069,166996.719943,151814.872127,0.0,0.0,0.0,9491.24,0.0,27832.780221,11.454536
2035-01-06,8,308416.079916,166996.719943,141419.359974,0.0,0.0,0.0,9640.47,0.0,27523.492478,11.205558
2035-01-06,9,287005.504998,159372.45564,127633.049358,0.0,0.0,0.0,9217.62,0.0,26161.412436,10.970566
2035-01-06,10,226984.221095,152435.914753,74548.306342,0.0,0.0,0.0,10178.11,0.0,24456.533745,9.281128
2035-01-06,11,223728.705883,195689.028544,28039.67734,0.0,0.0,0.0,10355.85,0.0,23491.960037,9.523629
2035-01-06,12,258935.477833,102056.481506,156878.996327,0.0,142.899647,0.0,11566.79,0.0,22834.753617,11.339535
2035-01-06,13,232978.61023,92943.873857,140034.736374,0.0,823.176126,0.0,13642.84,0.0,22642.646883,10.289372
2035-01-06,14,232206.135365,89369.82693,142836.308436,0.0,856.665737,0.0,13656.39,0.0,22619.721825,10.265649
2035-01-06,15,242278.779751,95205.732637,147073.047114,0.0,773.780653,0.0,13459.89,0.0,22898.532282,10.580538
2035-01-06,16,256780.001697,95200.565276,161579.436421,0.0,652.595696,0.0,13368.06,0.0,23501.190379,10.926255
2035-01-06,17,275582.89698,230641.167412,44941.729568,0.0,0.0,0.0,10982.58,0.0,24194.093149,11.390503
