Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.302954,233104.58,233104.58,53.823213,11.499225,4360831.107496,3267091.291861,0.0,2855.298968,0.0,0.0,213,9134.64,55303.757396,-14294515.258891,0.0,9007581.598483,0.0,-5286933.660407,0.0,0.0,-5286933.660407,-7.970144
2035-01-02,726983.002101,125433.97,125433.97,20.832265,15.198699,5514137.018711,5535058.907421,0.0,564.898065,0.0,0.0,121,9319.23,44451.181944,-6007456.762157,0.0,13594866.178663,0.0,7587409.416507,0.0,0.0,7587409.416507,10.436846
2035-01-03,682109.488598,132482.37,132482.37,23.846473,15.486532,5598243.568487,4965266.539465,0.0,5936.681514,0.0,0.0,146,10661.7,51166.645252,-21724236.617385,0.0,12131979.849405,0.0,-9592256.76798,0.0,0.0,-9592256.76798,-14.062635
2035-01-04,656650.156974,120877.05,120877.05,22.453381,14.974217,4959372.181455,4873449.880062,0.0,2573.657605,0.0,0.0,132,11802.99,49970.721279,-10216303.534017,0.0,11904084.839782,0.0,1687781.305765,0.0,0.0,1687781.305765,2.57029
2035-01-05,637031.206328,123014.46,123014.46,23.893596,14.397605,4936074.844415,4235649.11074,0.0,826.062065,0.0,0.0,127,11051.4,43921.341552,-5742570.394369,0.0,11091188.055437,0.0,5348617.661067,0.0,0.0,5348617.661067,8.396163
2035-01-06,592596.149833,244023.16,244023.16,69.359944,11.016911,3718145.456418,2810433.303422,0.0,3248.459455,0.0,0.0,175,15788.07,43987.134142,-10672076.046063,0.0,7844801.610181,0.0,-2827274.435882,0.0,10839.666672,-2816434.769209,-4.752705
2035-01-07,569691.44938,221254.05,221254.05,62.579122,12.971528,4097789.906856,3291978.793417,0.0,5121.48944,0.0,0.0,166,17687.52,46192.085467,-22210389.801562,0.0,6476201.772505,0.0,-15734188.029057,0.0,0.0,-15734188.029057,-27.618789
2035-01-08,582052.849943,140257.4,140257.4,31.68664,15.63748,4888033.719162,4213806.290971,0.0,843.46642,0.0,0.0,142,12267.06,45112.847581,-6268833.019187,0.0,10348241.03287,0.0,4079408.013683,0.0,0.0,4079408.013683,7.008656
2035-01-09,603907.619822,188693.31,188693.31,45.24438,12.015373,4179444.870877,3076730.138516,0.0,1839.274914,0.0,0.0,138,15772.53,49414.096159,-8418330.368629,0.0,8612797.765665,0.0,194467.397036,0.0,0.0,194467.397036,0.322015
2035-01-10,638003.835019,145912.71,145912.71,29.651563,13.038726,4534170.242076,3784587.226124,0.0,0.0,0.0,0.0,53,4285.41,18449.394391,3085906.093047,0.0,10376458.468528,0.0,13462364.561575,0.0,0.0,13462364.561575,21.100758
2035-01-11,620297.209078,232627.42,232627.42,59.254726,11.364266,4097648.172709,2951574.209208,0.0,4919.012026,0.0,0.0,155,13044.69,51548.202896,-17943214.534488,0.0,7883180.143715,0.0,-10060034.390773,0.0,0.0,-10060034.390773,-16.218087
2035-01-12,602320.734294,190023.65,190023.65,46.006192,12.404966,4181107.731053,3290660.223566,0.0,742.206832,0.0,0.0,148,16539.15,49139.207186,-4364779.915095,0.0,9237313.772344,0.0,4872533.85725,0.0,11836.214697,4884370.071947,8.109251
2035-01-13,659410.430019,126226.88,126226.88,23.45584,16.320002,5572167.229593,5189412.6034,0.0,4963.375186,0.0,0.0,110,10082.58,51324.999079,-17707646.027176,0.0,12514093.018603,0.0,-5193553.008573,0.0,0.0,-5193553.008573,-7.876055
2035-01-14,688782.440938,91060.29,91060.29,15.195268,17.277005,5588044.77244,6312053.17957,0.0,1545.252225,0.0,0.0,107,7553.76,45399.298891,-10010052.187128,0.0,14436394.521431,0.0,4426342.334304,0.0,0.0,4426342.334304,6.426329
2035-01-15,673421.620924,114341.41,114341.41,20.354778,15.511809,5256868.070978,5189119.601271,0.0,2662.155332,0.0,0.0,120,9652.23,68863.562059,-13021370.489511,0.0,12559212.509803,0.0,-462157.979708,0.0,0.0,-462157.979708,-0.686283
2035-01-16,621948.924768,180778.43,180778.43,40.684984,12.819942,4195776.112832,3777573.250319,0.0,3166.484148,0.0,0.0,155,14933.34,52650.486494,-12255893.136084,0.0,9555943.423634,0.0,-2699949.71245,0.0,0.0,-2699949.71245,-4.341112
2035-01-17,534083.481179,130404.88,130404.88,32.226067,12.695232,3975285.00856,2805028.516004,0.0,977.913096,0.0,0.0,114,11862.99,41333.320817,-7663528.328824,0.0,8144961.910326,0.0,481433.581503,0.0,0.0,481433.581503,0.90142
2035-01-18,537475.7759,266171.01,266171.01,95.796077,9.185787,3002555.142925,1934582.844114,0.0,6546.916118,0.0,0.0,138,13721.88,42469.78821,-16960906.002216,0.0,5942153.015128,0.0,-11018752.987089,0.0,0.0,-11018752.987089,-20.500929
2035-01-19,598474.767546,212451.12,212451.12,55.035779,12.724531,4374094.59744,3241216.147972,0.0,0.0,0.0,0.0,77,11992.02,34868.18522,3148384.831778,0.0,8639868.895355,0.0,11788253.727133,0.0,0.0,11788253.727133,19.697161
2035-01-20,640524.693593,118051.07,118051.07,22.594647,15.459538,5286011.773613,4616204.115668,0.0,0.0,0.0,0.0,87,7267.83,32047.403727,2595201.955106,0.0,11685615.886776,0.0,14280817.841882,0.0,0.0,14280817.841882,22.295499
2035-01-21,636762.366665,267959.46,267959.46,72.656548,8.915434,3452020.375697,2224992.426932,0.0,0.0,0.0,0.0,43,4261.86,19066.687716,4763405.485108,0.0,7083792.811034,0.0,11847198.296142,0.0,0.0,11847198.296142,18.605368
2035-01-22,567369.41284,302732.76,302732.76,111.917983,8.600442,2867073.541562,2012553.961942,0.0,5858.537421,0.0,0.0,166,19083.27,48426.970182,-15298092.657284,0.0,5803571.90827,0.0,-9494520.749014,0.0,0.0,-9494520.749014,-16.734284
2035-01-23,661218.553883,190859.6,190859.6,40.237519,15.252571,5420916.528749,4664366.530537,0.0,3973.473936,0.0,0.0,180,17541.39,56479.728147,-15108281.86265,0.0,11137761.493796,0.0,-3970520.368853,0.0,0.0,-3970520.368853,-6.004853
2035-01-24,636175.618773,135691.51,135691.51,26.914142,16.103221,5112358.351689,5132118.018757,9.322081,3689.57467,0.0,0.0,146,11653.26,46716.362471,-12245337.892407,0.0,12599117.369805,0.0,353779.477398,0.0,0.0,353779.477398,0.556103
2035-01-25,611827.030199,125846.98,125846.98,25.747564,14.527548,4421636.564459,4466710.031741,0.0,2792.324273,0.0,0.0,121,9293.91,50701.639319,-12992100.522944,0.0,10794204.822124,0.0,-2197895.700821,0.0,0.0,-2197895.700821,-3.592348
2035-01-26,608348.316044,102864.84,102864.84,20.264425,15.202076,4753551.603054,4494605.726805,0.0,2129.442372,0.0,0.0,124,12525.69,49053.626207,-10028089.950298,0.0,11190230.264714,0.0,1162140.314416,0.0,0.0,1162140.314416,1.910321
2035-01-27,600117.084295,109702.25,109702.25,22.244967,15.015385,4700666.593015,4310322.258916,0.0,2740.54193,0.0,0.0,122,9121.23,45778.694477,-15052746.142681,0.0,10292042.025524,0.0,-4760704.117156,0.0,0.0,-4760704.117156,-7.932959
2035-01-28,625786.155689,213339.45,213339.45,51.163182,12.848597,4309227.285039,3731246.594146,0.0,4531.754345,0.0,0.0,166,16062.3,53278.119265,-15003057.24519,0.0,9382637.069682,0.0,-5620420.175507,0.0,11187.029028,-5609233.146479,-8.963498
