Year,Month,Day,Period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
2019,1,1,1,86.22,98.07,144.28,191.66,28.42,555.01,39.00,158.95,183.84,985.21,41.53,349.77,729.29,74.47,40.64,9.02,167.06,98.42,66.15,446.52,138.54,92.04,134.72,141.06,180.31,292.33,951.37,56.11,988.62,181.20,30.57,243.62,252.38,218.80,88.16,19.29,236.15,43.29,138.24,87.25,43.40,242.77,42.21,8.21,146.96,70.85,680.06,23.38,132.38,657.64,169.45,234.59,389.81,78.70,317.12,107.38,374.76,487.36,1256.42,262.98,482.10,311.49,444.60,446.36,62.14,12.47,669.70,941.44,632.33,289.58,129.28,185.17,250.43,40.29,16.27,370.02,50.21,120.34,110.35,57.50,450.57,510.22,873.10,864.39,73.06,970.75,1.67,88.99,1298.37,263.14,338.38,81.99,67.56,105.21,90.60,517.56,311.78,357.96,233.98,572.90,466.65,327.25,111.28,1063.46,317.14,742.51,67.69,540.76,634.87,95.60,62.90,606.31,180.24,1243.95,161.81,741.73,777.70,348.03,31.32,107.67,8.70,12.51,3.10
2019,1,1,2,86.65,98.36,144.93,190.53,29.10,559.29,39.30,159.90,184.76,992.81,41.85,351.35,734.91,74.81,40.89,9.05,168.06,100.77,67.73,449.96,139.90,92.94,135.53,141.91,184.64,293.64,958.70,56.66,994.52,182.97,31.30,249.46,253.89,220.95,88.43,19.40,237.97,44.32,137.43,87.92,43.83,244.64,42.47,8.25,147.84,72.55,684.13,23.61,135.55,660.59,173.51,235.99,391.56,79.09,319.56,108.02,372.56,488.83,1262.07,265.01,484.98,309.65,448.03,449.02,63.62,12.59,665.76,935.91,628.61,292.43,132.38,189.61,256.43,40.68,16.32,372.87,50.70,121.27,111.01,58.88,452.82,514.15,878.31,859.31,74.81,965.04,1.69,89.53,1290.73,261.59,340.40,81.50,68.08,106.24,90.07,514.51,314.18,359.75,235.78,569.54,470.25,329.77,113.95,1071.66,315.27,738.15,68.21,543.99,639.77,96.08,62.53,620.84,184.56,1253.54,163.05,737.37,783.69,356.37,31.62,108.00,8.73,12.54,3.11
2019,1,1,3,86.58,98.51,145.93,189.13,29.08,562.79,39.55,160.26,184.61,999.02,42.11,353.77,739.51,75.32,40.98,9.06,168.43,100.69,67.67,452.77,140.56,93.38,135.83,142.23,184.48,295.67,964.70,56.93,996.76,183.83,31.27,249.25,254.46,221.99,88.56,19.45,239.46,44.29,136.41,88.47,44.03,246.17,42.56,8.25,148.18,72.49,685.67,23.72,135.44,665.15,173.37,236.52,394.26,79.03,321.56,108.26,369.81,489.57,1270.77,266.66,486.07,307.37,450.83,450.03,63.57,12.65,660.85,929.01,623.98,293.80,132.26,189.45,256.21,40.88,16.34,375.20,50.94,122.03,111.26,58.83,452.46,517.37,880.29,852.97,74.74,957.92,1.70,89.73,1281.22,259.66,341.17,80.90,68.51,106.74,89.41,510.72,316.15,359.47,237.26,565.34,473.19,331.83,113.85,1078.36,312.95,732.71,68.64,545.22,643.77,96.00,62.07,620.31,184.40,1261.38,164.07,731.93,788.59,356.06,31.77,108.16,8.74,12.56,3.11
2019,1,1,4,84.78,99.48,146.89,188.68,28.78,568.84,39.97,161.40,180.78,1009.75,42.56,356.10,747.45,75.82,41.27,9.15,169.63,99.66,66.98,457.64,141.07,93.72,136.80,143.24,182.58,297.61,975.06,57.14,1003.86,184.51,30.95,246.69,256.27,222.80,89.43,19.59,242.03,43.83,136.09,89.42,44.19,248.82,42.86,8.07,149.23,71.74,690.55,23.80,134.05,669.53,171.59,238.21,396.86,77.39,325.01,109.03,368.95,494.38,1279.14,269.53,489.53,306.65,455.68,453.24,62.92,12.70,659.30,926.83,622.52,294.88,130.90,187.50,253.58,41.03,16.51,379.23,51.13,123.34,112.05,58.23,443.08,522.93,886.56,850.97,73.98,955.68,1.72,90.37,1278.22,259.05,343.60,80.71,69.25,107.13,89.20,509.52,319.54,352.01,239.81,564.01,478.27,335.40,112.69,1089.95,312.21,730.99,69.38,549.10,650.68,94.01,61.93,613.94,182.51,1274.93,165.83,730.22,797.07,352.41,31.89,109.23,8.82,12.69,3.04
2019,1,1,5,89.31,100.55,147.75,190.00,28.53,579.75,40.74,163.91,190.44,1029.12,43.38,358.16,761.79,76.26,41.91,9.25,172.27,98.78,66.39,466.42,142.49,94.67,138.92,145.47,180.98,299.34,993.77,57.71,1019.46,186.37,30.68,244.52,260.25,225.05,90.39,19.89,246.68,43.45,137.04,91.14,44.64,253.59,43.53,8.51,151.55,71.11,701.28,24.04,132.87,673.41,170.08,241.91,399.16,81.52,331.25,110.73,371.52,499.67,1286.56,274.70,497.14,308.79,464.42,460.28,62.37,12.82,663.90,933.29,626.86,297.85,129.76,185.86,251.36,41.44,16.68,386.51,51.64,125.70,113.79,57.72,466.74,532.96,900.33,856.91,73.33,962.34,1.75,91.77,1287.13,260.86,348.94,81.28,70.57,108.21,89.82,513.08,325.67,370.81,244.41,567.94,487.45,341.83,111.70,1110.86,314.39,736.09,70.71,557.63,663.17,99.03,62.36,608.55,180.91,1299.39,169.02,735.31,812.36,349.32,32.21,110.39,8.92,12.82,3.21
2019,1,1,6,93.04,103.60,148.60,192.97,28.69,599.34,42.12,169.59,198.39,1063.89,44.85,360.23,787.53,76.70,43.36,9.53,178.23,99.37,66.78,482.17,146.14,97.09,143.73,150.50,182.05,301.06,1027.34,59.19,1054.76,191.14,30.86,245.97,269.26,230.81,93.13,20.58,255.01,43.70,139.19,94.22,45.78,262.16,45.04,8.86,156.80,71.53,725.56,24.66,133.66,677.29,171.09,250.28,401.46,84.93,342.44,114.56,377.34,514.85,1293.97,283.98,514.35,313.63,480.11,476.22,62.73,13.15,674.30,947.91,636.68,305.47,130.52,186.96,252.84,42.50,17.19,399.57,52.96,129.95,117.73,58.06,486.23,550.97,931.51,870.33,73.76,977.41,1.81,94.95,1307.29,264.94,361.02,82.55,72.96,110.98,91.22,521.11,336.68,386.29,252.67,576.84,503.92,353.38,112.36,1148.39,319.32,747.61,73.10,576.94,685.57,103.17,63.34,612.15,181.98,1343.29,174.73,746.82,839.81,351.38,33.03,113.75,9.19,13.21,3.34
2019,1,1,7,96.49,107.46,149.66,196.94,29.01,620.29,43.59,176.69,205.75,1101.09,46.41,362.80,815.07,77.24,45.18,9.89,185.70,100.45,67.52,499.04,149.75,99.48,149.75,156.80,184.05,303.21,1063.27,60.65,1098.92,195.85,31.20,248.66,280.54,236.50,96.61,21.44,263.93,44.18,142.05,97.51,46.91,271.32,46.92,9.19,163.36,72.32,755.94,25.27,135.12,682.13,172.96,260.76,404.32,88.08,354.42,119.36,385.09,534.05,1303.21,293.91,535.89,320.07,496.90,496.16,63.42,13.48,688.15,967.38,649.75,313.01,131.95,189.01,255.61,43.55,17.83,413.54,54.27,134.50,122.66,58.69,504.27,570.23,970.51,888.20,74.57,997.49,1.87,98.92,1334.14,270.38,376.14,84.25,75.51,113.72,93.10,531.82,348.45,400.63,261.50,588.69,521.54,365.74,113.59,1188.55,325.87,762.97,75.65,601.10,709.55,106.99,64.64,618.85,183.97,1390.26,180.84,762.16,869.17,355.23,33.85,117.99,9.53,13.70,3.47
2019,1,1,8,95.99,110.28,150.06,197.63,28.69,637.08,44.77,179.69,204.69,1130.89,47.67,363.78,837.12,77.45,45.95,10.14,188.85,99.36,66.78,512.54,153.26,101.82,152.30,159.47,182.04,304.03,1092.04,62.08,1117.59,200.45,30.86,245.95,285.30,242.05,99.14,21.81,271.07,43.70,142.55,100.15,48.01,278.66,47.72,9.14,166.14,71.53,768.78,25.86,133.65,683.97,171.07,265.19,405.41,87.62,364.00,121.38,386.44,548.03,1306.72,301.86,544.99,321.19,510.34,504.59,62.73,13.79,690.57,970.78,652.04,320.35,130.51,186.94,252.82,44.57,18.30,424.73,55.54,138.13,124.74,58.05,501.66,585.66,986.99,891.33,73.75,1001.00,1.92,100.60,1338.84,271.34,382.52,84.54,77.55,116.39,93.43,533.69,357.88,398.55,268.58,590.76,535.65,375.63,112.35,1220.71,327.02,765.66,77.70,611.31,728.74,106.44,64.87,612.10,181.96,1427.88,185.73,764.85,892.69,351.35,34.64,121.08,9.78,14.06,3.45
2019,1,1,9,98.12,113.03,150.60,195.93,28.57,656.41,46.13,182.30,209.22,1165.20,49.12,365.08,862.52,77.73,46.61,10.40,191.59,98.92,66.49,528.09,157.83,104.86,154.51,161.78,181.24,305.12,1125.17,63.93,1133.82,206.43,30.72,244.87,289.45,249.27,101.61,22.12,279.29,43.51,141.32,103.19,49.44,287.12,48.41,9.34,168.55,71.21,779.95,26.63,133.06,686.41,170.32,269.04,406.86,89.56,375.05,123.15,383.11,561.69,1311.39,311.02,552.90,318.42,525.83,511.91,62.45,14.20,684.61,962.41,646.41,329.91,129.94,186.12,251.71,45.90,18.75,437.61,57.20,142.33,126.56,57.80,512.77,603.43,1001.33,883.64,73.43,992.36,1.98,102.07,1327.28,269.00,388.08,83.81,79.91,119.86,92.62,529.08,368.74,407.38,276.73,585.66,551.90,387.03,111.85,1257.74,324.20,759.05,80.06,620.19,750.85,108.80,64.31,609.41,181.16,1471.20,191.36,758.25,919.77,349.81,35.68,124.10,10.03,14.41,3.52
2019,1,1,10,98.13,116.11,152.55,194.87,28.58,685.72,48.19,186.26,209.25,1217.23,51.31,369.81,901.04,78.74,47.63,10.68,195.76,98.98,66.53,551.67,160.92,106.91,157.87,165.30,181.35,309.07,1175.42,65.18,1158.49,210.47,30.74,245.02,295.74,254.15,104.38,22.60,291.77,43.53,140.56,107.80,50.41,299.94,49.47,9.35,172.22,71.26,796.92,27.15,133.14,695.31,170.42,274.90,412.14,89.57,391.80,125.83,381.05,577.03,1328.39,324.91,564.93,316.71,549.31,523.05,62.49,14.48,680.94,957.24,642.95,336.37,130.02,186.24,251.86,46.80,19.26,457.16,58.32,148.68,129.31,57.83,512.83,630.38,1023.12,878.90,73.48,987.04,2.07,104.29,1320.16,267.55,396.52,83.36,83.47,122.21,92.12,526.24,385.20,407.43,289.08,582.52,576.55,404.31,111.92,1313.91,322.46,754.98,83.63,633.68,784.38,108.81,63.96,609.79,181.27,1536.90,199.91,754.18,960.85,350.02,36.38,127.49,10.30,14.81,3.52
