Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2019-01-01,0,0,Tennessee Colony 345,86.22,0.0,0.0,-7.222123,-7.222123
2019-01-01,0,0,Wheeler 345,98.07,0.0,1152.094882,-1000.0,-1000.0
2019-01-01,0,0,Alpine 2 345,144.28,0.0,0.0,52.86714,52.86714
2019-01-01,0,0,Rosharon 345,191.66,0.0,0.0,8.330823,8.330823
2019-01-01,0,0,Sullivan City 345,28.42,0.0,0.0,20.361985,20.361985
2019-01-01,0,0,Prosper 345,555.01,0.0,0.0,20.198494,20.198494
2019-01-01,0,0,Eastland 345,39.0,0.0,0.0,-146.102097,-146.102097
2019-01-01,0,0,Fischer 345,158.95,0.0,0.0,28.274582,28.274582
2019-01-01,0,0,Bryan 1 345,183.84,0.0,0.0,8.742276,8.742276
2019-01-01,0,0,Rowlett 1 345,985.21,0.0,0.0,16.326074,16.326074
2019-01-01,0,0,Weatherford 3 345,41.53,0.0,0.0,6.970436,6.970436
2019-01-01,0,0,Odonnell 345,349.77,0.0,0.0,-552.475997,-552.475997
2019-01-01,0,0,Dallas 10 345,729.29,0.0,0.0,13.503739,13.503739
2019-01-01,0,0,O'Donnell 345,74.47,0.0,0.0,-570.205642,-570.205642
2019-01-01,0,0,Canyon Lake 1 345,40.64,0.0,0.0,28.532794,28.532794
2019-01-01,0,0,Adrian 1 345,9.02,0.0,0.0,-570.205642,-570.205642
2019-01-01,0,0,Austin 17 345,167.06,0.0,0.0,26.934041,26.934041
2019-01-01,0,0,Taft 2 345,98.42,0.0,0.0,19.723743,19.723743
2019-01-01,0,0,Dilley 1 345,66.15,0.0,0.0,26.601996,26.601996
2019-01-01,0,0,Dallas 8 345,446.52,0.0,0.0,8.846404,8.846404
2019-01-01,0,0,San Angelo 3 345,138.54,0.0,0.0,49.204111,49.204111
2019-01-01,0,0,Carlsbad 345,92.04,0.0,0.0,53.085268,53.085268
2019-01-01,0,0,Dale 345,134.72,0.0,0.0,25.630537,25.630537
2019-01-01,0,0,Brenham 345,141.06,0.0,0.0,10.684574,10.684574
2019-01-01,0,0,Raymondville 345,180.31,0.0,0.0,19.978992,19.978992
2019-01-01,0,0,Mccamey 345,292.33,0.0,0.0,52.86714,52.86714
2019-01-01,0,0,Fort Worth 16 345,951.37,0.0,0.0,9.688686,9.688686
2019-01-01,0,0,Art 345,56.11,0.0,0.0,35.431863,35.431863
2019-01-01,0,0,Austin 22 345,988.62,0.0,0.0,26.934041,26.934041
2019-01-01,0,0,Abilene 2 345,181.2,0.0,0.0,-281.358459,-281.358459
2019-01-01,0,0,Campbellton 345,30.57,0.0,0.0,22.92861,22.92861
2019-01-01,0,0,Corpus Christi 11 345,243.62,0.0,0.0,19.74572,19.74572
2019-01-01,0,0,New Braunfels 2 345,252.38,0.0,0.0,28.62191,28.62191
2019-01-01,0,0,Abilene 5 345,218.8,0.0,0.0,-294.587338,-294.587338
2019-01-01,0,0,Rule 2 345,88.16,0.0,0.0,-904.035992,-904.035992
2019-01-01,0,0,Cedar Creek 2 345,19.29,0.0,0.0,25.172707,25.172707
2019-01-01,0,0,Fort Worth 15 345,236.15,0.0,0.0,5.414015,5.414015
2019-01-01,0,0,Lytle 345,43.29,0.0,0.0,24.901746,24.901746
2019-01-01,0,0,Conroe 4 345,138.24,0.0,0.0,4.96481,4.96481
2019-01-01,0,0,Gordon 345,87.25,0.0,0.0,-6.464053,-6.464053
2019-01-01,0,0,Melvin 345,43.4,0.0,0.0,43.157014,43.157014
2019-01-01,0,0,Blum 345,242.77,0.0,0.0,4.121495,4.121495
2019-01-01,0,0,Rockdale 2 345,42.21,0.0,0.0,12.909443,12.909443
2019-01-01,0,0,Richards 2 345,8.21,0.0,0.0,6.042167,6.042167
2019-01-01,0,0,Tarpley 345,146.96,0.0,0.0,35.679826,35.679826
2019-01-01,0,0,Bayside 3 345,70.85,0.0,0.0,18.887912,18.887912
2019-01-01,0,0,San Antonio 25 345,680.06,0.0,0.0,30.19566,30.19566
2019-01-01,0,0,Roscoe 2 345,23.38,0.0,0.0,-392.373295,-392.373295
2019-01-01,0,0,Lopeno 345,132.38,0.0,0.0,21.001476,21.001476
2019-01-01,0,0,Crane 2 345,657.64,0.0,0.0,52.658425,52.658425
2019-01-01,0,0,Brownsville 1 345,169.45,0.0,0.0,19.991798,19.991798
2019-01-01,0,0,San Antonio 14 345,234.59,0.0,0.0,26.330446,26.330446
2019-01-01,0,0,Monahans 2 345,389.81,0.0,0.0,52.86714,52.86714
2019-01-01,0,0,Centerville 345,78.7,0.0,0.0,1.755253,1.755253
2019-01-01,0,0,Fort Worth 10 345,317.12,0.0,0.0,2.261613,2.261613
2019-01-01,0,0,Del Valle 345,107.38,0.0,0.0,25.630537,25.630537
2019-01-01,0,0,Texas City 2 345,374.76,0.0,0.0,8.010002,8.010002
2019-01-01,0,0,Electra 345,487.36,0.0,0.0,32.427557,32.427557
2019-01-01,0,0,Odessa 8 345,1256.42,0.0,0.0,52.658425,52.658425
2019-01-01,0,0,Weatherford 2 345,262.98,0.0,0.0,11.279428,11.279428
2019-01-01,0,0,Burnet 345,482.1,0.0,0.0,30.83309,30.83309
2019-01-01,0,0,Feeeport 345,311.49,0.0,0.0,8.330823,8.330823
2019-01-01,0,0,Waco 2 345,444.6,0.0,0.0,-49.63806,-49.63806
