Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,292939.607632,41.102687,17.563151,13415739.299398,3912940.334667,0.0,18991.640522,0.0,2074.182368,139,6692.22,80192.555636,-79377946.097701,0.0,18830871.330582,0.0,-60547074.767119,0.0,0.0,-60547074.767119,-61.366327
2019-01-02,1136655.54,130939.9,130939.9,13.019575,18.489035,15523606.275816,5492057.539872,0.0,0.0,0.0,0.0,30,6720.33,47505.546777,1949685.181553,0.0,18485472.246894,0.0,20435157.428447,0.0,0.0,20435157.428447,17.97832
2019-01-03,1100872.77,151029.29,149924.49,15.732483,19.727406,16578480.568661,5138883.971155,0.0,2013.095461,0.0,1104.8,83,9645.15,79335.591238,-16069757.308148,0.0,16045719.416056,0.0,-24037.892092,0.0,0.0,-24037.892092,-0.021835
2019-01-04,1013727.34,139993.84,139784.75649,15.988163,14.139107,9957911.456143,4375288.274256,0.0,358.982914,0.0,209.08351,80,8336.94,67930.108737,-4601287.273936,0.0,14481679.025184,0.0,9880391.751249,0.0,0.0,9880391.751249,9.746597
2019-01-05,903816.2,156305.99,156247.99,20.900834,11.500123,7087409.433225,3306588.427438,0.0,0.0,0.0,58.0,59,5041.8,44591.528119,-166615.017541,0.0,10614311.257349,0.0,10447696.239808,0.0,0.0,10447696.239808,11.559536
2019-01-06,837425.54,299729.54,297184.54,53.372152,15.508019,10526370.571992,2460440.884369,0.0,16574.732466,0.0,2545.0,83,5910.39,52594.398327,-66932693.970594,0.0,8924433.317663,0.0,-58008260.652931,0.0,0.0,-58008260.652931,-69.269753
2019-01-07,835476.71,274965.24,273314.600061,47.081373,17.600441,12204324.478847,2500434.450936,0.0,18353.248731,0.0,1650.639939,122,12482.49,73046.405037,-82871390.21186,0.0,8744203.203533,0.0,-74127187.008327,0.0,0.0,-74127187.008327,-88.724421
2019-01-08,854810.49,179507.09,179245.977263,26.346709,13.225323,8417278.488982,2887866.409193,0.0,4770.846082,0.0,261.112737,80,8791.95,52945.886886,-22850432.898565,0.0,9904945.486299,0.0,-12945487.412266,0.0,0.0,-12945487.412266,-15.144278
2019-01-09,887344.94,198454.88,198396.88,28.797074,10.551657,6420049.370808,2942910.23871,0.0,0.0,0.0,58.0,58,7594.35,44521.526509,1610543.817738,0.0,10238338.141681,0.0,11848881.959419,0.0,1401.762266,11850283.721685,13.354766
2019-01-10,933598.34,217570.5,215893.504197,29.711849,48.709088,42235267.2091,3239456.549601,0.0,8919.417273,0.0,1676.995803,74,8419.35,62187.797545,-43824596.50819,0.0,11557829.276125,0.0,-32266767.232065,0.0,0.0,-32266767.232065,-34.561723
2019-01-11,918205.77,266624.32,265370.385721,40.432795,70.669281,62058203.392738,2830738.31228,0.0,3489.224392,0.0,1253.934279,99,9483.45,80645.076117,-34666756.514903,0.0,10292217.289919,0.0,-24374539.224984,0.0,0.0,-24374539.224984,-26.545835
2019-01-12,882997.25,253466.77,250941.072834,38.735977,68.612163,57742862.156308,2841488.811713,0.0,15768.122888,0.0,2525.697166,160,14292.54,76463.249068,-69610800.333813,0.0,10249504.905389,0.0,-59361295.428424,0.0,0.0,-59361295.428424,-67.227045
2019-01-13,968302.49,140864.43,140864.43,17.024166,13.521478,9041220.927501,4051660.10158,0.0,0.0,0.0,0.0,38,5772.96,36422.837912,1404722.584304,0.0,13341300.210593,0.0,14746022.794897,0.0,0.0,14746022.794897,15.228736
2019-01-14,1048428.58,121728.56,121728.56,13.135703,15.022705,10983589.108905,4766643.677719,0.0,0.0,0.0,0.0,43,7357.11,45884.797132,1315200.193905,0.0,18689358.714528,0.0,20004558.908433,0.0,0.0,20004558.908433,19.080517
2019-01-15,1016539.15,147080.71,147022.71,16.902106,16.755938,12754962.925288,4278104.525904,0.0,332.002141,0.0,58.0,71,9627.09,63008.788758,-5280977.264316,0.0,25155128.976313,0.0,19874151.711996,0.0,3.049627,19874154.761623,19.550801
2019-01-16,934076.17,215691.01,214561.864813,29.576649,17.334014,13285652.26974,2905636.672132,0.0,5929.162952,0.0,1129.145187,122,11212.83,67034.303429,-33540950.627539,0.0,9347621.184627,0.0,-24193329.442912,0.0,0.0,-24193329.442912,-25.90081
2019-01-17,868965.08,154901.7,154901.7,21.69299,10.430049,6091449.153242,2971899.359498,0.0,0.0,0.0,0.0,55,6006.84,44607.02796,1186475.290263,0.0,11135086.327961,0.0,12321561.618223,0.0,0.0,12321561.618223,14.179582
2019-01-18,885312.54,320373.83,318017.925513,54.082431,20.336313,15295051.668561,2708941.471575,0.0,20729.850205,0.0,2355.904487,125,9372.96,62072.934531,-96525026.980962,0.0,10538467.8624,0.0,-85986559.118561,0.0,0.0,-85986559.118561,-97.125654
2019-01-19,964352.87,282263.57,280772.446438,40.163177,64.120058,58412244.744453,3422117.656886,0.0,15498.844728,0.0,1491.123562,136,15861.27,96860.522081,-75305148.064261,0.0,11305016.878004,0.0,-64000131.186258,0.0,0.0,-64000131.186258,-66.365884
2019-01-20,1030244.15,183813.28,182572.961773,21.422975,68.149634,66462682.524729,3748079.339635,0.0,4558.555927,0.0,1240.318227,103,12244.62,71023.063206,-23159797.842568,0.0,11708254.688454,0.0,-11451543.154115,0.0,0.0,-11451543.154115,-11.115368
2019-01-21,998892.9,347210.64,344952.665948,51.026425,68.339388,64984072.388072,3279657.06173,0.0,22087.266396,0.0,2257.974052,134,9922.68,70020.666794,-98035605.936027,0.0,11209611.485107,0.0,-86825994.45092,0.0,0.0,-86825994.45092,-86.922226
2019-01-22,900192.29,367214.69,364563.203585,65.217039,20.463061,15630768.042185,2789921.408792,0.0,23370.841909,0.0,2651.486415,131,10579.92,71440.625325,-101312855.162722,0.0,9996417.590854,0.0,-91316437.571868,0.0,0.0,-91316437.571868,-101.441035
2019-01-23,1078724.34,230384.78,229946.78,26.904049,17.77766,14680096.677838,4497097.683082,292.839,6207.36277,0.0,438.0,113,12699.33,89229.796166,-29087826.408329,0.0,14234480.543664,0.0,-14853345.864665,0.0,-4430482.318893,-19283828.183558,-17.876512
2019-01-24,1048789.29,180566.6,179872.1,20.509866,21.196,18048177.444224,4181960.400999,0.0,8085.601556,0.0,694.5,111,10817.16,83451.938105,-44505029.308486,0.0,14682740.185079,0.0,-29822289.123407,0.0,0.0,-29822289.123407,-28.434967
2019-01-25,999767.2,150084.46,149681.16,17.607766,14.968891,10915990.43056,4049415.363127,0.0,0.0,0.0,403.3,65,9032.13,68969.510845,-2471494.004912,0.0,13446610.113627,0.0,10975116.108714,0.0,0.0,10975116.108714,10.977672
2019-01-26,909271.36,125808.7,125808.7,16.058034,12.218138,7594090.467982,3515512.308018,0.0,0.0,0.0,0.0,37,5737.95,39073.090028,1446840.986952,0.0,12454113.951345,0.0,13900954.938297,0.0,0.0,13900954.938297,15.288016
2019-01-27,878022.17,140155.45,139920.45,18.952954,12.37882,7390877.062082,3478001.575155,0.0,149.700365,0.0,235.0,97,7632.09,64279.183792,-9207046.440245,0.0,12435086.392793,0.0,3228039.952548,0.0,0.0,3228039.952548,3.67649
