Date,Hour,Minute,Type,Solve Time
2019-01-01,0,0,SCED,0.060726
2019-01-01,1,0,SCED,0.059864
2019-01-01,2,0,SCED,0.06329
2019-01-01,3,0,SCED,0.059522
2019-01-01,4,0,SCED,0.059406
2019-01-01,5,0,SCED,0.057739
2019-01-01,6,0,SCED,0.059657
2019-01-01,7,0,SCED,0.057427
2019-01-01,8,0,SCED,0.061134
2019-01-01,9,0,SCED,0.07267
2019-01-01,10,0,SCED,0.081642
2019-01-01,11,0,SCED,0.066056
2019-01-01,12,0,SCED,0.07494
2019-01-01,13,0,SCED,0.078199
2019-01-01,14,0,SCED,0.072101
2019-01-01,15,0,SCED,0.058492
2019-01-01,16,0,SCED,0.065145
2019-01-01,17,0,SCED,0.063604
2019-01-01,18,0,SCED,0.058312
2019-01-01,19,0,SCED,0.059335
2019-01-01,20,0,SCED,0.057462
2019-01-01,21,0,SCED,0.064979
2019-01-01,22,0,SCED,0.058204
2019-01-01,23,0,SCED,0.059322
2019-01-02,0,0,SCED,0.058346
2019-01-02,1,0,SCED,0.058015
2019-01-02,2,0,SCED,0.05877
2019-01-02,3,0,SCED,0.05778
2019-01-02,4,0,SCED,0.058598
2019-01-02,5,0,SCED,0.058797
2019-01-02,6,0,SCED,0.060691
2019-01-02,7,0,SCED,0.063416
2019-01-02,8,0,SCED,0.062563
2019-01-02,9,0,SCED,0.059541
2019-01-02,10,0,SCED,0.059301
2019-01-02,11,0,SCED,0.057389
2019-01-02,12,0,SCED,0.060366
2019-01-02,13,0,SCED,0.067133
2019-01-02,14,0,SCED,0.069863
2019-01-02,15,0,SCED,0.060665
2019-01-02,16,0,SCED,0.06
2019-01-02,17,0,SCED,0.06059
2019-01-02,18,0,SCED,0.058865
2019-01-02,19,0,SCED,0.064434
2019-01-02,20,0,SCED,0.057836
2019-01-02,21,0,SCED,0.063141
2019-01-02,22,0,SCED,0.06761
2019-01-02,23,0,SCED,0.055097
2019-01-03,0,0,SCED,0.057666
2019-01-03,1,0,SCED,0.055942
2019-01-03,2,0,SCED,0.058838
2019-01-03,3,0,SCED,0.056482
2019-01-03,4,0,SCED,0.05811
2019-01-03,5,0,SCED,0.057571
2019-01-03,6,0,SCED,0.063107
2019-01-03,7,0,SCED,0.058105
2019-01-03,8,0,SCED,0.078174
2019-01-03,9,0,SCED,0.075147
2019-01-03,10,0,SCED,0.081342
2019-01-03,11,0,SCED,0.079199
2019-01-03,12,0,SCED,0.078563
2019-01-03,13,0,SCED,0.077614
2019-01-03,14,0,SCED,0.07709
2019-01-03,15,0,SCED,0.07642
2019-01-03,16,0,SCED,0.072446
2019-01-03,17,0,SCED,0.067745
2019-01-03,18,0,SCED,0.057916
2019-01-03,19,0,SCED,0.058963
2019-01-03,20,0,SCED,0.058292
2019-01-03,21,0,SCED,0.058828
2019-01-03,22,0,SCED,0.057587
2019-01-03,23,0,SCED,0.058431
2019-01-04,0,0,SCED,0.059547
2019-01-04,1,0,SCED,0.060496
2019-01-04,2,0,SCED,0.060174
2019-01-04,3,0,SCED,0.058157
2019-01-04,4,0,SCED,0.058622
2019-01-04,5,0,SCED,0.063211
2019-01-04,6,0,SCED,0.065832
2019-01-04,7,0,SCED,0.067263
2019-01-04,8,0,SCED,0.063668
2019-01-04,9,0,SCED,0.059112
2019-01-04,10,0,SCED,0.061645
2019-01-04,11,0,SCED,0.067261
2019-01-04,12,0,SCED,0.058881
2019-01-04,13,0,SCED,0.062919
2019-01-04,14,0,SCED,0.067023
2019-01-04,15,0,SCED,0.065303
2019-01-04,16,0,SCED,0.067222
2019-01-04,17,0,SCED,0.059418
2019-01-04,18,0,SCED,0.065654
2019-01-04,19,0,SCED,0.061298
2019-01-04,20,0,SCED,0.060924
2019-01-04,21,0,SCED,0.068347
2019-01-04,22,0,SCED,0.058744
2019-01-04,23,0,SCED,0.058454
2019-01-05,0,0,SCED,0.059404
2019-01-05,1,0,SCED,0.063436
2019-01-05,2,0,SCED,0.059327
2019-01-05,3,0,SCED,0.057581
2019-01-05,4,0,SCED,0.065571
2019-01-05,5,0,SCED,0.066529
2019-01-05,6,0,SCED,0.060322
2019-01-05,7,0,SCED,0.067436
2019-01-05,8,0,SCED,0.062762
2019-01-05,9,0,SCED,0.067771
2019-01-05,10,0,SCED,0.058383
2019-01-05,11,0,SCED,0.059704
2019-01-05,12,0,SCED,0.068245
2019-01-05,13,0,SCED,0.060034
2019-01-05,14,0,SCED,0.062368
2019-01-05,15,0,SCED,0.058874
2019-01-05,16,0,SCED,0.058551
2019-01-05,17,0,SCED,0.065197
2019-01-05,18,0,SCED,0.059095
2019-01-05,19,0,SCED,0.058633
2019-01-05,20,0,SCED,0.058915
2019-01-05,21,0,SCED,0.068296
2019-01-05,22,0,SCED,0.056781
2019-01-05,23,0,SCED,0.065869
2019-01-06,0,0,SCED,0.065535
2019-01-06,1,0,SCED,0.057948
2019-01-06,2,0,SCED,0.066353
2019-01-06,3,0,SCED,0.066302
2019-01-06,4,0,SCED,0.059195
2019-01-06,5,0,SCED,0.06643
2019-01-06,6,0,SCED,0.061319
2019-01-06,7,0,SCED,0.063611
2019-01-06,8,0,SCED,0.058444
2019-01-06,9,0,SCED,0.060379
2019-01-06,10,0,SCED,0.062433
2019-01-06,11,0,SCED,0.060154
2019-01-06,12,0,SCED,0.066298
2019-01-06,13,0,SCED,0.059486
2019-01-06,14,0,SCED,0.062995
2019-01-06,15,0,SCED,0.059293
2019-01-06,16,0,SCED,0.057746
2019-01-06,17,0,SCED,0.060246
2019-01-06,18,0,SCED,0.058651
2019-01-06,19,0,SCED,0.061246
2019-01-06,20,0,SCED,0.06127
2019-01-06,21,0,SCED,0.063925
2019-01-06,22,0,SCED,0.059559
