GEN UID,Bus ID,Unit Type,Fuel,MW Inj,MVAR Inj,V Setpoint p.u.,PMax MW,PMin MW,QMax MVAR,QMin MVAR,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Non Fuel Start Cost $,Fuel Price $/MMBTU,Output_pct_0,Output_pct_1,Output_pct_2,Output_pct_3,Output_pct_4,HR_avg_0,HR_incr_1,HR_incr_2,HR_incr_3,HR_incr_4,C0,C1,C2,Csu
1,107,NUC,N,,,1,2430.0,729.0,894.24,-199.26,48,48,121.5,1,1,1,1,1,1,1,0.81035,0.3,0.5333333333333333,0.7666666666666666,1.0,,3598445.116307768,14469.747639908685,15739.279076942052,17008.81051397546,,0,17.44,0.0016,1200
2,100,CT,G,,,1,304.6,91.38,170.58,-19.49,1,2,68.4,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,9177.903930131004,876.9683769044155,884.0271279417756,891.085878979136,,597,27.85,0.0016,69
3,100,CT,G,,,1,236.0,70.8,132.16,-15.1,1,2,10.8,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,6286.46288209607,1330.1285201358562,1334.3658480349345,1338.603175934013,,363,55.0,0.0016,61
4,100,CT,G,,,1,176.4,52.92,98.78,-11.29,1,2,44.86,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,3543.406113537118,869.3063895196508,871.6737545502178,874.0411195807872,,548,48.13,0.0016,46
5,100,CT,G,,,1,380.7,114.21,213.19,-24.36,1,2,76.76,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,6151.048034934498,1347.0972524017463,1358.1236543580783,1369.1500563144111,,316,34.22,0.0016,37
6,100,COAL,C,,,1,842.5,252.75,392.6,-102.79,12,12,51.34,1,1,1,1,1,1,1,1.78,0.3,0.5333333333333333,0.7666666666666666,1.0,,146727.52808988764,2241.1972534332085,2310.671423220973,2380.14559300874,,1372,19.17,0.0016,310
7,100,CT,G,,,1,177.3,53.19,99.29,-11.35,1,2,41.95,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,4567.991266375546,813.2438724890831,815.6354559301309,818.0270393711793,,49,44.78,0.0016,59
8,100,CT,G,,,1,381.8,114.54,213.81,-24.44,1,2,83.05,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,10336.94323144105,1298.1392659873845,1309.229479685589,1320.319693383795,,435,32.86,0.0016,62
9,50,PV,S,,,1,5.0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,444.44444444444434,1333.333333333333,2222.2222222222226,,0,0.0,0.0016,0
10,62,CT,G,,,1,92.7,27.81,51.91,-5.93,1,2,18.1,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,2469.301310043668,224.45706026200867,225.11083409606985,225.7646079301312,,340,23.64,0.0016,61
11,62,CT,G,,,1,678.1,203.43,379.74,-43.4,1,2,177.34,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,20431.83406113537,3744.4438528869487,3779.4267324832585,3814.409612079574,,2129,53.29,0.0016,69
12,62,CT,G,,,1,260.0,78.0,145.6,-16.64,1,2,63.35,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,1362.4454148471616,887.1285783600191,892.271557496361,897.4145366327026,,413,33.14,0.0016,12
13,62,CT,G,,,1,497.9,149.37,278.82,-31.87,1,2,20.87,1,1,1,1,1,1,1,2.29,0.30000000000000004,0.5333333333333333,0.7666666666666666,1.0,,15219.650655021835,1935.1210843279948,1953.9815459912663,1972.8420076545378,,3108,37.48,0.0016,70
14,110,CT,G,,,1,22.0,6.6,12.32,-1.41,1,2,3.52,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,115.28384279475982,53.79763221737024,53.83445473071318,53.87127724405627,,505,23.97,0.0016,12
15,110,CT,G,,,1,50.1,15.03,28.06,-3.21,1,2,7.7,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,962.6200873362445,224.23768209606985,224.42864258515283,224.61960307423584,,122,43.86,0.0016,44
16,110,CT,G,,,1,203.2,60.96,94.69,-24.79,1,2,53.95,1,1,1,1,1,1,1,2.29,0.30000000000000004,0.5333333333333333,0.7666666666666666,1.0,,6743.755458515283,981.4132106744295,984.5545545036387,987.6958983328484,,322,47.13,0.0016,76
17,32,PV,S,,,1,80.0,0.0,0.0,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,113777.77777777775,341333.33333333326,568888.888888889,,0,0.0,0.0016,0
18,32,CT,G,,,1,432.0,129.6,241.92,-27.65,1,2,29.11,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,14148.471615720524,2259.680698689956,2273.878972925765,2288.077247161571,,3088,50.76,0.0016,75
19,32,WIND,W,,,1,643.299989366006,0.0,332.25,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,7357064.467880949,22071193.403642848,36785322.339404754,,0,0.0,0.0016,0
20,32,WIND,W,,,1,780.1999893773013,0.0,408.91,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,10821547.083099395,32464641.249298185,54107735.41549699,,0,0.0,0.0016,0
21,50,PV,S,,,1,114.3333333333333,0.0,7.31,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,232393.08641975292,697179.2592592587,1161965.432098765,,0,0.0,0.0016,0
22,50,PV,S,,,1,406.3333333333334,0.0,25.96,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,2935231.604938272,8805694.814814815,14676158.024691368,,0,0.0,0.0016,0
23,50,WIND,W,,,1,108.7999815821133,0.0,12.52,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,210443.30652921234,631329.919587637,1052216.5326460616,,0,0.0,0.0016,0
24,50,WIND,W,,,1,192.4999756230771,0.0,30.35,0.0,0,0,0.0,1,1,1,1,1,1,1,1e-05,0.0,0.3333333333333333,0.6666666666666666,1.0,,0.0,658777.6109312938,1976332.8327938814,3293888.054656469,,0,0.0,0.0016,0
25,100,CT,G,,,1,914.6,274.38,512.18,-58.53,1,2,242.73,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,15176.768558951966,2836.674723338186,2900.31476578748,2963.95480823678,,2010,29.22,0.0016,38
26,100,COAL,C,,,1,1530.0,459.0,712.98,-186.66,12,12,40.57,1,1,1,1,1,1,1,1.78,0.3,0.5333333333333333,0.7666666666666666,1.0,,309438.202247191,4205.780898876403,4434.902696629217,4664.02449438202,,1862,18.93,0.0016,360
27,100,CT,G,,,1,535.5,160.65,299.88,-34.27,1,2,31.05,1,1,1,1,1,1,1,2.29,0.3,0.5333333333333333,0.7666666666666666,1.0,,13562.882096069869,2637.2634497816584,2659.0800471615707,2680.896644541486,,3361,47.62,0.0016,58
