Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2035-01-01,0,366851.823439,251538.103801,115313.719639,0.0,1352.974738,0.0,9813.65,0.0,25898.575194,14.164942
2035-01-01,1,346714.250368,253319.04587,93395.204497,0.0,1254.543668,0.0,10635.57,0.0,26123.177157,13.272285
2035-01-01,2,323180.707561,226634.195278,96546.512284,0.0,1314.503928,0.0,11058.4,0.0,26187.229096,12.341157
2035-01-01,3,326728.099015,226634.195278,100093.903737,0.0,1261.192376,0.0,11325.25,0.0,26236.066361,12.453395
2035-01-01,4,317017.947854,226634.195278,90383.752577,0.0,1191.178446,0.0,11577.95,0.0,26387.695773,12.013855
2035-01-01,5,314122.334588,226773.943277,87348.39131,0.0,1281.856726,0.0,12191.9,0.0,26741.518906,11.746615
2035-01-01,6,326249.49905,231369.762309,94879.736741,0.0,1307.383728,0.0,12589.27,0.0,27121.49166,12.029187
2035-01-01,7,321841.798259,231363.182309,90478.61595,0.0,1188.395575,0.0,12879.23,0.0,27295.551411,11.790998
2035-01-01,8,336088.664671,238425.777395,97662.887275,0.0,1006.851924,0.0,12229.61,0.0,27270.896724,12.324078
2035-01-01,9,335397.927427,238643.848381,96754.079047,0.0,889.571036,0.0,12122.55,0.0,27325.528741,12.274161
2035-01-01,10,306666.811092,251951.943572,54714.86752,0.0,0.0,0.0,12985.85,0.0,27593.135592,11.11388
2035-01-01,11,336359.800701,255996.739332,80363.06137,0.0,538.082258,0.0,13986.73,0.0,27479.618856,12.240337
2035-01-01,12,338269.379278,244841.746584,93427.632693,0.0,1119.473425,0.0,14893.68,0.0,27238.749778,12.418682
2035-01-01,13,339483.02315,244244.740566,95238.282584,0.0,484.859179,0.0,14924.75,0.0,27244.323424,12.460688
2035-01-01,14,334886.588922,233886.516551,101000.072371,0.0,543.503262,524.999848,15135.12,0.0,27438.560533,12.204962
2035-01-01,15,386234.290245,286557.720828,99676.569416,0.0,394.721315,774.696053,14618.62,0.0,27949.786125,13.818864
2035-01-01,16,372857.66231,324168.026837,48689.635473,0.0,0.0,0.0,13172.73,0.0,29035.163084,12.84159
2035-01-01,17,288208.056736,197405.860698,90802.196038,0.0,0.0,0.0,12354.07,0.0,30132.015211,9.564845
2035-01-01,18,251849.254177,196453.485048,55395.769129,0.0,0.0,0.0,10977.66,0.0,29959.624573,8.406289
2035-01-01,19,205863.378543,140877.286459,64986.092084,0.0,0.0,0.0,9419.78,0.0,29601.709754,6.954442
2035-01-01,20,202860.361065,144612.176815,58248.18425,0.0,0.0,0.0,9171.99,0.0,29193.924319,6.948718
2035-01-01,21,203883.805013,142338.544378,61545.260635,0.0,0.0,0.0,8236.86,0.0,28687.701087,7.107011
2035-01-01,22,205174.666264,142335.254378,62839.411886,0.0,0.0,0.0,7295.99,0.0,27969.480212,7.335662
2035-01-01,23,198938.465993,142335.254378,56603.211614,0.0,0.0,0.0,7017.59,0.0,27230.779419,7.305647
2035-01-02,0,198537.849913,138792.279385,59745.570527,0.0,0.0,0.0,6488.59,0.0,26649.081515,7.450082
2035-01-02,1,196912.817341,141065.911821,55846.90552,0.0,0.0,0.0,6536.03,0.0,26423.281206,7.452247
2035-01-02,2,204244.191314,144518.611341,59725.579973,0.0,0.0,0.0,6049.0,0.0,26313.819588,7.76186
2035-01-02,3,168015.204163,102742.67623,65272.527933,0.0,0.0,0.0,6033.34,0.0,26540.758865,6.33046
2035-01-02,4,174185.320791,102832.951703,71352.369088,0.0,0.0,0.0,6176.91,0.0,27208.679578,6.401829
2035-01-02,5,182421.944756,102829.661703,79592.283053,0.0,0.0,0.0,6275.61,0.0,28019.746203,6.510478
2035-01-02,6,177571.018521,102829.661703,74741.356818,0.0,0.0,0.0,6538.96,0.0,28067.187441,6.326641
2035-01-02,7,190904.075281,122184.005066,68720.070214,0.0,0.0,0.0,6788.35,0.0,28413.151391,6.718863
2035-01-02,8,224783.732058,141993.502574,82790.229484,0.0,0.0,0.0,5446.17,0.0,29363.888999,7.655108
2035-01-02,9,260139.808173,158426.574491,101713.233682,0.0,0.0,0.0,4856.62,0.0,30602.011426,8.500742
2035-01-02,10,255159.607071,163416.202842,91743.404229,0.0,0.0,0.0,6181.49,0.0,31579.420983,8.079933
2035-01-02,11,311241.66944,184497.025963,126744.643477,0.0,0.0,0.0,5319.82,0.0,32380.908682,9.611888
2035-01-02,12,309337.7089,203269.460354,106068.248546,0.0,0.0,0.0,5890.11,0.0,32942.180911,9.390323
2035-01-02,13,426095.267163,344081.467283,82013.79988,0.0,0.0,0.0,6757.27,0.0,33356.545172,12.773963
2035-01-02,14,500200.915967,313501.619383,186699.296584,0.0,16.221882,0.0,6934.49,0.0,33640.456531,14.869029
2035-01-02,15,439445.188554,339101.708932,100343.479622,0.0,0.0,0.0,6742.18,0.0,33810.27019,12.997388
