Date,Hour,Minute,Type,Solve Time
2035-01-01,0,0,SCED,0.064161
2035-01-01,1,0,SCED,0.067539
2035-01-01,2,0,SCED,0.067495
2035-01-01,3,0,SCED,0.056915
2035-01-01,4,0,SCED,0.058283
2035-01-01,5,0,SCED,0.068775
2035-01-01,6,0,SCED,0.058301
2035-01-01,7,0,SCED,0.058547
2035-01-01,8,0,SCED,0.058232
2035-01-01,9,0,SCED,0.063648
2035-01-01,10,0,SCED,0.066044
2035-01-01,11,0,SCED,0.057071
2035-01-01,12,0,SCED,0.057267
2035-01-01,13,0,SCED,0.056381
2035-01-01,14,0,SCED,0.05766
2035-01-01,15,0,SCED,0.058753
2035-01-01,16,0,SCED,0.049381
2035-01-01,17,0,SCED,0.05326
2035-01-01,18,0,SCED,0.051647
2035-01-01,19,0,SCED,0.051745
2035-01-01,20,0,SCED,0.05059
2035-01-01,21,0,SCED,0.051051
2035-01-01,22,0,SCED,0.050607
2035-01-01,23,0,SCED,0.050881
2035-01-02,0,0,SCED,0.051324
2035-01-02,1,0,SCED,0.050953
2035-01-02,2,0,SCED,0.049467
2035-01-02,3,0,SCED,0.058021
2035-01-02,4,0,SCED,0.052785
2035-01-02,5,0,SCED,0.052779
2035-01-02,6,0,SCED,0.052361
2035-01-02,7,0,SCED,0.059237
2035-01-02,8,0,SCED,0.054133
2035-01-02,9,0,SCED,0.053148
2035-01-02,10,0,SCED,0.053461
2035-01-02,11,0,SCED,0.059391
2035-01-02,12,0,SCED,0.053086
2035-01-02,13,0,SCED,0.053474
2035-01-02,14,0,SCED,0.061912
2035-01-02,15,0,SCED,0.05441
2035-01-02,16,0,SCED,0.061868
2035-01-02,17,0,SCED,0.059121
2035-01-02,18,0,SCED,0.065847
2035-01-02,19,0,SCED,0.064432
2035-01-02,20,0,SCED,0.060469
2035-01-02,21,0,SCED,0.059018
2035-01-02,22,0,SCED,0.05924
2035-01-02,23,0,SCED,0.059552
2035-01-03,0,0,SCED,0.056707
2035-01-03,1,0,SCED,0.057715
2035-01-03,2,0,SCED,0.057891
2035-01-03,3,0,SCED,0.060956
2035-01-03,4,0,SCED,0.065621
2035-01-03,5,0,SCED,0.064447
2035-01-03,6,0,SCED,0.0584
2035-01-03,7,0,SCED,0.05829
2035-01-03,8,0,SCED,0.068154
2035-01-03,9,0,SCED,0.080785
2035-01-03,10,0,SCED,0.075178
2035-01-03,11,0,SCED,0.076391
2035-01-03,12,0,SCED,0.077637
2035-01-03,13,0,SCED,0.077354
2035-01-03,14,0,SCED,0.064747
2035-01-03,15,0,SCED,0.079923
2035-01-03,16,0,SCED,0.066936
2035-01-03,17,0,SCED,0.058107
2035-01-03,18,0,SCED,0.057838
2035-01-03,19,0,SCED,0.058529
2035-01-03,20,0,SCED,0.065209
2035-01-03,21,0,SCED,0.059172
2035-01-03,22,0,SCED,0.066795
2035-01-03,23,0,SCED,0.063634
2035-01-04,0,0,SCED,0.065053
2035-01-04,1,0,SCED,0.064504
2035-01-04,2,0,SCED,0.057142
2035-01-04,3,0,SCED,0.058597
2035-01-04,4,0,SCED,0.056767
2035-01-04,5,0,SCED,0.056369
2035-01-04,6,0,SCED,0.058506
2035-01-04,7,0,SCED,0.057982
2035-01-04,8,0,SCED,0.056509
2035-01-04,9,0,SCED,0.057778
2035-01-04,10,0,SCED,0.057889
2035-01-04,11,0,SCED,0.056771
2035-01-04,12,0,SCED,0.058618
2035-01-04,13,0,SCED,0.058948
2035-01-04,14,0,SCED,0.063389
2035-01-04,15,0,SCED,0.057747
2035-01-04,16,0,SCED,0.056026
2035-01-04,17,0,SCED,0.060163
2035-01-04,18,0,SCED,0.05925
2035-01-04,19,0,SCED,0.058759
2035-01-04,20,0,SCED,0.056826
2035-01-04,21,0,SCED,0.05873
2035-01-04,22,0,SCED,0.065283
2035-01-04,23,0,SCED,0.067921
2035-01-05,0,0,SCED,0.065772
2035-01-05,1,0,SCED,0.066557
2035-01-05,2,0,SCED,0.06607
2035-01-05,3,0,SCED,0.058968
2035-01-05,4,0,SCED,0.058059
2035-01-05,5,0,SCED,0.056401
2035-01-05,6,0,SCED,0.057716
2035-01-05,7,0,SCED,0.056668
2035-01-05,8,0,SCED,0.057669
2035-01-05,9,0,SCED,0.059017
2035-01-05,10,0,SCED,0.060355
2035-01-05,11,0,SCED,0.063199
2035-01-05,12,0,SCED,0.057471
2035-01-05,13,0,SCED,0.063002
2035-01-05,14,0,SCED,0.058671
2035-01-05,15,0,SCED,0.058663
2035-01-05,16,0,SCED,0.057669
2035-01-05,17,0,SCED,0.057606
2035-01-05,18,0,SCED,0.058835
2035-01-05,19,0,SCED,0.069876
2035-01-05,20,0,SCED,0.057514
2035-01-05,21,0,SCED,0.058443
2035-01-05,22,0,SCED,0.0576
2035-01-05,23,0,SCED,0.056707
2035-01-06,0,0,SCED,0.06512
2035-01-06,1,0,SCED,0.058306
2035-01-06,2,0,SCED,0.056706
2035-01-06,3,0,SCED,0.057442
2035-01-06,4,0,SCED,0.057591
2035-01-06,5,0,SCED,0.0583
2035-01-06,6,0,SCED,0.064206
2035-01-06,7,0,SCED,0.056966
2035-01-06,8,0,SCED,0.067142
2035-01-06,9,0,SCED,0.067016
2035-01-06,10,0,SCED,0.073676
2035-01-06,11,0,SCED,0.075175
2035-01-06,12,0,SCED,0.075865
2035-01-06,13,0,SCED,0.076472
2035-01-06,14,0,SCED,0.072923
2035-01-06,15,0,SCED,0.071672
2035-01-06,16,0,SCED,0.064582
2035-01-06,17,0,SCED,0.067221
2035-01-06,18,0,SCED,0.069247
2035-01-06,19,0,SCED,0.062322
2035-01-06,20,0,SCED,0.066056
2035-01-06,21,0,SCED,0.057249
2035-01-06,22,0,SCED,0.056845
2035-01-06,23,0,SCED,0.05602
2035-01-07,0,0,SCED,0.060733
2035-01-07,1,0,SCED,0.059431
2035-01-07,2,0,SCED,0.057009
2035-01-07,3,0,SCED,0.05677
2035-01-07,4,0,SCED,0.063489
2035-01-07,5,0,SCED,0.06396
2035-01-07,6,0,SCED,0.056865
2035-01-07,7,0,SCED,0.05868
2035-01-07,8,0,SCED,0.055995
2035-01-07,9,0,SCED,0.05769
2035-01-07,10,0,SCED,0.065775
2035-01-07,11,0,SCED,0.067547
2035-01-07,12,0,SCED,0.065622
2035-01-07,13,0,SCED,0.067824
2035-01-07,14,0,SCED,0.079266
2035-01-07,15,0,SCED,0.074167
2035-01-07,16,0,SCED,0.071194
2035-01-07,17,0,SCED,0.059034
2035-01-07,18,0,SCED,0.058724
2035-01-07,19,0,SCED,0.056058
2035-01-07,20,0,SCED,0.064379
2035-01-07,21,0,SCED,0.067606
2035-01-07,22,0,SCED,0.060664
2035-01-07,23,0,SCED,0.057144
2035-01-08,0,0,SCED,0.055922
2035-01-08,1,0,SCED,0.056735
2035-01-08,2,0,SCED,0.056082
2035-01-08,3,0,SCED,0.055795
2035-01-08,4,0,SCED,0.057611
2035-01-08,5,0,SCED,0.056654
2035-01-08,6,0,SCED,0.057082
2035-01-08,7,0,SCED,0.058084
2035-01-08,8,0,SCED,0.058308
2035-01-08,9,0,SCED,0.058237
2035-01-08,10,0,SCED,0.058275
2035-01-08,11,0,SCED,0.057905
2035-01-08,12,0,SCED,0.058507
2035-01-08,13,0,SCED,0.059967
2035-01-08,14,0,SCED,0.057167
2035-01-08,15,0,SCED,0.058025
2035-01-08,16,0,SCED,0.065054
2035-01-08,17,0,SCED,0.056916
2035-01-08,18,0,SCED,0.064369
2035-01-08,19,0,SCED,0.056686
2035-01-08,20,0,SCED,0.056916
2035-01-08,21,0,SCED,0.057092
2035-01-08,22,0,SCED,0.057056
2035-01-08,23,0,SCED,0.056427
2035-01-09,0,0,SCED,0.056854
2035-01-09,1,0,SCED,0.06578
2035-01-09,2,0,SCED,0.065518
2035-01-09,3,0,SCED,0.056081
2035-01-09,4,0,SCED,0.056847
2035-01-09,5,0,SCED,0.058615
2035-01-09,6,0,SCED,0.058707
2035-01-09,7,0,SCED,0.057344
2035-01-09,8,0,SCED,0.057785
2035-01-09,9,0,SCED,0.065968
2035-01-09,10,0,SCED,0.077921
2035-01-09,11,0,SCED,0.065474
2035-01-09,12,0,SCED,0.074216
2035-01-09,13,0,SCED,0.073777
2035-01-09,14,0,SCED,0.072386
2035-01-09,15,0,SCED,0.072995
2035-01-09,16,0,SCED,0.055807
2035-01-09,17,0,SCED,0.059076
2035-01-09,18,0,SCED,0.06422
2035-01-09,19,0,SCED,0.057307
2035-01-09,20,0,SCED,0.057727
2035-01-09,21,0,SCED,0.068227
2035-01-09,22,0,SCED,0.060535
2035-01-09,23,0,SCED,0.057488
2035-01-10,0,0,SCED,0.058039
2035-01-10,1,0,SCED,0.056821
2035-01-10,2,0,SCED,0.056899
2035-01-10,3,0,SCED,0.058534
2035-01-10,4,0,SCED,0.05791
2035-01-10,5,0,SCED,0.058347
2035-01-10,6,0,SCED,0.057244
2035-01-10,7,0,SCED,0.057446
2035-01-10,8,0,SCED,0.056648
2035-01-10,9,0,SCED,0.057591
2035-01-10,10,0,SCED,0.063542
2035-01-10,11,0,SCED,0.062387
2035-01-10,12,0,SCED,0.065838
2035-01-10,13,0,SCED,0.064856
2035-01-10,14,0,SCED,0.058911
2035-01-10,15,0,SCED,0.058295
2035-01-10,16,0,SCED,0.05873
2035-01-10,17,0,SCED,0.058165
2035-01-10,18,0,SCED,0.057644
2035-01-10,19,0,SCED,0.055826
2035-01-10,20,0,SCED,0.067272
2035-01-10,21,0,SCED,0.057461
2035-01-10,22,0,SCED,0.05585
2035-01-10,23,0,SCED,0.056247
2035-01-11,0,0,SCED,0.056115
2035-01-11,1,0,SCED,0.056797
2035-01-11,2,0,SCED,0.056772
2035-01-11,3,0,SCED,0.055373
2035-01-11,4,0,SCED,0.065863
2035-01-11,5,0,SCED,0.055231
2035-01-11,6,0,SCED,0.057722
2035-01-11,7,0,SCED,0.057273
2035-01-11,8,0,SCED,0.065243
2035-01-11,9,0,SCED,0.07256
2035-01-11,10,0,SCED,0.072601
2035-01-11,11,0,SCED,0.074955
2035-01-11,12,0,SCED,0.074183
2035-01-11,13,0,SCED,0.074434
2035-01-11,14,0,SCED,0.073223
2035-01-11,15,0,SCED,0.076657
2035-01-11,16,0,SCED,0.066105
2035-01-11,17,0,SCED,0.057378
2035-01-11,18,0,SCED,0.066331
2035-01-11,19,0,SCED,0.056704
2035-01-11,20,0,SCED,0.061401
2035-01-11,21,0,SCED,0.063679
2035-01-11,22,0,SCED,0.057428
2035-01-11,23,0,SCED,0.058603
2035-01-12,0,0,SCED,0.056196
2035-01-12,1,0,SCED,0.05712
2035-01-12,2,0,SCED,0.059247
2035-01-12,3,0,SCED,0.056509
2035-01-12,4,0,SCED,0.057818
2035-01-12,5,0,SCED,0.057702
2035-01-12,6,0,SCED,0.069915
2035-01-12,7,0,SCED,0.065938
2035-01-12,8,0,SCED,0.067342
2035-01-12,9,0,SCED,0.064345
2035-01-12,10,0,SCED,0.073979
2035-01-12,11,0,SCED,0.066163
2035-01-12,12,0,SCED,0.061389
2035-01-12,13,0,SCED,0.069207
2035-01-12,14,0,SCED,0.066435
2035-01-12,15,0,SCED,0.056426
2035-01-12,16,0,SCED,0.063873
2035-01-12,17,0,SCED,0.061523
2035-01-12,18,0,SCED,0.05993
2035-01-12,19,0,SCED,0.063947
2035-01-12,20,0,SCED,0.063416
2035-01-12,21,0,SCED,0.060919
2035-01-12,22,0,SCED,0.066868
2035-01-12,23,0,SCED,0.058262
2035-01-13,0,0,SCED,0.065971
2035-01-13,1,0,SCED,0.058887
2035-01-13,2,0,SCED,0.056265
2035-01-13,3,0,SCED,0.057293
2035-01-13,4,0,SCED,0.062603
2035-01-13,5,0,SCED,0.057012
2035-01-13,6,0,SCED,0.056317
2035-01-13,7,0,SCED,0.056996
2035-01-13,8,0,SCED,0.057239
2035-01-13,9,0,SCED,0.058642
2035-01-13,10,0,SCED,0.057198
2035-01-13,11,0,SCED,0.057267
2035-01-13,12,0,SCED,0.059731
2035-01-13,13,0,SCED,0.057794
2035-01-13,14,0,SCED,0.058001
2035-01-13,15,0,SCED,0.05786
2035-01-13,16,0,SCED,0.058168
2035-01-13,17,0,SCED,0.058867
2035-01-13,18,0,SCED,0.058574
2035-01-13,19,0,SCED,0.058488
2035-01-13,20,0,SCED,0.068759
2035-01-13,21,0,SCED,0.057405
2035-01-13,22,0,SCED,0.056279
2035-01-13,23,0,SCED,0.055748
2035-01-14,0,0,SCED,0.05785
2035-01-14,1,0,SCED,0.064991
2035-01-14,2,0,SCED,0.057531
2035-01-14,3,0,SCED,0.057741
2035-01-14,4,0,SCED,0.05603
2035-01-14,5,0,SCED,0.05747
2035-01-14,6,0,SCED,0.066204
2035-01-14,7,0,SCED,0.059367
2035-01-14,8,0,SCED,0.059787
2035-01-14,9,0,SCED,0.059467
2035-01-14,10,0,SCED,0.05696
2035-01-14,11,0,SCED,0.058331
2035-01-14,12,0,SCED,0.057884
2035-01-14,13,0,SCED,0.066928
2035-01-14,14,0,SCED,0.06718
2035-01-14,15,0,SCED,0.057797
2035-01-14,16,0,SCED,0.059247
2035-01-14,17,0,SCED,0.058757
2035-01-14,18,0,SCED,0.058908
2035-01-14,19,0,SCED,0.059512
2035-01-14,20,0,SCED,0.057626
2035-01-14,21,0,SCED,0.057463
2035-01-14,22,0,SCED,0.057478
2035-01-14,23,0,SCED,0.056363
2035-01-15,0,0,SCED,0.068871
