Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,293505.99,41.223122,58.835773,54105424.664047,3944879.944677,0.0,18849.784403,180.18,1507.8,127,7861.02,79256.783293,-79273111.767713,0.0,15183851.504225,0.0,-64089260.263489,0.0,0.0,-64089260.263489,-64.956441
2019-01-02,1136655.54,130939.9,130939.9,13.019575,18.459432,15341124.666108,5640891.037221,0.0,0.0,0.0,0.0,28,6134.85,44615.491618,2070231.80545,0.0,19691927.946437,0.0,21762159.751887,0.0,0.0,21762159.751887,19.145783
2019-01-03,1100872.77,151029.29,150167.266813,15.762134,19.75096,16520762.967857,5222531.219493,0.0,2003.456038,70.48,862.023187,96,11508.03,80050.787968,-15834292.130182,0.0,17834594.747884,0.0,2000302.617702,0.0,0.0,2000302.617702,1.817015
2019-01-04,1013727.34,139993.84,139816.84,15.992418,14.207111,10044195.394058,4357941.652093,0.0,359.022714,0.0,177.0,76,8611.8,72907.074464,-4736187.48312,0.0,14673564.443519,0.0,9937376.960399,0.0,0.0,9937376.960399,9.80281
2019-01-05,903816.2,156305.99,156305.99,20.910215,11.479287,7073705.577412,3301460.272249,0.0,0.0,0.0,0.0,60,5378.13,40988.642441,97629.987159,0.0,10357134.394964,0.0,10454764.382123,0.0,0.0,10454764.382123,11.567357
2019-01-06,837425.54,299729.54,297184.54,53.372152,15.348135,10368216.445846,2484703.736944,0.0,16574.732466,0.0,2545.0,83,5910.39,52542.432247,-67034695.744602,0.0,9026837.589357,0.0,-58007858.155245,0.0,0.0,-58007858.155245,-69.269273
2019-01-07,835476.71,274965.24,273314.600061,47.081373,17.600417,12204324.478847,2500413.890908,0.0,18353.248731,0.0,1650.639939,122,12482.49,73086.142324,-82871418.397141,0.0,8744231.388814,0.0,-74127187.008327,0.0,0.0,-74127187.008327,-88.724421
2019-01-08,854810.49,179507.09,179197.09,26.337631,13.207291,8384215.496255,2905515.648034,0.0,4770.846082,0.0,310.0,77,8612.22,54808.444694,-22756494.130728,0.0,10226119.25932,0.0,-12530374.871409,0.0,0.0,-12530374.871409,-14.658658
2019-01-09,887344.94,198454.88,198454.88,28.807917,10.503927,6431128.295516,2889477.956531,0.0,0.0,0.0,0.0,51,7370.22,41690.79389,1715245.597731,0.0,10016372.305279,0.0,11731617.90301,0.0,0.0,11731617.90301,13.221034
2019-01-10,933598.34,217570.5,215893.504197,29.711849,48.708717,42235267.2091,3239110.054202,0.0,8919.417273,0.0,1676.995803,74,8419.35,62493.584245,-43824596.50819,0.0,11557819.029033,0.0,-32266777.479157,0.0,0.0,-32266777.479157,-34.561734
2019-01-11,918205.77,266624.32,265370.385721,40.432795,70.665027,62058203.392738,2826832.535374,0.0,3489.224392,0.0,1253.934279,99,9483.45,81793.600196,-34666755.804832,0.0,10292161.258278,0.0,-24374594.546554,0.0,0.0,-24374594.546554,-26.545896
2019-01-12,882997.25,253466.77,250941.072834,38.735977,68.610672,57742862.156308,2840172.877731,0.0,15768.122888,0.0,2525.697166,160,14292.54,77672.185454,-69610799.9192,0.0,10249504.490776,0.0,-59361295.428424,0.0,0.0,-59361295.428424,-67.227045
2019-01-13,968302.49,140864.43,140864.43,17.024166,13.495119,9012538.746312,4054818.168724,0.0,0.0,0.0,0.0,37,5692.83,36377.984906,1705886.430491,0.0,13339118.749889,0.0,15045005.18038,0.0,0.0,15045005.18038,15.537505
2019-01-14,1048428.58,121728.56,121728.56,13.135703,16.126792,12157786.946736,4750003.154393,0.0,0.0,0.0,0.0,43,7720.02,46193.751425,1101428.054809,0.0,16882049.926063,0.0,17983477.980872,0.0,0.0,17983477.980872,17.152793
2019-01-15,1016539.15,147080.71,147022.71,16.902088,16.994664,13066634.850805,4209106.417395,0.0,332.955288,0.0,58.0,81,11277.84,66937.725288,-5908487.824263,0.0,15194171.186506,0.0,9285683.362244,0.0,0.0,9285683.362244,9.134605
2019-01-16,934076.17,215691.01,214773.299862,29.613841,14.984438,10890099.777399,3106506.796137,0.0,5943.474041,0.0,917.710138,103,9954.3,65198.76374,-33350051.819011,0.0,10550353.890508,0.0,-22799697.928503,0.0,0.0,-22799697.928503,-24.408821
2019-01-17,868965.08,154901.7,154901.7,21.69299,10.458453,6123825.685444,2964204.40957,0.0,0.0,0.0,0.0,54,5822.67,45904.112243,1224829.671861,0.0,11126639.977883,0.0,12351469.649743,0.0,0.0,12351469.649743,14.214
2019-01-18,885312.54,320373.83,318017.925513,54.082432,18.987372,13970497.335398,2839261.286162,0.0,20729.843225,0.0,2355.904487,127,9372.96,64099.251368,-96437035.945428,0.0,10767941.321727,0.0,-85669094.623701,0.0,0.0,-85669094.623701,-96.767063
2019-01-19,964352.87,282263.57,280751.964765,40.156381,62.971157,57197540.001128,3528875.998055,0.0,15545.668042,0.0,1511.605235,137,16020.81,98952.964536,-75226305.16182,0.0,11766195.372456,0.0,-63460109.789363,0.0,0.0,-63460109.789363,-65.805901
2019-01-20,1030244.15,183813.28,182497.08,21.412164,66.936982,65016165.315078,3945268.311045,0.0,4558.555927,0.0,1316.2,100,11904.42,75348.535529,-23142735.653493,0.0,13230508.621777,0.0,-9912227.031716,0.0,0.0,-9912227.031716,-9.621241
2019-01-21,998892.9,347210.64,344904.036959,51.016099,68.461245,65109584.720081,3275867.263759,0.0,22080.153977,0.0,2306.603041,131,9538.68,71678.88514,-98003757.843986,0.0,11310770.377461,0.0,-86692987.466525,0.0,0.0,-86692987.466525,-86.789072
2019-01-22,900192.29,367214.69,364563.203585,65.217063,20.450717,15618914.251386,2790663.885231,0.0,23370.637777,0.0,2651.486415,131,10579.92,71058.123806,-101297194.501175,0.0,10010300.374094,0.0,-91286894.127082,0.0,0.0,-91286894.127082,-101.408216
2019-01-23,1078724.34,230384.78,229946.78,26.894841,17.946063,14820919.209579,4537936.225378,0.0,6207.151445,0.0,438.0,95,12483.99,83249.502014,-28992539.189453,0.0,15952900.35215,0.0,-13039638.837303,0.0,0.0,-13039638.837303,-12.088018
2019-01-24,1048789.29,180566.6,179872.1,20.509866,20.860503,17745563.070366,4132708.646994,0.0,8085.601556,0.0,694.5,112,9844.08,87099.809743,-44752967.886555,0.0,14240234.526166,0.0,-30512733.360389,0.0,0.0,-30512733.360389,-29.093292
2019-01-25,999767.2,150084.46,149681.16,17.607766,14.840469,10753857.57372,4083156.388732,0.0,0.0,0.0,403.3,60,8792.85,67815.966763,-2518021.639079,0.0,13454116.147081,0.0,10936094.508003,0.0,0.0,10936094.508003,10.938641
2019-01-26,909271.36,125808.7,125808.7,16.058034,12.207764,7567759.051619,3532411.456089,0.0,0.0,0.0,0.0,38,5843.25,42666.320706,1836572.0926,0.0,20136298.103851,0.0,21972870.196452,0.0,0.0,21972870.196452,24.16536
2019-01-27,878022.17,140155.45,139920.45,18.952954,12.699774,7731292.313466,3419391.159621,0.0,149.703795,0.0,235.0,97,7963.14,65353.133211,-8914826.361191,0.0,11085565.986835,0.0,2170739.625645,0.0,0.0,2170739.625645,2.472306
2019-01-28,928045.38,258516.92,256537.966241,37.642096,46.277059,40034243.127703,2912968.078878,0.0,10011.403898,0.0,1978.953759,186,14804.04,97254.67379,-51357684.070813,0.0,9427862.742073,0.0,-41929821.32874,0.0,0.0,-41929821.32874,-45.180788
2019-01-29,1044673.06,206178.51,205874.21,24.540393,63.803558,62624134.31904,4029723.669926,0.0,120.939921,0.0,304.3,104,13590.63,75190.576893,-7414966.286319,0.0,13765550.065475,0.0,6350583.779156,0.0,0.0,6350583.779156,6.079016
2019-01-30,1051062.65,194503.3,193874.0,22.510932,51.548215,49924542.81839,4255860.579991,0.0,4055.112041,585.564,629.3,91,10930.02,69212.35991,-16143499.610682,0.0,16059316.824437,0.0,-84182.786245,0.0,61749.05,-22433.736245,-0.021344
2019-01-31,971425.1,235674.96,234992.378459,31.785167,15.956604,12072347.951039,3428297.919673,0.0,2881.871603,281.186,682.581541,116,11617.92,84660.260996,-26607481.243237,0.0,13126596.794242,0.0,-13480884.448996,0.0,39327.0,-13441557.448996,-13.836947
