Date,Hour,Minute,Type,Solve Time
2019-01-01,0,0,SCED,0.032418
2019-01-01,1,0,SCED,0.025217
2019-01-01,2,0,SCED,0.030976
2019-01-01,3,0,SCED,0.024578
2019-01-01,4,0,SCED,0.024293
2019-01-01,5,0,SCED,0.024522
2019-01-01,6,0,SCED,0.024311
2019-01-01,7,0,SCED,0.025084
2019-01-01,8,0,SCED,0.023902
2019-01-01,9,0,SCED,0.031579
2019-01-01,10,0,SCED,0.025231
2019-01-01,11,0,SCED,0.023156
2019-01-01,12,0,SCED,0.031844
2019-01-01,13,0,SCED,0.023959
2019-01-01,14,0,SCED,0.027021
2019-01-01,15,0,SCED,0.0248
2019-01-01,16,0,SCED,0.02342
2019-01-01,17,0,SCED,0.026967
2019-01-01,18,0,SCED,0.024363
2019-01-01,19,0,SCED,0.025099
2019-01-01,20,0,SCED,0.023934
2019-01-01,21,0,SCED,0.024744
2019-01-01,22,0,SCED,0.024723
2019-01-01,23,0,SCED,0.024091
2019-01-02,0,0,SCED,0.024037
2019-01-02,1,0,SCED,0.0228
2019-01-02,2,0,SCED,0.023578
2019-01-02,3,0,SCED,0.028892
2019-01-02,4,0,SCED,0.023661
2019-01-02,5,0,SCED,0.02986
2019-01-02,6,0,SCED,0.023974
2019-01-02,7,0,SCED,0.024233
2019-01-02,8,0,SCED,0.027719
2019-01-02,9,0,SCED,0.024126
2019-01-02,10,0,SCED,0.024548
2019-01-02,11,0,SCED,0.02449
2019-01-02,12,0,SCED,0.032686
2019-01-02,13,0,SCED,0.025055
2019-01-02,14,0,SCED,0.023886
2019-01-02,15,0,SCED,0.024329
2019-01-02,16,0,SCED,0.02491
2019-01-02,17,0,SCED,0.026032
2019-01-02,18,0,SCED,0.021854
2019-01-02,19,0,SCED,0.033336
2019-01-02,20,0,SCED,0.022439
2019-01-02,21,0,SCED,0.024992
2019-01-02,22,0,SCED,0.025047
2019-01-02,23,0,SCED,0.02431
2019-01-03,0,0,SCED,0.028412
2019-01-03,1,0,SCED,0.024188
2019-01-03,2,0,SCED,0.030398
2019-01-03,3,0,SCED,0.02469
2019-01-03,4,0,SCED,0.027866
2019-01-03,5,0,SCED,0.024885
2019-01-03,6,0,SCED,0.030471
2019-01-03,7,0,SCED,0.024613
2019-01-03,8,0,SCED,0.029181
2019-01-03,9,0,SCED,0.023711
2019-01-03,10,0,SCED,0.023927
2019-01-03,11,0,SCED,0.021745
2019-01-03,12,0,SCED,0.024318
2019-01-03,13,0,SCED,0.031599
2019-01-03,14,0,SCED,0.028574
2019-01-03,15,0,SCED,0.025214
2019-01-03,16,0,SCED,0.026341
2019-01-03,17,0,SCED,0.021277
2019-01-03,18,0,SCED,0.024942
2019-01-03,19,0,SCED,0.025039
2019-01-03,20,0,SCED,0.025065
2019-01-03,21,0,SCED,0.024407
2019-01-03,22,0,SCED,0.024077
2019-01-03,23,0,SCED,0.031968
2019-01-04,0,0,SCED,0.030193
2019-01-04,1,0,SCED,0.024514
2019-01-04,2,0,SCED,0.022394
2019-01-04,3,0,SCED,0.02467
2019-01-04,4,0,SCED,0.024804
2019-01-04,5,0,SCED,0.032006
2019-01-04,6,0,SCED,0.025095
2019-01-04,7,0,SCED,0.028305
2019-01-04,8,0,SCED,0.024276
2019-01-04,9,0,SCED,0.024759
2019-01-04,10,0,SCED,0.02383
2019-01-04,11,0,SCED,0.02495
2019-01-04,12,0,SCED,0.029008
2019-01-04,13,0,SCED,0.027496
2019-01-04,14,0,SCED,0.026481
2019-01-04,15,0,SCED,0.022915
2019-01-04,16,0,SCED,0.022937
2019-01-04,17,0,SCED,0.02416
2019-01-04,18,0,SCED,0.02447
2019-01-04,19,0,SCED,0.024082
2019-01-04,20,0,SCED,0.030361
2019-01-04,21,0,SCED,0.024249
2019-01-04,22,0,SCED,0.024304
2019-01-04,23,0,SCED,0.023925
2019-01-05,0,0,SCED,0.024181
2019-01-05,1,0,SCED,0.024002
2019-01-05,2,0,SCED,0.029161
2019-01-05,3,0,SCED,0.023577
2019-01-05,4,0,SCED,0.023943
2019-01-05,5,0,SCED,0.021055
2019-01-05,6,0,SCED,0.024301
2019-01-05,7,0,SCED,0.023744
2019-01-05,8,0,SCED,0.024149
2019-01-05,9,0,SCED,0.024732
2019-01-05,10,0,SCED,0.021268
2019-01-05,11,0,SCED,0.030149
2019-01-05,12,0,SCED,0.023807
2019-01-05,13,0,SCED,0.02406
2019-01-05,14,0,SCED,0.028453
2019-01-05,15,0,SCED,0.023112
2019-01-05,16,0,SCED,0.023448
2019-01-05,17,0,SCED,0.023931
2019-01-05,18,0,SCED,0.023537
2019-01-05,19,0,SCED,0.023973
2019-01-05,20,0,SCED,0.024283
2019-01-05,21,0,SCED,0.023792
2019-01-05,22,0,SCED,0.023984
2019-01-05,23,0,SCED,0.024181
2019-01-06,0,0,SCED,0.02387
2019-01-06,1,0,SCED,0.030057
2019-01-06,2,0,SCED,0.023645
2019-01-06,3,0,SCED,0.024122
2019-01-06,4,0,SCED,0.023956
2019-01-06,5,0,SCED,0.02363
2019-01-06,6,0,SCED,0.023873
2019-01-06,7,0,SCED,0.024075
2019-01-06,8,0,SCED,0.028016
2019-01-06,9,0,SCED,0.024793
2019-01-06,10,0,SCED,0.029522
2019-01-06,11,0,SCED,0.029295
2019-01-06,12,0,SCED,0.024589
2019-01-06,13,0,SCED,0.02364
