Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.302954,220699.74,220699.74,49.859584,0.017719,7633.170631,4120.828252,0.0,0.0,0.0,0.0,126,3428.679988,79499.862016,4171.424198,0.0,13348.478843,0.0,17519.903041,0.0,0.0,17519.903041,0.026412
2035-01-02,726983.002101,111623.36,111623.36,18.139532,0.033925,16792.699257,7870.418861,0.0,0.0,0.0,0.0,26,1966.29,67789.971111,2919.909747,0.0,16785.318124,0.0,19705.22787,0.0,0.0,19705.22787,0.027105
2035-01-03,682109.488598,117881.64,117881.64,20.89256,0.022781,8703.688532,6835.16412,0.0,0.0,0.0,0.0,29,924.21,61415.889732,2963.974854,0.0,15640.695633,0.0,18604.670487,0.0,0.0,18604.670487,0.027275
2035-01-04,656650.156974,108249.91,108249.91,19.739216,0.018403,5489.59175,6594.86875,0.0,0.0,0.0,0.0,22,737.1,48826.472937,2632.608434,0.0,14815.153731,0.0,17447.762165,0.0,0.0,17447.762165,0.026571
2035-01-05,637031.206328,109343.72,109343.72,20.721302,0.021622,7639.176128,6134.462959,0.0,0.0,0.0,0.0,25,1223.52,59433.949191,2597.092433,0.0,13756.742318,0.0,16353.834751,0.0,0.0,16353.834751,0.025672
2035-01-06,592596.149833,226860.36,226860.36,62.028482,0.013101,4756.413925,3007.422745,0.0,0.0,0.0,0.0,35,791.37,62355.423872,2620.439969,0.0,8977.903317,0.0,11598.343287,0.0,0.0,11598.343287,0.019572
2035-01-07,569691.44938,205265.67,205265.67,56.325782,0.009431,2099.781234,3273.188693,0.0,0.0,0.0,0.0,23,3589.08,43716.338929,1700.915735,0.0,8810.554316,0.0,10511.470051,0.0,0.0,10511.470051,0.018451
2035-01-08,582052.849943,126291.7,126291.7,27.710063,0.011789,1950.438873,4911.48843,0.0,0.0,0.0,0.0,23,781.86,49352.441043,2772.172618,0.0,11746.334527,0.0,14518.507144,0.0,0.0,14518.507144,0.024944
2035-01-09,603907.619822,174153.26,174153.26,40.523908,0.010753,2081.299273,4412.292249,0.0,0.0,0.0,0.0,20,1514.34,41840.953146,3413.097044,0.0,11996.620853,0.0,15409.717897,0.0,0.0,15409.717897,0.025517
2035-01-10,638003.835019,139774.08,139774.08,28.054141,0.02056,7404.964206,5712.561337,0.0,0.0,0.0,0.0,34,1249.29,62092.989226,2822.809051,0.0,14680.244831,0.0,17503.053882,0.0,0.0,17503.053882,0.027434
