Date,Hour,Minute,Type,Solve Time
2035-01-01,0,0,SCED,0.072072
2035-01-01,1,0,SCED,0.07477
2035-01-01,2,0,SCED,0.0861
2035-01-01,3,0,SCED,0.071336
2035-01-01,4,0,SCED,0.072014
2035-01-01,5,0,SCED,0.072198
2035-01-01,6,0,SCED,0.071065
2035-01-01,7,0,SCED,0.062256
2035-01-01,8,0,SCED,0.063468
2035-01-01,9,0,SCED,0.064823
2035-01-01,10,0,SCED,0.076446
2035-01-01,11,0,SCED,0.074298
2035-01-01,12,0,SCED,0.072905
2035-01-01,13,0,SCED,0.072326
2035-01-01,14,0,SCED,0.079288
2035-01-01,15,0,SCED,0.071695
2035-01-01,16,0,SCED,0.071128
2035-01-01,17,0,SCED,0.063622
2035-01-01,18,0,SCED,0.085649
2035-01-01,19,0,SCED,0.073656
2035-01-01,20,0,SCED,0.064588
2035-01-01,21,0,SCED,0.063847
2035-01-01,22,0,SCED,0.073853
2035-01-01,23,0,SCED,0.063085
2035-01-02,0,0,SCED,0.073379
2035-01-02,1,0,SCED,0.077084
2035-01-02,2,0,SCED,0.07126
2035-01-02,3,0,SCED,0.07457
2035-01-02,4,0,SCED,0.078216
2035-01-02,5,0,SCED,0.071311
2035-01-02,6,0,SCED,0.063462
2035-01-02,7,0,SCED,0.073869
2035-01-02,8,0,SCED,0.073394
2035-01-02,9,0,SCED,0.072156
2035-01-02,10,0,SCED,0.071378
2035-01-02,11,0,SCED,0.071732
2035-01-02,12,0,SCED,0.077662
2035-01-02,13,0,SCED,0.066295
2035-01-02,14,0,SCED,0.074962
2035-01-02,15,0,SCED,0.07383
2035-01-02,16,0,SCED,0.085811
2035-01-02,17,0,SCED,0.077771
2035-01-02,18,0,SCED,0.073726
2035-01-02,19,0,SCED,0.063699
2035-01-02,20,0,SCED,0.067439
2035-01-02,21,0,SCED,0.075642
2035-01-02,22,0,SCED,0.076283
2035-01-02,23,0,SCED,0.077991
2035-01-03,0,0,SCED,0.074928
2035-01-03,1,0,SCED,0.074394
2035-01-03,2,0,SCED,0.07148
2035-01-03,3,0,SCED,0.08554
2035-01-03,4,0,SCED,0.074789
