Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,283066.59,283066.59,39.172131,20.870371,16640916.282584,3950831.018664,0.0,19039.177938,0.0,0.0,193,11761.65,87591.221922,-78820687.328893,0.0,17504449.517028,0.0,-61316237.811865,0.0,20915.813119,-61295321.998745,-62.124699
2019-01-02,1136655.54,118992.7,118992.7,11.692743,19.142151,16151419.58204,5606612.757167,0.0,0.0,0.0,0.0,28,6233.25,45796.160422,1740768.152756,0.0,19295528.18949,0.0,21036296.342246,0.0,0.0,21036296.342246,18.507187
2019-01-03,1100872.77,139082.09,139082.09,14.430675,19.97213,16598007.405536,5388766.591112,0.0,2004.056465,332.535,0.0,99,11115.18,83125.525831,-16529374.619531,0.0,18866690.512025,0.0,2337315.892494,0.0,65520.879008,2402836.771502,2.182665
2019-01-04,1013727.34,128046.64,128046.64,14.451564,15.653113,11550296.950066,4317691.424424,0.0,359.326696,3.957,0.0,78,9116.25,72056.751179,-5352492.026706,0.0,15137820.785513,0.0,9785328.758808,0.0,0.0,9785328.758808,9.652821
2019-01-05,903816.2,144358.79,144358.79,19.008148,11.744312,7368173.335799,3246525.685915,0.0,0.0,0.0,0.0,61,6441.84,44002.820563,-599780.894608,0.0,11154653.895712,0.0,10554873.001103,0.0,0.0,10554873.001103,11.678119
2019-01-06,837425.54,287782.34,287782.34,50.826152,18.214665,12722014.491818,2531411.176385,0.0,16565.982683,0.0,0.0,84,6926.28,50754.018693,-66989368.237253,0.0,8911844.84553,0.0,-58077523.391723,0.0,0.0,-58077523.391723,-69.352463
2019-01-07,835476.71,263018.04,263018.04,44.51781,18.711977,13089785.706333,2543635.005874,0.0,18356.648196,0.0,0.0,115,11974.65,73934.906628,-83063566.753698,0.0,8770492.407352,0.0,-74293074.346345,0.0,0.0,-74293074.346345,-88.922975
2019-01-08,854810.49,167559.89,167559.89,24.213077,13.492905,8602456.730285,2931419.646239,0.0,4771.695335,0.0,0.0,85,9432.69,57978.547547,-23175507.565291,0.0,10315483.42899,0.0,-12860024.136301,0.0,0.0,-12860024.136301,-15.044298
2019-01-09,887344.94,186507.68,186507.68,26.612124,10.884558,6580289.986375,3078067.271414,0.0,0.0,0.0,0.0,52,7589.25,41347.62014,1521483.581161,0.0,10652894.37999,0.0,12174377.961152,0.0,0.0,12174377.961152,13.720006
2019-01-10,933598.34,205623.3,205623.3,27.903963,49.179698,42654727.470511,3259356.925413,0.0,8921.37457,0.0,0.0,65,8260.2,59682.279875,-43943683.97838,0.0,11488231.790943,0.0,-32455452.187436,0.0,0.0,-32455452.187436,-34.763828
2019-01-11,918205.77,254677.12,254677.12,38.180848,70.843313,62136406.339452,2912332.570268,0.0,3499.798948,0.0,0.0,95,9092.43,87998.021953,-34838547.287462,0.0,10429148.336314,0.0,-24409398.951148,0.0,0.0,-24409398.951148,-26.5838
2019-01-12,882997.25,241519.57,241519.57,36.7474,67.979695,57038428.341183,2987455.165807,0.0,15764.927412,0.0,0.0,153,14082.87,83177.952964,-70175440.281009,0.0,10455733.482167,0.0,-59719706.798842,0.0,0.0,-59719706.798842,-67.632948
2019-01-13,968302.49,128917.23,128917.23,15.358529,13.716501,9055425.215295,4226296.468772,0.0,0.0,0.0,0.0,39,6101.16,42687.607026,1469136.404395,0.0,14433700.653261,0.0,15902837.057656,0.0,0.0,15902837.057656,16.423419
2019-01-14,1048428.58,109781.36,109781.36,11.6957,17.462917,13453530.31236,4855090.793549,0.0,0.0,0.0,0.0,46,8255.22,49682.378042,1048031.077859,0.0,16846461.419203,0.0,17894492.497062,0.0,0.0,17894492.497062,17.067917
2019-01-15,1016539.15,135133.51,135133.51,15.325786,17.743781,13895381.844343,4141865.909118,0.0,333.878309,0.0,0.0,72,10318.74,53279.070477,-6200327.495644,0.0,13538449.884414,0.0,7338122.38877,0.0,0.0,7338122.38877,7.218731
2019-01-16,934076.17,203743.81,203743.81,27.672641,15.430314,11004600.487437,3408488.003179,0.0,5932.06532,188.795,0.0,111,9983.85,68674.861335,-33198114.8079,0.0,13667153.817007,0.0,-19530960.990894,0.0,19101.663101,-19511859.327793,-20.888938
2019-01-17,868965.08,142954.5,142954.5,19.690416,10.820948,6423343.53713,2979682.206974,0.0,0.0,0.0,0.0,59,7295.7,47466.343561,1058142.325983,0.0,10544785.413583,0.0,11602927.739566,0.0,0.0,11602927.739566,13.352582
2019-01-18,885312.54,308426.63,308426.63,51.609302,20.445926,15309346.301942,2791688.795212,0.0,20732.38268,0.0,0.0,118,8482.56,64532.02178,-97023224.401591,0.0,10373387.430248,0.0,-86649836.971343,0.0,0.0,-86649836.971343,-97.874856
2019-01-19,964352.87,270316.37,270316.37,38.096711,64.472607,58714476.326865,3459866.960828,0.0,15516.539213,0.0,0.0,130,16059.84,94524.03273,-75419050.883941,0.0,11443481.542456,0.0,-63975569.341485,0.0,0.0,-63975569.341485,-66.340415
2019-01-20,1030244.15,171866.08,171866.08,19.916415,68.26063,66440381.83781,3884732.895295,0.0,4558.768447,0.0,0.0,92,11638.77,75105.806726,-23287098.589721,0.0,12098939.61001,0.0,-11188158.979711,0.0,0.0,-11188158.979711,-10.859716
2019-01-21,998892.9,335263.44,335263.44,48.891039,68.516668,65094172.343879,3346640.432886,0.0,22106.511752,0.0,0.0,124,9552.51,79896.810457,-98567619.694807,0.0,11240249.983563,0.0,-87327369.711244,0.0,0.0,-87327369.711244,-87.424157
2019-01-22,900192.29,355267.49,355267.49,62.514256,20.595712,15676754.424034,2863346.56041,0.0,23373.560997,0.0,0.0,130,10424.82,76624.097915,-101735794.98538,0.0,9990713.264954,0.0,-91745081.720425,0.0,0.0,-91745081.720425,-101.917205
2019-01-23,1078724.34,218437.58,218437.58,25.209339,18.264139,15134584.820392,4567386.972288,0.0,6207.901086,0.0,0.0,100,13804.32,92610.429598,-29000825.996381,0.0,15728884.885498,0.0,-13271941.110883,0.0,21021.700759,-13250919.410124,-12.283879
2019-01-24,1048789.29,168619.4,168619.4,18.983122,21.435812,18239587.271449,4242063.254471,0.0,8089.69448,0.0,0.0,116,10625.46,81017.686294,-44708891.818666,0.0,14514623.497058,0.0,-30194268.321608,0.0,0.0,-30194268.321608,-28.789642
2019-01-25,999767.2,138137.26,138137.26,16.032087,15.332151,11225066.941129,4103514.408929,0.0,0.0,0.0,0.0,58,7961.79,62577.812398,-2459035.695373,0.0,13359611.1752,0.0,10900575.479827,0.0,0.0,10900575.479827,10.903114
2019-01-26,909271.36,113861.5,113861.5,14.314821,12.614772,7940379.841289,3529871.018206,0.0,0.0,0.0,0.0,39,6167.28,42184.236439,186735.665205,0.0,12113468.974394,0.0,12300204.639599,0.0,0.0,12300204.639599,13.52754
2019-01-27,878022.17,128208.25,128208.25,17.095258,12.710637,7592104.551587,3568116.348865,0.0,149.905014,0.0,0.0,84,6599.91,61842.745525,-8815942.287773,0.0,12077852.004931,0.0,3261909.717158,0.0,0.0,3261909.717158,3.715065
2019-01-28,928045.38,246569.72,246569.72,35.657762,46.366707,40046129.910268,2984278.334339,0.0,10013.948099,0.0,0.0,190,15944.37,99023.423771,-52176792.855432,0.0,9755165.726043,0.0,-42421627.12939,0.0,0.0,-42421627.12939,-45.710725
2019-01-29,1044673.06,194231.31,194231.31,22.835624,64.221528,63040818.694014,4049681.390762,0.0,121.010532,0.0,0.0,103,13564.65,74061.412385,-6039538.975308,0.0,12676732.251753,0.0,6637193.276445,0.0,23044.7,6660237.976445,6.375428
2019-01-30,1051062.65,182556.1,182556.1,20.921662,39.251489,36862909.426029,4392865.109035,0.0,4063.237312,286.625,0.0,84,9659.28,66231.284977,-18924972.702067,0.0,17783946.2344,0.0,-1141026.467667,0.0,126281.2,-1014745.267667,-0.965447
2019-01-31,971425.1,223727.76,223727.76,29.807405,16.2281,12263614.471713,3500768.796954,0.0,2880.43198,0.0,0.0,110,10374.15,82212.353323,-26958794.548134,0.0,12119512.912847,0.0,-14839281.635288,0.0,0.0,-14839281.635288,-15.275786
2019-02-01,866342.11,162911.47,162911.47,23.147453,13.05626,8476387.612823,2834799.986542,0.0,368.054305,2.087,0.0,83,9645.72,71659.357632,-6118706.112334,0.0,10676071.281687,0.0,4557365.169353,0.0,0.0,4557365.169353,5.260468
