Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.30299,220699.74,220699.74,49.859584,18.554263,5429299.860984,6878527.571636,0.0,0.0,0.0,0.0,152,2754.42,35391.497649,6521073.831183,0.0,13238958.809242,0.0,19760032.640425,0.0,26744.772247,19786777.412672,29.828909
2035-01-02,726983.002141,111623.36,111623.36,18.139532,26.884783,9818160.892067,9726619.637522,0.0,0.0,0.0,0.0,37,3270.51,27867.920017,3304670.532626,0.0,19148156.284859,0.0,22452826.817484,0.0,0.0,22452826.817484,30.884941
2035-01-03,682109.488632,117881.64,117881.64,20.89256,25.261185,8417663.836435,8813230.456712,0.0,0.0,0.0,0.0,48,3862.71,30905.998493,3328366.099046,0.0,17182921.503667,0.0,20511287.602713,0.0,0.0,20511287.602713,30.070374
2035-01-04,656650.15701,108249.91,108249.91,19.739216,24.694602,7602141.225809,8613573.008818,0.0,0.0,0.0,0.0,52,3572.13,28622.354753,3105578.06073,0.0,15439565.15884,0.0,18545143.219571,0.0,0.0,18545143.219571,28.242045
2035-01-05,637031.206365,109343.72,109343.72,20.721302,24.55744,7385470.699005,8258385.165026,0.0,0.0,0.0,0.0,56,4353.54,29404.722269,3422761.438681,0.0,17488317.224259,0.0,20911078.66294,0.0,0.0,20911078.66294,32.825831
2035-01-06,592596.149866,226860.36,226860.36,62.028482,16.496422,4321131.885564,5454584.49407,0.0,0.0,0.0,0.0,43,2676.27,27435.03246,5788474.260799,0.0,10376972.109233,0.0,16165446.370032,0.0,0.0,16165446.370032,27.279027
2035-01-07,569691.449412,205265.67,205265.67,56.325782,17.226605,4430675.554144,5383174.254075,0.0,0.0,0.0,0.0,42,5794.86,30175.295173,5312567.66778,0.0,9952605.171252,0.0,15265172.839032,0.0,0.0,15265172.839032,26.79551
2035-01-08,582052.849976,126291.7,126291.7,27.710063,21.752987,5565162.08835,7096225.85707,0.0,0.0,0.0,0.0,49,3727.8,33466.688905,3980899.67238,0.0,14535256.864197,0.0,18516156.536577,0.0,25503.582234,18541660.118812,31.85563
2035-01-09,603907.619855,174153.26,174153.26,40.523908,19.776784,5376393.842013,6566956.857842,0.0,0.0,0.0,0.0,30,4017.21,25101.901374,4686106.499981,0.0,11963093.898983,0.0,16649200.398963,0.0,0.0,16649200.398963,27.569118
2035-01-10,638003.835054,139774.08,139774.08,28.054141,22.716876,6757553.69671,7735900.497422,0.0,0.0,0.0,0.0,40,2274.84,27149.528609,3712938.278208,0.0,13803507.966871,0.0,17516446.245079,0.0,0.0,17516446.245079,27.45508
2035-01-11,620297.209111,215050.84,215050.84,53.066691,17.857673,4923700.735132,6153364.111418,0.0,0.0,2.304018,0.0,60,4645.44,27414.054926,5612880.094149,0.0,11606549.764055,0.0,17219429.858204,0.0,0.0,17219429.858204,27.759967
2035-01-12,602320.734327,178572.21,178572.21,42.141081,19.555287,5311501.894736,6467052.845895,0.0,0.0,0.870443,0.0,44,5174.67,39210.650173,5018608.660075,0.0,13783038.851322,0.0,18801647.511397,0.0,0.0,18801647.511397,31.215342
2035-01-13,659410.430059,110179.14,110179.14,20.060609,24.858715,7725377.822057,8666718.398159,0.0,0.0,0.0,0.0,33,3568.53,30586.512626,3239545.563779,0.0,16309742.072565,0.0,19549287.636344,0.0,13042.820844,19562330.457188,29.666395
2035-01-14,688782.440976,74929.92,74929.92,12.206502,27.690284,9304556.994824,9768024.227827,0.0,0.0,0.0,0.0,64,4163.43,30247.57453,2325125.892043,0.0,19806631.671769,0.0,22131757.563812,0.0,15077.352655,22146834.916467,32.1536
2035-01-15,673421.620958,99262.79,99262.79,17.288385,25.779817,8332524.848326,9028161.34266,0.0,0.0,0.0,0.0,60,3503.7,28252.602542,2868498.25169,0.0,16709771.773695,0.0,19578270.025385,0.0,0.0,19578270.025385,29.072827
2035-01-16,621948.924802,166690.25,166690.25,36.614404,20.446936,5790841.527995,6926108.037068,0.0,0.0,0.0,0.0,37,3731.94,24721.066375,4496686.092663,0.0,12353400.055495,0.0,16850086.148158,0.0,0.0,16850086.148158,27.092395
2035-01-17,534083.481211,116036.38,116036.38,27.756772,20.986136,4731093.234033,6477255.266915,0.0,0.0,1.933002,0.0,48,3616.02,25082.624682,3285299.527373,0.0,11931410.792141,0.0,15216710.319514,0.0,0.0,15216710.319514,28.491258
2035-01-18,537475.77593,248229.12,248229.12,85.819184,13.654782,3227139.26877,4111975.031154,0.0,0.0,0.0,0.0,45,2424.48,28159.44953,6217345.353548,0.0,8597616.656581,0.0,14814962.010129,0.0,0.0,14814962.010129,27.563962
2035-01-19,598474.767577,200948.81,200948.81,50.549859,18.66727,5190596.972752,5981293.242733,0.0,0.0,0.0,0.0,55,6366.0,35996.911134,5073190.731385,0.0,11073359.902739,0.0,16146550.634125,0.0,0.0,16146550.634125,26.979501
2035-01-20,640524.693625,109823.96,109823.96,20.694141,24.677799,7573523.00706,8233216.873225,0.0,0.0,0.0,0.0,52,4447.32,36754.556579,3075468.147923,0.0,15530327.95072,0.0,18605796.098644,0.0,0.0,18605796.098644,29.047742
2035-01-21,636762.366697,257750.75,257750.75,68.006029,16.19134,4632080.463084,5677955.813357,0.0,0.0,0.0,0.0,39,3115.32,29312.807525,6330854.809312,0.0,12011353.237801,0.0,18342208.047113,0.0,15307.332797,18357515.37991,28.82946
2035-01-22,567369.412872,282606.76,282606.76,99.242916,12.922096,3262252.002878,4069350.086284,0.0,0.0,0.0,0.0,55,5279.16,30036.785359,6957611.066903,0.0,9281929.934799,0.0,16239541.001702,0.0,0.0,16239541.001702,28.622518
2035-01-23,661218.553917,173703.3,173703.3,35.630331,21.487412,6698160.160671,7509715.056377,0.0,0.0,0.0,0.0,80,7303.77,39750.154413,4824483.105633,0.0,14933581.655513,0.0,19758064.761145,0.0,0.0,19758064.761145,29.881292
2035-01-24,636175.618808,122724.32,122724.32,23.901842,23.941608,7288061.174047,7943006.408484,0.0,0.0,0.0,0.0,66,4976.19,41932.460823,3678633.565579,0.0,15235651.948671,0.0,18914285.51425,0.0,0.0,18914285.51425,29.731233
2035-01-25,611827.030231,108921.14,108921.14,21.658354,23.885324,6784605.761347,7829081.38781,0.0,0.0,0.0,0.0,76,4650.63,36040.599946,3318908.569245,0.0,15759052.22899,0.0,19077960.798235,0.0,0.0,19077960.798235,31.181952
2035-01-26,608348.316077,87100.07,87100.07,16.709902,24.761401,6781538.506378,8282018.383145,0.0,0.0,16.509827,0.0,49,3823.11,35811.973455,2772169.432476,0.0,17068889.46662,0.0,19841058.899097,0.0,25571.496658,19866630.395755,32.65667
2035-01-27,600117.084328,95109.68,95109.68,18.833324,24.030894,6442689.720668,7978660.474982,0.0,0.0,11.450136,0.0,52,3121.38,32645.275237,3022599.1892,0.0,15713342.067158,0.0,18735941.256358,0.0,12944.716308,18748885.972666,31.242047
2035-01-28,625786.155721,198127.15,198127.15,46.328301,18.998156,5480819.915092,6407962.906914,0.0,0.0,0.0,0.0,39,2735.55,34437.801404,5041467.45695,0.0,11968322.462203,0.0,17009789.919153,0.0,0.0,17009789.919153,27.181474
2035-01-29,710015.772736,160631.49,160631.49,29.238457,23.955101,8481238.330781,8527261.122072,0.0,0.0,1.966845,0.0,82,7235.37,42887.009732,4697409.836798,0.0,16457541.96065,0.0,21154951.797448,0.0,33020.662765,21187972.460213,29.841552
2035-01-30,678405.930605,140650.12,140650.12,26.155016,23.652924,7699991.387893,8346292.204799,0.0,0.0,0.0,0.0,46,4092.69,28873.647445,3943724.440109,0.0,15439268.794344,0.0,19382993.234453,0.0,0.0,19382993.234453,28.571379
2035-01-31,637995.743016,192910.62,192910.62,43.34241,19.487443,5616436.479474,6816469.506456,0.0,0.0,0.0,0.0,52,3929.37,35424.202666,4520188.092191,0.0,19321249.297473,0.0,23841437.389664,0.0,0.0,23841437.389664,37.369273
2035-02-01,526584.035026,141869.07,141869.07,36.876411,19.038986,4121899.630514,5903726.607704,0.0,0.0,0.0,0.0,36,3090.42,27433.833827,3940350.944375,0.0,11196663.408888,0.0,15137014.353263,0.0,10869.061277,15147883.41454,28.766317
2035-02-02,547686.9664,163584.16,163584.16,42.58864,18.427787,4236120.825368,5856538.199252,0.0,0.0,0.0,0.0,51,3811.5,27899.206023,4209634.106971,0.0,12075624.944114,0.0,16285259.051084,0.0,11808.417168,16297067.468253,29.756172
2035-02-03,560963.076923,244674.33,244674.33,77.357899,14.344062,3349140.458381,4697348.498409,0.0,0.0,0.0,0.0,35,3190.74,24884.91928,6276851.845852,0.0,9349363.272066,0.0,15626215.117918,0.0,0.0,15626215.117918,27.856049
2035-02-04,553991.754101,163903.98,163903.98,42.017205,18.548904,4282574.839918,5993365.201652,0.0,0.0,0.0,0.0,48,4335.51,24766.909725,4487200.521955,0.0,11123869.155286,0.0,15611069.677241,0.0,0.0,15611069.677241,28.179246
2035-02-05,569074.841442,191241.44,191241.44,50.615282,17.379536,4112632.153243,5777624.715287,0.0,0.0,0.0,0.0,47,2970.66,25515.324451,5493725.676712,0.0,13587243.381489,0.0,19080969.058201,0.0,0.0,19080969.058201,33.529806
2035-02-06,565969.665287,227164.67,227164.67,67.048796,15.206288,3542234.95075,5064062.840969,0.0,0.0,0.0,0.0,30,2041.26,24200.258769,5807179.958337,0.0,10016780.143783,0.0,15823960.10212,0.0,0.0,15823960.10212,27.959025
2035-02-07,583594.016899,259275.86,259275.86,79.94491,14.884068,3914420.121598,4771832.771675,0.0,0.0,0.0,0.0,54,4389.03,31891.577755,6471327.973343,0.0,9990348.519988,0.0,16461676.49333,0.0,0.0,16461676.49333,28.207411
2035-02-08,775401.257292,219766.05,219766.05,39.552218,22.811198,9072854.443271,8614976.838444,0.0,0.0,0.0,0.0,73,6060.6,37182.828736,5178960.213747,0.0,18009341.856186,0.0,23188302.069934,0.0,0.0,23188302.069934,29.904906
2035-02-09,801095.682811,170947.14,170947.14,27.12807,24.890496,9989216.989718,9950451.83189,0.0,0.0,0.0,0.0,70,3794.43,28936.768316,5653967.437052,0.0,22368465.13576,0.0,28022432.572812,0.0,0.0,28022432.572812,34.980132
2035-02-10,724846.858671,117822.23,117822.23,19.409794,26.115928,9366915.735503,9563132.463798,0.0,0.0,0.0,0.0,63,3322.83,42307.296725,3785426.398661,0.0,19495547.936457,0.0,23280974.335118,0.0,15824.997802,23296799.33292,32.140305
2035-02-11,634519.206491,211613.44,211613.44,50.037965,18.464228,5368743.596758,6347163.572162,0.0,0.0,0.0,0.0,48,2710.59,30467.214644,5607481.699974,0.0,11481021.692849,0.0,17088503.392823,0.0,0.0,17088503.392823,26.93142
2035-02-12,601138.525115,169585.96,169585.96,39.29671,20.039863,5376471.873392,6670261.753217,0.0,0.0,0.0,0.0,58,4903.77,39035.049041,4797605.076088,0.0,12940616.552298,0.0,17738221.628386,0.0,0.0,17738221.628386,29.507711
2035-02-13,632267.906846,212067.59,212067.59,50.468213,18.233471,5093779.786117,6434658.510579,0.0,0.0,0.0,0.0,54,2527.65,24223.102912,5613852.455983,0.0,11709146.497662,0.0,17322998.953645,0.0,0.0,17322998.953645,27.398194
2035-02-14,580882.695007,242789.34,242789.34,71.811332,15.356218,3901776.495697,5018384.603443,0.0,0.0,0.0,0.0,44,4253.97,27627.449441,6213817.009894,0.0,9782061.714473,0.0,15995878.724367,0.0,0.0,15995878.724367,27.537193
2035-02-15,562235.117108,186598.3,186598.3,49.675189,17.407431,4057931.97617,5729137.070121,0.0,0.0,10.963758,0.0,44,3093.84,24649.514024,4946658.632572,0.0,11054003.198279,0.0,16000661.830851,0.0,0.0,16000661.830851,28.459022
2035-02-16,579288.003366,135043.59,135043.59,30.398489,21.379107,5564706.005721,6819954.397805,0.0,0.0,0.0,0.0,33,3086.85,28846.424964,3761057.493715,0.0,12859040.122201,0.0,16620097.615916,0.0,0.0,16620097.615916,28.690561
2035-02-17,578945.068025,176850.85,176850.85,43.98244,18.835346,4776802.153247,6127828.596586,0.0,0.0,3.273336,0.0,53,4336.14,40080.604664,4716544.577709,0.0,12569057.56944,0.0,17285602.147149,0.0,0.0,17285602.147149,29.857068
2035-02-18,642411.271202,284327.17,284327.17,79.402344,15.417744,4537423.839486,5367108.384828,0.0,0.0,0.0,0.0,43,3784.95,26286.798885,6218624.245895,0.0,14265778.412009,0.0,20484402.657905,0.0,0.0,20484402.657905,31.886742
2035-02-19,697226.425362,201851.84,201851.84,40.747314,21.84975,7506916.591683,7727306.499125,0.0,0.0,0.0,0.0,55,6079.29,34244.457963,4839913.768284,0.0,17874137.015297,0.0,22714050.783581,0.0,14626.445064,22728677.228645,32.598703
2035-02-20,668724.195061,128327.41,128327.41,23.746886,24.863025,8219098.091324,8407408.5595,0.0,0.0,0.0,0.0,72,4304.55,37948.738936,3659024.184943,0.0,17569769.34825,0.0,21228793.533193,0.0,0.0,21228793.533193,31.745215
2035-02-21,628930.3111,202731.12,202731.12,47.567223,18.829941,5350134.201661,6492586.180233,0.0,0.0,0.074485,0.0,60,3765.42,30788.73256,5438174.232711,0.0,13744611.223871,0.0,19182785.456582,0.0,0.0,19182785.456582,30.500653
2035-02-22,606971.072434,182945.9,182945.9,43.145056,19.121698,5086832.92503,6519484.467536,0.0,0.0,0.0,0.0,49,3618.87,26906.873784,5117677.758336,0.0,13518309.387802,0.0,18635987.146139,0.0,25840.110764,18661827.256902,30.745826
2035-02-23,568770.020345,213597.08,213597.08,60.138895,16.586972,4171886.788511,5262285.712926,0.0,0.0,0.0,0.0,39,4777.83,41236.962205,5677433.61629,0.0,10336834.768368,0.0,16014268.384658,0.0,0.0,16014268.384658,28.155964
2035-02-24,593199.537597,171464.44,171464.44,40.656905,19.658595,5149969.607099,6511500.052872,0.0,0.0,0.0,0.0,42,3707.55,33157.475114,4994426.610055,0.0,13690699.432608,0.0,18685126.042663,0.0,13328.360688,18698454.40335,31.521357
2035-02-25,597525.627286,197534.46,197534.46,49.384706,18.621908,5161937.58836,5965129.666512,0.0,0.0,0.0,0.0,49,4449.66,34730.652806,5341003.947201,0.0,12316357.821699,0.0,17657361.7689,0.0,0.0,17657361.7689,29.550802
2035-02-26,567114.17276,203078.84,203078.84,55.785475,16.788021,3998647.47628,5522077.109665,0.0,0.0,0.0,0.0,52,4113.12,28963.341712,4966460.565011,0.0,12606806.360307,0.0,17573266.925319,0.0,0.0,17573266.925319,30.987176
2035-02-27,577483.284791,121720.48,121720.48,26.70698,22.017929,5577203.555416,7137782.691457,0.0,0.0,0.0,0.0,35,3862.95,24920.065621,3578650.232488,0.0,13485265.110229,0.0,17063915.342717,0.0,0.0,17063915.342717,29.548761
2035-02-28,682150.67824,130061.83,130061.83,23.558134,25.134956,8431004.11093,8714823.050822,0.0,0.0,0.0,0.0,46,3473.64,26229.261044,3716816.156022,0.0,15683234.719904,0.0,19400050.875926,0.0,0.0,19400050.875926,28.439539
2035-03-01,702029.527257,130895.42,130895.42,22.918509,26.00356,9337941.452118,8917325.334041,0.0,0.0,1.681738,0.0,80,4925.79,35173.197679,4122395.181661,0.0,18716414.518137,0.0,22838809.699798,0.0,0.0,22838809.699798,32.532549
2035-03-02,658134.816849,175460.73,175460.73,36.351802,21.323199,6620389.38059,7413150.170614,0.0,0.0,0.0,0.0,46,2717.22,40736.99381,5206729.647636,0.0,14866691.412772,0.0,20073421.060408,0.0,0.0,20073421.060408,30.50047
2035-03-03,681292.228274,244451.75,244451.75,55.959043,18.190939,5723932.974648,6669412.647796,0.0,0.0,0.0,0.0,71,3742.83,35501.831037,6079050.332479,0.0,14040126.981395,0.0,20119177.313874,0.0,15448.341523,20134625.655398,29.553582
2035-03-04,859007.303821,253616.94,253616.94,41.893125,23.67607,10907324.545343,9430592.914228,0.0,0.0,0.0,0.0,73,8180.1,47193.568779,6036680.981701,0.0,20373388.062472,0.0,26410069.044173,0.0,0.0,26410069.044173,30.744871
2035-03-05,826271.291565,123136.44,123136.44,17.512493,29.464929,13239661.139973,11106363.719121,0.0,0.0,26.067262,0.0,90,6340.77,38005.701499,3723903.948817,0.0,22489529.944265,0.0,26213433.893082,0.0,18348.385266,26231782.278348,31.747179
2035-03-06,717733.560806,181641.87,181641.87,33.882612,24.263305,9282583.993966,8132003.990083,0.0,0.0,0.0,0.0,105,6347.22,40326.98077,4857972.957371,0.0,15806324.515331,0.0,20664297.472702,0.0,17421.312243,20681718.784944,28.815315
2035-03-07,581638.362657,261991.57,261991.57,81.962834,14.370519,3724961.621885,4633483.429613,0.0,0.0,0.340219,0.0,52,3772.5,33071.006969,6071366.267636,0.0,11859086.306751,0.0,17930452.574387,0.0,0.0,17930452.574387,30.827493
2035-03-08,572238.24303,262879.17,262879.17,84.975419,13.827209,3380232.88511,4532224.991183,0.0,0.0,0.230175,0.0,53,4659.6,25409.621087,5866058.432136,0.0,11708853.485365,0.0,17574911.917501,0.0,0.0,17574911.917501,30.712578
2035-03-09,586138.198172,238699.61,238699.61,68.702677,15.79768,4103533.29061,5156090.47547,0.0,0.0,0.0,0.0,29,4150.53,26143.812328,6066681.887811,0.0,9312342.006652,0.0,15379023.894462,0.0,0.0,15379023.894462,26.23788
2035-03-10,566272.667666,180861.05,180861.05,46.926725,17.994,4290177.020958,5899333.098289,0.0,0.0,0.0,0.0,49,2696.7,27237.725562,4981371.914029,0.0,12650826.144664,0.0,17632198.058693,0.0,0.0,17632198.058693,31.137293
2035-03-11,595754.25636,201804.36,201804.36,51.225895,17.684302,4634362.318042,5901135.9626,0.0,0.0,0.0,0.0,35,3746.52,29687.323331,5236189.400276,0.0,11432965.136437,0.0,16669154.536713,0.0,0.0,16669154.536713,27.979917
2035-03-12,590021.943537,196557.52,196557.52,49.955602,17.872719,4565996.199634,5979300.413827,0.0,0.0,0.0,0.0,24,3656.07,28363.910078,5014327.221088,0.0,11694229.474165,0.0,16708556.695253,0.0,0.0,16708556.695253,28.318534
2035-03-13,584182.974522,174208.64,174208.64,42.492572,19.109747,4932507.553622,6231081.530292,0.0,0.0,0.0,0.0,59,4479.9,47267.014822,4704178.215288,0.0,12236275.090975,0.0,16940453.306263,0.0,0.0,16940453.306263,28.99854
2035-03-14,555252.683524,240783.56,240783.56,76.568268,14.734425,3585575.442929,4595753.377594,0.0,0.0,0.0,0.0,53,5212.86,40718.089373,6107958.853311,0.0,11749437.098799,0.0,17857395.95211,0.0,0.0,17857395.95211,32.160846
2035-03-15,593815.829087,207224.08,207224.08,53.60282,17.720504,4687210.014047,5835505.467497,0.0,0.0,0.0,0.0,41,4578.6,30667.58961,5611186.469624,0.0,11899919.308305,0.0,17511105.77793,0.0,12404.268127,17523510.046057,29.510008
2035-03-16,599616.075282,112314.7,112314.7,23.048304,23.394538,6370985.586506,7656755.294724,0.0,0.0,4.886491,0.0,62,4179.06,29323.840686,3711746.083555,0.0,16319269.520199,0.0,20031015.603753,0.0,0.0,20031015.603753,33.406402
2035-03-17,559314.655596,82118.42,82118.42,17.208522,24.149487,6002339.02119,7504822.964153,0.0,0.0,4.429522,0.0,52,3155.34,28856.774636,2729158.407382,0.0,16195203.775889,0.0,18924362.183271,0.0,24700.578969,18949062.76224,33.879074
2035-03-18,579709.753112,106370.85,106370.85,22.47245,23.262204,6200632.394474,7284694.332259,0.0,0.0,0.0,0.0,42,4333.08,28896.144947,2930470.911204,0.0,13207584.776822,0.0,16138055.688026,0.0,0.0,16138055.688026,27.838165
