Date,Hour,Minute,Generator,Output,Output DA,Curtailment,Unit Market Revenue,Unit Uplift Payment
2035-01-01,0,0,9,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,21,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,22,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,23,56.49,56.49,0.0,1536.20751,0.0
2035-01-01,0,0,24,99.95,99.95,0.0,2718.072945,0.0
2035-01-01,0,0,31,9.14,9.14,0.0,248.556145,0.0
2035-01-01,0,0,32,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,41,4.67,4.67,0.0,126.997505,0.0
2035-01-01,0,0,52,9.69,9.69,0.0,263.513025,0.0
2035-01-01,0,0,53,15.39,15.39,0.0,418.520687,0.0
2035-01-01,0,0,55,143.41,143.41,0.0,3899.938379,0.0
2035-01-01,0,0,68,10.2,10.2,0.0,277.382131,0.0
2035-01-01,0,0,77,200.0,200.0,0.0,5438.865322,0.0
2035-01-01,0,0,78,151.2,151.2,0.0,4111.782184,0.0
2035-01-01,0,0,79,87.5,87.5,0.0,2379.503579,0.0
2035-01-01,0,0,80,141.5,141.5,0.0,3847.997216,0.0
2035-01-01,0,0,81,185.0,185.0,0.0,5030.950423,0.0
2035-01-01,0,0,82,130.5,130.5,0.0,3548.859623,0.0
2035-01-01,0,0,83,291.0,291.0,0.0,7913.549044,0.0
2035-01-01,0,0,88,170.6,170.6,0.0,4639.35212,0.0
2035-01-01,0,0,89,164.0,164.0,0.0,4459.869564,0.0
2035-01-01,0,0,90,220.2,220.2,0.0,5988.19072,0.0
2035-01-01,0,0,91,785.5,785.5,0.0,21361.143553,0.0
2035-01-01,0,0,92,282.5,282.5,0.0,7682.397268,0.0
2035-01-01,0,0,96,3.62,3.62,0.0,98.443462,0.0
2035-01-01,0,0,97,22.27,22.27,0.0,605.617654,0.0
2035-01-01,0,0,104,3.9,3.9,0.0,106.057874,0.0
2035-01-01,0,0,106,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,109,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,111,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,113,143.72,143.72,0.0,3908.368621,0.0
2035-01-01,0,0,115,143.72,143.72,0.0,3908.368621,0.0
2035-01-01,0,0,117,9.58,9.58,0.0,260.521649,0.0
2035-01-01,0,0,123,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,125,90.45,90.45,0.0,2459.726842,0.0
2035-01-01,0,0,126,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,127,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,128,129.54,129.54,0.0,3522.753069,0.0
2035-01-01,0,0,139,6.04,6.04,0.0,164.253733,0.0
2035-01-01,0,0,153,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,154,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,157,250.0,250.0,0.0,6798.581653,0.0
2035-01-01,0,0,158,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,162,14.06,14.06,0.0,382.352232,0.0
2035-01-01,0,0,164,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,167,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,168,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,170,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,172,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,173,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,188,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,194,176.5,176.5,0.0,4799.798647,0.0
2035-01-01,0,0,204,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,205,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,206,65.45,65.45,0.0,1779.868677,0.0
2035-01-01,0,0,210,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,217,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,218,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,219,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,225,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,265,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,266,3.91,3.91,0.0,106.329817,0.0
2035-01-01,0,0,267,4.8,4.8,0.0,130.532768,0.0
2035-01-01,0,0,272,480.32,480.32,0.0,13061.978958,0.0
2035-01-01,0,0,277,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,278,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,279,264.6,264.6,0.0,7195.618821,0.0
2035-01-01,0,0,281,4.1,4.1,0.0,111.496739,0.0
2035-01-01,0,0,pv_3-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_6-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_7-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_13-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_22-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_27-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_28-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_29-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_30-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_31-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_34-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_38-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_40-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_50-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_55-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_59-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_70-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_76-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_77-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_83-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_88-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_94-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_101-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_102-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_117-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_119-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,wind_3-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,wind_7-c,99.95,99.95,0.0,2718.072945,0.0
2035-01-01,0,0,wind_22-c,10.2,10.2,0.0,277.382131,0.0
2035-01-01,0,0,wind_26-c,151.2,151.2,0.0,4111.782184,0.0
2035-01-01,0,0,wind_30-c,130.5,130.5,0.0,3548.859623,0.0
2035-01-01,0,0,wind_34-c,164.0,164.0,0.0,4459.869564,0.0
2035-01-01,0,0,wind_50-c,0.0,0.0,0.0,0.0,0.0
