Date,Hour,Minute,Type,Solve Time
2019-01-01,0,0,SCED,0.059572
2019-01-01,1,0,SCED,0.059408
2019-01-01,2,0,SCED,0.0582
2019-01-01,3,0,SCED,0.059663
2019-01-01,4,0,SCED,0.066992
2019-01-01,5,0,SCED,0.059684
2019-01-01,6,0,SCED,0.059397
2019-01-01,7,0,SCED,0.058819
2019-01-01,8,0,SCED,0.059553
2019-01-01,9,0,SCED,0.059467
2019-01-01,10,0,SCED,0.059854
2019-01-01,11,0,SCED,0.060014
2019-01-01,12,0,SCED,0.064065
2019-01-01,13,0,SCED,0.067736
2019-01-01,14,0,SCED,0.059047
2019-01-01,15,0,SCED,0.065032
2019-01-01,16,0,SCED,0.066386
2019-01-01,17,0,SCED,0.059805
2019-01-01,18,0,SCED,0.059495
2019-01-01,19,0,SCED,0.058554
2019-01-01,20,0,SCED,0.057509
2019-01-01,21,0,SCED,0.059043
2019-01-01,22,0,SCED,0.058493
2019-01-01,23,0,SCED,0.066584
2019-01-02,0,0,SCED,0.057557
2019-01-02,1,0,SCED,0.057665
2019-01-02,2,0,SCED,0.058632
2019-01-02,3,0,SCED,0.058207
2019-01-02,4,0,SCED,0.05885
2019-01-02,5,0,SCED,0.058404
2019-01-02,6,0,SCED,0.059962
2019-01-02,7,0,SCED,0.061008
2019-01-02,8,0,SCED,0.071907
2019-01-02,9,0,SCED,0.060194
2019-01-02,10,0,SCED,0.05922
2019-01-02,11,0,SCED,0.060995
2019-01-02,12,0,SCED,0.067294
2019-01-02,13,0,SCED,0.062241
2019-01-02,14,0,SCED,0.061045
2019-01-02,15,0,SCED,0.061206
2019-01-02,16,0,SCED,0.058683
2019-01-02,17,0,SCED,0.068782
2019-01-02,18,0,SCED,0.063707
2019-01-02,19,0,SCED,0.06953
2019-01-02,20,0,SCED,0.059493
2019-01-02,21,0,SCED,0.059893
2019-01-02,22,0,SCED,0.06
2019-01-02,23,0,SCED,0.064577
2019-01-03,0,0,SCED,0.058453
2019-01-03,1,0,SCED,0.059281
2019-01-03,2,0,SCED,0.064549
2019-01-03,3,0,SCED,0.059837
2019-01-03,4,0,SCED,0.059066
2019-01-03,5,0,SCED,0.057603
2019-01-03,6,0,SCED,0.068559
2019-01-03,7,0,SCED,0.075666
2019-01-03,8,0,SCED,0.081207
2019-01-03,9,0,SCED,0.075777
2019-01-03,10,0,SCED,0.069109
2019-01-03,11,0,SCED,0.079519
2019-01-03,12,0,SCED,0.078545
2019-01-03,13,0,SCED,0.085899
2019-01-03,14,0,SCED,0.078668
2019-01-03,15,0,SCED,0.076934
2019-01-03,16,0,SCED,0.077465
2019-01-03,17,0,SCED,0.067335
2019-01-03,18,0,SCED,0.058726
2019-01-03,19,0,SCED,0.058208
2019-01-03,20,0,SCED,0.060466
2019-01-03,21,0,SCED,0.062967
2019-01-03,22,0,SCED,0.058626
2019-01-03,23,0,SCED,0.056739
2019-01-04,0,0,SCED,0.068026
2019-01-04,1,0,SCED,0.058898
2019-01-04,2,0,SCED,0.059005
2019-01-04,3,0,SCED,0.058929
2019-01-04,4,0,SCED,0.058735
2019-01-04,5,0,SCED,0.059161
2019-01-04,6,0,SCED,0.060631
2019-01-04,7,0,SCED,0.059795
2019-01-04,8,0,SCED,0.059932
2019-01-04,9,0,SCED,0.059439
2019-01-04,10,0,SCED,0.059835
2019-01-04,11,0,SCED,0.060444
2019-01-04,12,0,SCED,0.064107
2019-01-04,13,0,SCED,0.064116
2019-01-04,14,0,SCED,0.059973
2019-01-04,15,0,SCED,0.063164
2019-01-04,16,0,SCED,0.057854
2019-01-04,17,0,SCED,0.063745
2019-01-04,18,0,SCED,0.058982
2019-01-04,19,0,SCED,0.06414
2019-01-04,20,0,SCED,0.058331
2019-01-04,21,0,SCED,0.060178
2019-01-04,22,0,SCED,0.062018
2019-01-04,23,0,SCED,0.058863
2019-01-05,0,0,SCED,0.066904
2019-01-05,1,0,SCED,0.063375
2019-01-05,2,0,SCED,0.068345
2019-01-05,3,0,SCED,0.05895
2019-01-05,4,0,SCED,0.056039
2019-01-05,5,0,SCED,0.059378
2019-01-05,6,0,SCED,0.068129
2019-01-05,7,0,SCED,0.061124
2019-01-05,8,0,SCED,0.060136
2019-01-05,9,0,SCED,0.068887
2019-01-05,10,0,SCED,0.064279
2019-01-05,11,0,SCED,0.064861
2019-01-05,12,0,SCED,0.06079
2019-01-05,13,0,SCED,0.057787
2019-01-05,14,0,SCED,0.059571
2019-01-05,15,0,SCED,0.058198
2019-01-05,16,0,SCED,0.061033
2019-01-05,17,0,SCED,0.060342
2019-01-05,18,0,SCED,0.060555
2019-01-05,19,0,SCED,0.068317
2019-01-05,20,0,SCED,0.059223
2019-01-05,21,0,SCED,0.058015
2019-01-05,22,0,SCED,0.057537
2019-01-05,23,0,SCED,0.058899
2019-01-06,0,0,SCED,0.061034
2019-01-06,1,0,SCED,0.058558
2019-01-06,2,0,SCED,0.060532
2019-01-06,3,0,SCED,0.065156
2019-01-06,4,0,SCED,0.060002
2019-01-06,5,0,SCED,0.056383
2019-01-06,6,0,SCED,0.059894
2019-01-06,7,0,SCED,0.065252
2019-01-06,8,0,SCED,0.067442
2019-01-06,9,0,SCED,0.060433
2019-01-06,10,0,SCED,0.060933
2019-01-06,11,0,SCED,0.059914
2019-01-06,12,0,SCED,0.059349
2019-01-06,13,0,SCED,0.060877
2019-01-06,14,0,SCED,0.057309
2019-01-06,15,0,SCED,0.060515
2019-01-06,16,0,SCED,0.059439
2019-01-06,17,0,SCED,0.059185
2019-01-06,18,0,SCED,0.060523
2019-01-06,19,0,SCED,0.064998
2019-01-06,20,0,SCED,0.062126
2019-01-06,21,0,SCED,0.05952
2019-01-06,22,0,SCED,0.059683
2019-01-06,23,0,SCED,0.06835
2019-01-07,0,0,SCED,0.058894
2019-01-07,1,0,SCED,0.059622
2019-01-07,2,0,SCED,0.059452
2019-01-07,3,0,SCED,0.066432
2019-01-07,4,0,SCED,0.061627
2019-01-07,5,0,SCED,0.059741
2019-01-07,6,0,SCED,0.059914
2019-01-07,7,0,SCED,0.070717
2019-01-07,8,0,SCED,0.059491
2019-01-07,9,0,SCED,0.07279
2019-01-07,10,0,SCED,0.076123
2019-01-07,11,0,SCED,0.079493
2019-01-07,12,0,SCED,0.076478
2019-01-07,13,0,SCED,0.077384
2019-01-07,14,0,SCED,0.066498
2019-01-07,15,0,SCED,0.074699
2019-01-07,16,0,SCED,0.06088
2019-01-07,17,0,SCED,0.065918
2019-01-07,18,0,SCED,0.067032
2019-01-07,19,0,SCED,0.057806
2019-01-07,20,0,SCED,0.059677
2019-01-07,21,0,SCED,0.059374
2019-01-07,22,0,SCED,0.059504
2019-01-07,23,0,SCED,0.059724
2019-01-08,0,0,SCED,0.05814
2019-01-08,1,0,SCED,0.058316
2019-01-08,2,0,SCED,0.062937
2019-01-08,3,0,SCED,0.058956
2019-01-08,4,0,SCED,0.060583
2019-01-08,5,0,SCED,0.060235
2019-01-08,6,0,SCED,0.062347
2019-01-08,7,0,SCED,0.070201
2019-01-08,8,0,SCED,0.068236
2019-01-08,9,0,SCED,0.058735
2019-01-08,10,0,SCED,0.066487
2019-01-08,11,0,SCED,0.061458
2019-01-08,12,0,SCED,0.061716
2019-01-08,13,0,SCED,0.061552
2019-01-08,14,0,SCED,0.060851
2019-01-08,15,0,SCED,0.060328
2019-01-08,16,0,SCED,0.059161
2019-01-08,17,0,SCED,0.059784
2019-01-08,18,0,SCED,0.064104
2019-01-08,19,0,SCED,0.067313
2019-01-08,20,0,SCED,0.057765
2019-01-08,21,0,SCED,0.057125
2019-01-08,22,0,SCED,0.06496
2019-01-08,23,0,SCED,0.056687
2019-01-09,0,0,SCED,0.059156
2019-01-09,1,0,SCED,0.059494
2019-01-09,2,0,SCED,0.06301
2019-01-09,3,0,SCED,0.068862
