Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2019-01-01,0,0.0,0.0,8951.108392,1607.301608
2019-01-01,1,0.0,0.0,9688.975074,1513.814926
2019-01-01,2,0.0,0.0,9216.38439,1548.773829
2019-01-01,3,0.0,0.0,8371.776079,1513.963921
2019-01-01,4,0.0,0.0,8225.780419,1440.899581
2019-01-01,5,0.0,0.0,7829.872507,1520.947493
2019-01-01,6,0.0,0.0,7719.969915,1554.860085
2019-01-01,7,0.0,0.0,9027.248834,1440.201166
2019-01-01,8,0.0,0.0,6945.597603,1268.204815
2019-01-01,9,0.0,0.0,6136.713051,1167.246949
2019-01-01,10,0.0,0.0,7150.024997,171.291421
2019-01-01,11,0.0,0.0,5173.996469,818.447966
2019-01-01,12,0.0,0.0,6389.492674,884.005504
2019-01-01,13,0.0,0.0,7027.764648,566.485352
2019-01-01,14,0.0,0.0,8861.603291,858.756709
2019-01-01,15,0.0,0.0,9850.932351,709.167649
2019-01-01,16,0.0,0.0,5547.122442,0.0
2019-01-01,17,0.0,0.0,4431.800758,246.079242
2019-01-01,18,0.0,0.0,7183.835619,0.0
2019-01-01,19,0.0,0.0,5215.14,0.0
2019-01-01,20,0.0,0.0,6923.96,0.0
2019-01-01,21,0.0,0.0,5589.100565,0.0
2019-01-01,22,0.0,0.0,4529.31,0.0
2019-01-01,23,0.0,0.0,5020.436669,0.0
2019-01-02,0,0.0,0.0,4900.864571,0.0
2019-01-02,1,0.0,0.0,4495.83194,0.0
2019-01-02,2,0.0,0.0,4182.55,0.0
2019-01-02,3,0.0,0.0,3984.09,0.0
2019-01-02,4,0.0,0.0,4029.09,0.0
2019-01-02,5,0.0,0.0,4383.67,0.0
2019-01-02,6,0.0,0.0,5159.27,0.0
2019-01-02,7,0.0,0.0,5432.56,0.0
2019-01-02,8,0.0,0.0,5315.56,0.0
2019-01-02,9,0.0,0.0,5101.83,0.0
2019-01-02,10,0.0,0.0,6053.7867,0.0
2019-01-02,11,0.0,0.0,5992.91,0.0
2019-01-02,12,0.0,0.0,5144.05,0.0
2019-01-02,13,0.0,0.0,6152.01,0.0
2019-01-02,14,0.0,0.0,6094.342003,0.0
2019-01-02,15,0.0,0.0,5839.78,0.0
2019-01-02,16,0.0,0.0,6589.47,0.0
2019-01-02,17,0.0,0.0,5755.39,0.0
2019-01-02,18,0.0,0.0,5515.96,0.0
2019-01-02,19,0.0,0.0,6785.443431,0.0
2019-01-02,20,0.0,0.0,6262.006241,0.0
2019-01-02,21,0.0,0.0,7153.06,0.0
2019-01-02,22,0.0,0.0,7466.27,0.0
2019-01-02,23,0.0,0.0,4648.059919,0.0
2019-01-03,0,0.0,0.0,5100.72,0.0
2019-01-03,1,0.0,0.0,6200.76,0.0
2019-01-03,2,0.0,0.0,6401.84,0.0
2019-01-03,3,0.0,0.0,6716.56,0.0
2019-01-03,4,0.0,0.0,6631.08,0.0
2019-01-03,5,0.0,0.0,5414.63,0.0
2019-01-03,6,0.0,0.0,7170.52,0.0
2019-01-03,7,0.0,0.0,7007.62,0.0
2019-01-03,8,0.0,0.0,7811.17,0.0
