Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,293382.374703,41.192365,33.668832,29332891.423769,3886455.172625,0.0,18957.687067,0.0,1631.415297,131,7231.95,82537.295224,-23133009.111359,0.0,13023321.665147,0.0,-10109687.446213,0.0,5093.046681,-10104594.399532,-10.241318
2019-01-02,1136655.54,130939.9,130939.9,13.019575,19.128078,16136265.783146,5605770.578343,0.0,0.0,0.0,0.0,30,6287.13,42766.447375,2214203.411405,0.0,20301206.220196,0.0,22515409.631601,0.0,0.0,22515409.631601,19.808472
2019-01-03,1100872.77,151029.29,150028.606867,15.745289,20.433346,17570418.010445,4924095.935189,0.0,2003.397741,0.0,1000.683133,82,10096.77,76699.797088,-4287889.444455,0.0,14824279.968892,0.0,10536390.524437,0.0,0.0,10536390.524437,9.570943
2019-01-04,1013727.34,139993.84,139816.84,15.992414,14.154121,10066336.812448,4282082.379097,0.0,359.261999,0.0,177.0,62,7363.35,68126.776861,-419997.971705,0.0,13669420.634875,0.0,13249422.66317,0.0,0.0,13249422.66317,13.070006
2019-01-05,903816.2,156305.99,156247.99,20.900834,11.502762,7266004.024224,3130378.723297,0.0,0.0,0.0,58.0,69,6715.83,50829.129612,-296956.884129,0.0,10821332.454104,0.0,10524375.569975,0.0,0.0,10524375.569975,11.644376
2019-01-06,837425.54,299729.54,297022.24,53.329879,16.887308,11671422.060059,2470441.178447,0.0,16549.468849,0.0,2707.3,87,6325.71,52007.136863,-19652003.217781,0.0,7087703.8176,0.0,-12564299.400181,0.0,0.0,-12564299.400181,-15.003482
2019-01-07,835476.71,274965.24,273355.618622,47.093013,15.511688,10295929.805685,2663724.378595,0.0,18337.878625,0.0,1609.621378,106,11450.49,74813.204481,-23903264.716168,0.0,7485133.216341,0.0,-16418131.499827,0.0,0.0,-16418131.499827,-19.651214
2019-01-08,854810.49,179507.09,179255.09,26.348401,13.234165,8405551.271895,2907152.038282,0.0,4770.846082,0.0,252.0,76,8254.38,57976.8229,-5857969.541171,0.0,9497228.084132,0.0,3639258.54296,0.0,0.0,3639258.54296,4.257386
2019-01-09,887344.94,198454.88,198396.88,28.797074,10.631875,6447558.639137,2986582.10021,0.0,0.0,0.0,58.0,58,7666.74,44421.652025,1651451.99731,0.0,10306279.615581,0.0,11957731.612892,0.0,0.0,11957731.612892,13.475855
2019-01-10,933598.34,217570.5,216113.528548,29.750834,18.62654,14169263.120166,3220444.023705,0.0,8926.846614,0.0,1456.971452,68,7480.5,60545.825464,-12554415.098588,0.0,9804821.458553,0.0,-2749593.640035,0.0,0.0,-2749593.640035,-2.945157
