Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2019-01-01,0,0,Tennessee Colony 345,86.22,0.0,0.0,1.030433,1.030433
2019-01-01,0,0,Wheeler 345,98.07,0.0,1157.601608,-5000.0,-5000.0
2019-01-01,0,0,Alpine 2 345,144.28,0.0,0.0,39.724449,39.724449
2019-01-01,0,0,Rosharon 345,191.66,0.0,0.0,11.045632,11.045632
2019-01-01,0,0,Sullivan City 345,28.42,0.0,0.0,18.793006,18.793006
2019-01-01,0,0,Prosper 345,555.01,0.0,0.0,23.331065,23.331065
2019-01-01,0,0,Eastland 345,39.0,0.0,0.0,-734.561438,-734.561438
2019-01-01,0,0,Fischer 345,158.95,0.0,0.0,23.888261,23.888261
2019-01-01,0,0,Bryan 1 345,183.84,0.0,0.0,11.310584,11.310584
2019-01-01,0,0,Rowlett 1 345,985.21,0.0,0.0,4.997326,4.997326
2019-01-01,0,0,Weatherford 3 345,41.53,0.0,0.0,4.982248,4.982248
2019-01-01,0,0,Odonnell 345,349.77,0.0,0.0,-2747.938644,-2747.938644
2019-01-01,0,0,Dallas 10 345,729.29,0.0,0.0,3.481667,3.481667
2019-01-01,0,0,O'Donnell 345,74.47,0.0,0.0,-2837.158993,-2837.158993
2019-01-01,0,0,Canyon Lake 1 345,40.64,0.0,0.0,24.054535,24.054535
2019-01-01,0,0,Adrian 1 345,9.02,0.0,0.0,-2837.158993,-2837.158993
2019-01-01,0,0,Austin 17 345,167.06,0.0,0.0,23.025031,23.025031
2019-01-01,0,0,Taft 2 345,98.42,0.0,0.0,18.382014,18.382014
2019-01-01,0,0,Dilley 1 345,66.15,0.0,0.0,22.811213,22.811213
2019-01-01,0,0,Dallas 8 345,446.52,0.0,0.0,-6.682189,-6.682189
2019-01-01,0,0,San Angelo 3 345,138.54,0.0,0.0,37.36567,37.36567
2019-01-01,0,0,Carlsbad 345,92.04,0.0,0.0,39.86491,39.86491
2019-01-01,0,0,Dale 345,134.72,0.0,0.0,22.185649,22.185649
2019-01-01,0,0,Brenham 345,141.06,0.0,0.0,12.561312,12.561312
2019-01-01,0,0,Raymondville 345,180.31,0.0,0.0,18.54638,18.54638
2019-01-01,0,0,Mccamey 345,292.33,0.0,0.0,39.724449,39.724449
2019-01-01,0,0,Fort Worth 16 345,951.37,0.0,0.0,8.939307,8.939307
2019-01-01,0,0,Art 345,56.11,0.0,0.0,28.497137,28.497137
2019-01-01,0,0,Austin 22 345,988.62,0.0,0.0,23.025031,23.025031
2019-01-01,0,0,Abilene 2 345,181.2,0.0,0.0,-1397.100392,-1397.100392
2019-01-01,0,0,Campbellton 345,30.57,0.0,0.0,20.445764,20.445764
2019-01-01,0,0,Corpus Christi 11 345,243.62,0.0,0.0,18.396167,18.396167
2019-01-01,0,0,New Braunfels 2 345,252.38,0.0,0.0,24.11192,24.11192
2019-01-01,0,0,Abilene 5 345,218.8,0.0,0.0,-1455.890851,-1455.890851
2019-01-01,0,0,Rule 2 345,88.16,0.0,0.0,-4517.083257,-4517.083257
2019-01-01,0,0,Cedar Creek 2 345,19.29,0.0,0.0,21.890833,21.890833
2019-01-01,0,0,Fort Worth 15 345,236.15,0.0,0.0,-13.510432,-13.510432
2019-01-01,0,0,Lytle 345,43.29,0.0,0.0,21.71635,21.71635
2019-01-01,0,0,Conroe 4 345,138.24,0.0,0.0,8.878114,8.878114
2019-01-01,0,0,Gordon 345,87.25,0.0,0.0,-53.252424,-53.252424
2019-01-01,0,0,Melvin 345,43.4,0.0,0.0,33.471689,33.471689
2019-01-01,0,0,Blum 345,242.77,0.0,0.0,-65.436817,-65.436817
2019-01-01,0,0,Rockdale 2 345,42.21,0.0,0.0,13.993999,13.993999
2019-01-01,0,0,Richards 2 345,8.21,0.0,0.0,9.571869,9.571869
2019-01-01,0,0,Tarpley 345,146.96,0.0,0.0,28.656811,28.656811
2019-01-01,0,0,Bayside 3 345,70.85,0.0,0.0,17.843788,17.843788
2019-01-01,0,0,San Antonio 25 345,680.06,0.0,0.0,25.125324,25.125324
2019-01-01,0,0,Roscoe 2 345,23.38,0.0,0.0,-1942.258715,-1942.258715
2019-01-01,0,0,Lopeno 345,132.38,0.0,0.0,19.204801,19.204801
2019-01-01,0,0,Crane 2 345,657.64,0.0,0.0,39.590049,39.590049
2019-01-01,0,0,Brownsville 1 345,169.45,0.0,0.0,18.554627,18.554627
2019-01-01,0,0,San Antonio 14 345,234.59,0.0,0.0,22.63635,22.63635
2019-01-01,0,0,Monahans 2 345,389.81,0.0,0.0,39.724449,39.724449
2019-01-01,0,0,Centerville 345,78.7,0.0,0.0,6.811345,6.811345
2019-01-01,0,0,Fort Worth 10 345,317.12,0.0,0.0,-20.5805,-20.5805
2019-01-01,0,0,Del Valle 345,107.38,0.0,0.0,22.185649,22.185649
2019-01-01,0,0,Texas City 2 345,374.76,0.0,0.0,10.839041,10.839041
