Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2019-01-01,0,0,Tennessee Colony 345,86.22,0.0,0.0,0.451106,0.451106
2019-01-01,0,0,Wheeler 345,98.07,0.0,0.0,-1000.0,-1000.0
2019-01-01,0,0,Alpine 2 345,144.28,0.0,0.0,41.769559,41.769559
2019-01-01,0,0,Rosharon 345,191.66,0.0,0.0,11.145591,11.145591
2019-01-01,0,0,Sullivan City 345,28.42,0.0,0.0,19.418433,19.418433
2019-01-01,0,0,Prosper 345,555.01,0.0,0.0,20.206888,20.206888
2019-01-01,0,0,Eastland 345,39.0,0.0,0.0,-145.267941,-145.267941
2019-01-01,0,0,Fischer 345,158.95,0.0,0.0,24.859276,24.859276
2019-01-01,0,0,Bryan 1 345,183.84,0.0,0.0,11.428513,11.428513
2019-01-01,0,0,Rowlett 1 345,985.21,0.0,0.0,16.225987,16.225987
2019-01-01,0,0,Weatherford 3 345,41.53,0.0,0.0,5.816319,5.816319
2019-01-01,0,0,Odonnell 345,349.77,0.0,0.0,-550.845936,-550.845936
2019-01-01,0,0,Dallas 10 345,729.29,0.0,0.0,3.655207,3.655207
2019-01-01,0,0,O'Donnell 345,74.47,0.0,0.0,-568.640159,-568.640159
2019-01-01,0,0,Canyon Lake 1 345,40.64,0.0,0.0,25.036827,25.036827
2019-01-01,0,0,Adrian 1 345,9.02,0.0,0.0,-568.640159,-568.640159
2019-01-01,0,0,Austin 17 345,167.06,0.0,0.0,23.937496,23.937496
2019-01-01,0,0,Taft 2 345,98.42,0.0,0.0,18.979566,18.979566
2019-01-01,0,0,Dilley 1 345,66.15,0.0,0.0,23.709176,23.709176
2019-01-01,0,0,Dallas 8 345,446.52,0.0,0.0,7.600175,7.600175
2019-01-01,0,0,San Angelo 3 345,138.54,0.0,0.0,39.250794,39.250794
2019-01-01,0,0,Carlsbad 345,92.04,0.0,0.0,41.919547,41.919547
2019-01-01,0,0,Dale 345,134.72,0.0,0.0,23.041184,23.041184
2019-01-01,0,0,Brenham 345,141.06,0.0,0.0,12.764072,12.764072
2019-01-01,0,0,Raymondville 345,180.31,0.0,0.0,19.15508,19.15508
2019-01-01,0,0,Mccamey 345,292.33,0.0,0.0,41.769559,41.769559
2019-01-01,0,0,Fort Worth 16 345,951.37,0.0,0.0,8.189928,8.189928
2019-01-01,0,0,Art 345,56.11,0.0,0.0,29.78075,29.78075
2019-01-01,0,0,Austin 22 345,988.62,0.0,0.0,23.937496,23.937496
2019-01-01,0,0,Abilene 2 345,181.2,0.0,0.0,-279.712953,-279.712953
2019-01-01,0,0,Campbellton 345,30.57,0.0,0.0,21.18329,21.18329
2019-01-01,0,0,Corpus Christi 11 345,243.62,0.0,0.0,18.994678,18.994678
2019-01-01,0,0,New Braunfels 2 345,252.38,0.0,0.0,25.098105,25.098105
2019-01-01,0,0,Abilene 5 345,218.8,0.0,0.0,-292.429682,-292.429682
2019-01-01,0,0,Rule 2 345,88.16,0.0,0.0,-903.686453,-903.686453
2019-01-01,0,0,Cedar Creek 2 345,19.29,0.0,0.0,22.726371,22.726371
2019-01-01,0,0,Fort Worth 15 345,236.15,0.0,0.0,3.092378,3.092378
2019-01-01,0,0,Lytle 345,43.29,0.0,0.0,22.540053,22.540053
2019-01-01,0,0,Conroe 4 345,138.24,0.0,0.0,8.831059,8.831059
2019-01-01,0,0,Gordon 345,87.25,0.0,0.0,-6.892948,-6.892948
2019-01-01,0,0,Melvin 345,43.4,0.0,0.0,35.092703,35.092703
2019-01-01,0,0,Blum 345,242.77,0.0,0.0,-5.58369,-5.58369
2019-01-01,0,0,Rockdale 2 345,42.21,0.0,0.0,14.293932,14.293932
2019-01-01,0,0,Richards 2 345,8.21,0.0,0.0,9.571869,9.571869
2019-01-01,0,0,Tarpley 345,146.96,0.0,0.0,29.951254,29.951254
2019-01-01,0,0,Bayside 3 345,70.85,0.0,0.0,18.404834,18.404834
2019-01-01,0,0,San Antonio 25 345,680.06,0.0,0.0,26.180243,26.180243
2019-01-01,0,0,Roscoe 2 345,23.38,0.0,0.0,-390.160076,-390.160076
2019-01-01,0,0,Lopeno 345,132.38,0.0,0.0,19.858158,19.858158
2019-01-01,0,0,Crane 2 345,657.64,0.0,0.0,41.626043,41.626043
2019-01-01,0,0,Brownsville 1 345,169.45,0.0,0.0,19.163885,19.163885
