Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,283066.59,283066.59,39.180086,58.435134,53660700.206277,3994313.657872,0.0,18892.459975,76.064447,0.0,150,9389.1,91108.116928,-79875228.82047,0.0,17312061.167715,0.0,-62563167.652756,0.0,60601.068156,-62502566.584599,-63.348278
2019-01-02,1136655.54,118992.7,118992.7,11.692743,20.004456,16990569.738906,5747605.788347,0.0,0.0,0.0,0.0,33,6696.57,50206.521044,2750307.213075,0.0,36654803.858359,0.0,39405111.071434,0.0,0.0,39405111.071434,34.667592
2019-01-03,1100872.77,139082.09,139082.09,14.430678,21.340903,18608819.332764,4884799.133458,0.0,2003.857775,0.0,0.0,81,10315.8,83643.630795,-17289901.585289,0.0,14678266.507133,0.0,-2611635.078156,0.0,0.0,-2611635.078156,-2.372331
2019-01-04,1013727.34,128046.64,128046.64,14.451567,14.577711,10408589.314139,4369234.699337,0.0,359.137858,0.0,0.0,79,8043.87,63025.282457,-4820147.477082,0.0,14500123.361523,0.0,9679975.88444,0.0,0.0,9679975.88444,9.548895
2019-01-05,903816.2,144358.79,144358.79,19.008148,11.720025,7185714.899743,3407033.313665,0.0,0.0,0.0,0.0,61,5827.62,44355.28793,-447092.269671,0.0,11055324.740457,0.0,10608232.470786,0.0,0.0,10608232.470786,11.737157
2019-01-06,837425.54,287782.34,287782.34,50.824421,13.962063,8951927.893011,2740260.35108,0.0,16585.268402,493.928719,0.0,78,5384.67,71657.672374,-71963616.651069,0.0,14582851.27484,0.0,-57380765.376228,0.0,15524.95256,-57365240.423668,-68.5019
2019-01-07,835476.71,263018.04,263018.04,44.519327,18.122704,12571042.498657,2570054.802499,0.0,18336.514621,0.0,0.0,115,12296.58,73399.348376,-82990117.413938,0.0,8931100.989675,0.0,-74059016.424262,0.0,0.0,-74059016.424262,-88.642826
2019-01-08,854810.49,167559.89,167559.89,24.212959,13.434479,8482146.68386,3001786.860451,0.0,4775.074765,1057.443021,0.0,81,9040.53,61741.110135,-22482246.796366,0.0,11907060.631107,0.0,-10575186.165258,0.0,67232.55,-10507953.615258,-12.292729
2019-01-09,887344.94,186507.68,186507.68,26.612124,10.655082,6489955.002861,2964778.520805,0.0,0.0,0.0,0.0,49,7127.37,43489.574208,1534886.304206,0.0,11365423.830131,0.0,12900310.134337,0.0,0.0,12900310.134337,14.538101
2019-01-10,933598.34,205623.3,205623.3,27.903963,50.110919,43592529.687141,3190941.488207,0.0,8921.37457,0.0,0.0,62,8303.22,59589.406582,-43722693.033038,0.0,11214951.65307,0.0,-32507741.379968,0.0,0.0,-32507741.379968,-34.819836
