Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2019-01-01,0,0.0,0.0,6744.892499,1607.337501
2019-01-01,1,0.0,0.0,6399.832453,1515.643898
2019-01-01,2,0.0,0.0,5541.919753,1548.809722
2019-01-01,3,0.0,0.0,5874.432057,1514.127943
2019-01-01,4,0.0,0.0,5711.954714,1443.825286
2019-01-01,5,0.0,0.0,5838.088714,1524.031286
2019-01-01,6,0.0,0.0,5355.513841,1554.896159
2019-01-01,7,0.0,0.0,5760.112876,1440.567124
2019-01-01,8,0.0,76.064447,4018.957553,1273.972447
2019-01-01,9,0.0,0.0,4317.610784,1172.869216
2019-01-01,10,0.0,0.0,5975.245345,177.881229
2019-01-01,11,0.0,0.0,4398.645573,831.314427
2019-01-01,12,0.0,0.0,5951.177338,891.52873
2019-01-01,13,0.0,0.0,5926.178273,566.591727
2019-01-01,14,0.0,0.0,4626.789404,860.190596
2019-01-01,15,0.0,0.0,4667.31268,710.82902
2019-01-01,16,0.0,0.0,5005.36,0.0
2019-01-01,17,0.0,0.0,5226.086337,258.043663
2019-01-01,18,0.0,0.0,7223.899612,0.0
2019-01-01,19,0.0,0.0,4861.66,0.0
2019-01-01,20,0.0,0.0,5998.490874,0.0
2019-01-01,21,0.0,0.0,5412.163773,0.0
2019-01-01,22,0.0,0.0,5012.782128,0.0
2019-01-01,23,0.0,0.0,4993.83,0.0
2019-01-02,0,0.0,0.0,5137.667307,0.0
2019-01-02,1,0.0,0.0,5149.910209,0.0
2019-01-02,2,0.0,0.0,4563.95,0.0
2019-01-02,3,0.0,0.0,4740.87,0.0
2019-01-02,4,0.0,0.0,4416.33,0.0
2019-01-02,5,0.0,0.0,4658.79,0.0
2019-01-02,6,0.0,0.0,4553.17,0.0
2019-01-02,7,0.0,0.0,5002.2,0.0
2019-01-02,8,0.0,0.0,5413.12,0.0
2019-01-02,9,0.0,0.0,6380.0,0.0
2019-01-02,10,0.0,0.0,6252.12,0.0
2019-01-02,11,0.0,0.0,5286.53,0.0
2019-01-02,12,0.0,0.0,5709.27,0.0
2019-01-02,13,0.0,0.0,5681.89,0.0
2019-01-02,14,0.0,0.0,5720.17,0.0
2019-01-02,15,0.0,0.0,5764.88,0.0
2019-01-02,16,0.0,0.0,6445.57,0.0
2019-01-02,17,0.0,0.0,5648.28,0.0
2019-01-02,18,0.0,0.0,5614.7,0.0
2019-01-02,19,0.0,0.0,6389.45,0.0
2019-01-02,20,0.0,0.0,6727.61,0.0
2019-01-02,21,0.0,0.0,6050.6567,0.0
2019-01-02,22,0.0,0.0,6565.95,0.0
2019-01-02,23,0.0,0.0,4654.12,0.0
2019-01-03,0,0.0,0.0,6303.76,0.0
2019-01-03,1,0.0,0.0,7404.8,0.0
2019-01-03,2,0.0,0.0,7049.64,0.0
2019-01-03,3,0.0,0.0,7364.36,0.0
2019-01-03,4,0.0,0.0,9036.64,0.0
2019-01-03,5,0.0,0.0,11138.07,0.0
2019-01-03,6,0.0,0.0,9191.52,0.0
2019-01-03,7,0.0,0.0,8377.66,0.0
2019-01-03,8,0.0,0.0,8344.59,0.0
2019-01-03,9,0.0,0.0,9072.43,0.0
2019-01-03,10,0.0,0.0,12274.896975,0.0
2019-01-03,11,0.0,0.0,13157.18,0.0
2019-01-03,12,0.0,0.0,9827.398701,55.039063
2019-01-03,13,0.0,0.0,9909.219018,693.127829
2019-01-03,14,0.0,0.0,9724.566223,691.103777
2019-01-03,15,0.0,0.0,9016.813335,510.306665
2019-01-03,16,0.0,0.0,10280.379559,54.280441
2019-01-03,17,0.0,0.0,9937.74,0.0
2019-01-03,18,0.0,0.0,7924.17,0.0
2019-01-03,19,0.0,0.0,7749.25,0.0
2019-01-03,20,0.0,0.0,8362.56,0.0
2019-01-03,21,0.0,0.0,9545.461919,0.0
2019-01-03,22,0.0,0.0,11437.33,0.0
2019-01-03,23,0.0,0.0,8288.81,0.0
2019-01-04,0,0.0,0.0,6484.674315,0.0
2019-01-04,1,0.0,0.0,5448.7067,0.0
2019-01-04,2,0.0,0.0,5366.14,0.0
2019-01-04,3,0.0,0.0,4485.6,0.0
2019-01-04,4,0.0,0.0,4448.79,0.0
2019-01-04,5,0.0,0.0,4629.96,0.0
2019-01-04,6,0.0,0.0,6677.74,0.0
2019-01-04,7,0.0,0.0,5582.42,0.0
2019-01-04,8,0.0,0.0,6161.47,0.0
2019-01-04,9,0.0,0.0,4794.78,0.0
2019-01-04,10,0.0,0.0,6709.827853,0.0
2019-01-04,11,0.0,0.0,7490.316037,0.0
2019-01-04,12,0.0,0.0,7713.39,0.0
2019-01-04,13,0.0,0.0,6107.081957,201.63151
2019-01-04,14,0.0,0.0,5193.563651,157.506349
2019-01-04,15,0.0,0.0,6516.728483,0.0
2019-01-04,16,0.0,0.0,4696.98,0.0
2019-01-04,17,0.0,0.0,3987.0,0.0
2019-01-04,18,0.0,0.0,4258.59,0.0
2019-01-04,19,0.0,0.0,4239.05,0.0
2019-01-04,20,0.0,0.0,4378.75,0.0
2019-01-04,21,0.0,0.0,5367.92,0.0
2019-01-04,22,0.0,0.0,6343.05,0.0
2019-01-04,23,0.0,0.0,4672.37,0.0
2019-01-05,0,0.0,0.0,4344.436305,0.0
2019-01-05,1,0.0,0.0,3948.0,0.0
2019-01-05,2,0.0,0.0,3867.56,0.0
2019-01-05,3,0.0,0.0,3808.22,0.0
2019-01-05,4,0.0,0.0,4229.37,0.0
2019-01-05,5,0.0,0.0,4430.79,0.0
2019-01-05,6,0.0,0.0,4405.73,0.0
2019-01-05,7,0.0,0.0,4477.14,0.0
2019-01-05,8,0.0,0.0,4857.09,0.0
2019-01-05,9,0.0,0.0,6124.15,0.0
2019-01-05,10,0.0,0.0,5252.059059,0.0
2019-01-05,11,0.0,0.0,5155.75,0.0
2019-01-05,12,0.0,0.0,5028.5,0.0
2019-01-05,13,0.0,0.0,3579.83,0.0
2019-01-05,14,0.0,0.0,4534.082343,0.0
