Date,Hour,Minute,Type,Solve Time
2019-01-01,0,0,SCED,0.080647
2019-01-01,1,0,SCED,0.069852
2019-01-01,2,0,SCED,0.078461
2019-01-01,3,0,SCED,0.077274
2019-01-01,4,0,SCED,0.080658
2019-01-01,5,0,SCED,0.068106
2019-01-01,6,0,SCED,0.05962
2019-01-01,7,0,SCED,0.043739
2019-01-01,8,0,SCED,0.0641
2019-01-01,9,0,SCED,0.090551
2019-01-01,10,0,SCED,0.064387
2019-01-01,11,0,SCED,0.064435
2019-01-01,12,0,SCED,0.071303
2019-01-01,13,0,SCED,0.065373
2019-01-01,14,0,SCED,0.059749
2019-01-01,15,0,SCED,0.073958
2019-01-01,16,0,SCED,0.068243
2019-01-01,17,0,SCED,0.065169
2019-01-01,18,0,SCED,0.066016
2019-01-01,19,0,SCED,0.061455
2019-01-01,20,0,SCED,0.060033
2019-01-01,21,0,SCED,0.069998
2019-01-01,22,0,SCED,0.061741
2019-01-01,23,0,SCED,0.062189
2019-01-02,0,0,SCED,0.05188
2019-01-02,1,0,SCED,0.041284
2019-01-02,2,0,SCED,0.038336
2019-01-02,3,0,SCED,0.038947
2019-01-02,4,0,SCED,0.056348
2019-01-02,5,0,SCED,0.057899
2019-01-02,6,0,SCED,0.055938
2019-01-02,7,0,SCED,0.063358
2019-01-02,8,0,SCED,0.061895
2019-01-02,9,0,SCED,0.067394
2019-01-02,10,0,SCED,0.072358
2019-01-02,11,0,SCED,0.053306
2019-01-02,12,0,SCED,0.078598
2019-01-02,13,0,SCED,0.060913
2019-01-02,14,0,SCED,0.054344
2019-01-02,15,0,SCED,0.05219
2019-01-02,16,0,SCED,0.117421
2019-01-02,17,0,SCED,0.088804
2019-01-02,18,0,SCED,0.080394
2019-01-02,19,0,SCED,0.126689
2019-01-02,20,0,SCED,0.084109
2019-01-02,21,0,SCED,0.06991
2019-01-02,22,0,SCED,0.063454
2019-01-02,23,0,SCED,0.059425
2019-01-03,0,0,SCED,0.056191
2019-01-03,1,0,SCED,0.052422
2019-01-03,2,0,SCED,0.047069
2019-01-03,3,0,SCED,0.065934
2019-01-03,4,0,SCED,0.060591
2019-01-03,5,0,SCED,0.064341
2019-01-03,6,0,SCED,0.062014
2019-01-03,7,0,SCED,0.07565
2019-01-03,8,0,SCED,0.10197
2019-01-03,9,0,SCED,0.127498
2019-01-03,10,0,SCED,0.113667
2019-01-03,11,0,SCED,0.163005
2019-01-03,12,0,SCED,0.113664
2019-01-03,13,0,SCED,0.11337
2019-01-03,14,0,SCED,0.136631
2019-01-03,15,0,SCED,0.117245
2019-01-03,16,0,SCED,0.086148
2019-01-03,17,0,SCED,0.074788
2019-01-03,18,0,SCED,0.06231
2019-01-03,19,0,SCED,0.058575
2019-01-03,20,0,SCED,0.059362
2019-01-03,21,0,SCED,0.05935
2019-01-03,22,0,SCED,0.053756
2019-01-03,23,0,SCED,0.049159
2019-01-04,0,0,SCED,0.045069
2019-01-04,1,0,SCED,0.060496
2019-01-04,2,0,SCED,0.060942
2019-01-04,3,0,SCED,0.055833
2019-01-04,4,0,SCED,0.057049
2019-01-04,5,0,SCED,0.056372
2019-01-04,6,0,SCED,0.054774
2019-01-04,7,0,SCED,0.04808
2019-01-04,8,0,SCED,0.047751
2019-01-04,9,0,SCED,0.06286
2019-01-04,10,0,SCED,0.06142
2019-01-04,11,0,SCED,0.065129
2019-01-04,12,0,SCED,0.083543
2019-01-04,13,0,SCED,0.068033
2019-01-04,14,0,SCED,0.064084
2019-01-04,15,0,SCED,0.079046
2019-01-04,16,0,SCED,0.062066
2019-01-04,17,0,SCED,0.072137
2019-01-04,18,0,SCED,0.042424
2019-01-04,19,0,SCED,0.051105
2019-01-04,20,0,SCED,0.049129
2019-01-04,21,0,SCED,0.040092
2019-01-04,22,0,SCED,0.042898
2019-01-04,23,0,SCED,0.036626
2019-01-05,0,0,SCED,0.036879
2019-01-05,1,0,SCED,0.036584
2019-01-05,2,0,SCED,0.036242
2019-01-05,3,0,SCED,0.035049
2019-01-05,4,0,SCED,0.036882
2019-01-05,5,0,SCED,0.035978
2019-01-05,6,0,SCED,0.035798
2019-01-05,7,0,SCED,0.035949
2019-01-05,8,0,SCED,0.046338
2019-01-05,9,0,SCED,0.048139
2019-01-05,10,0,SCED,0.041148
2019-01-05,11,0,SCED,0.048841
2019-01-05,12,0,SCED,0.041002
2019-01-05,13,0,SCED,0.037597
2019-01-05,14,0,SCED,0.04588
2019-01-05,15,0,SCED,0.040315
2019-01-05,16,0,SCED,0.065509
2019-01-05,17,0,SCED,0.08369
2019-01-05,18,0,SCED,0.053964
2019-01-05,19,0,SCED,0.06307
2019-01-05,20,0,SCED,0.054337
2019-01-05,21,0,SCED,0.052453
2019-01-05,22,0,SCED,0.031925
2019-01-05,23,0,SCED,0.040531
2019-01-06,0,0,SCED,0.036268
2019-01-06,1,0,SCED,0.035316
2019-01-06,2,0,SCED,0.04451
2019-01-06,3,0,SCED,0.048392
2019-01-06,4,0,SCED,0.051173
2019-01-06,5,0,SCED,0.041956
2019-01-06,6,0,SCED,0.041112
2019-01-06,7,0,SCED,0.048761
2019-01-06,8,0,SCED,0.040237
2019-01-06,9,0,SCED,0.055286
2019-01-06,10,0,SCED,0.046657
2019-01-06,11,0,SCED,0.045763
2019-01-06,12,0,SCED,0.042172
2019-01-06,13,0,SCED,0.052078
2019-01-06,14,0,SCED,0.055973
2019-01-06,15,0,SCED,0.046632
2019-01-06,16,0,SCED,0.073439
2019-01-06,17,0,SCED,0.11062
2019-01-06,18,0,SCED,0.113354
2019-01-06,19,0,SCED,0.07468
2019-01-06,20,0,SCED,0.110853
2019-01-06,21,0,SCED,0.067296
2019-01-06,22,0,SCED,0.06058
2019-01-06,23,0,SCED,0.052646
2019-01-07,0,0,SCED,0.055213
2019-01-07,1,0,SCED,0.041619
2019-01-07,2,0,SCED,0.055307
2019-01-07,3,0,SCED,0.044125
2019-01-07,4,0,SCED,0.043997
2019-01-07,5,0,SCED,0.05169
2019-01-07,6,0,SCED,0.041992
2019-01-07,7,0,SCED,0.041086
2019-01-07,8,0,SCED,0.058966
2019-01-07,9,0,SCED,0.072584
2019-01-07,10,0,SCED,0.080796
2019-01-07,11,0,SCED,0.068316
2019-01-07,12,0,SCED,0.07001
2019-01-07,13,0,SCED,0.072942
2019-01-07,14,0,SCED,0.080158
2019-01-07,15,0,SCED,0.086751
2019-01-07,16,0,SCED,0.067967
2019-01-07,17,0,SCED,0.069513
2019-01-07,18,0,SCED,0.072655
2019-01-07,19,0,SCED,0.064781
2019-01-07,20,0,SCED,0.06405
2019-01-07,21,0,SCED,0.061521
2019-01-07,22,0,SCED,0.057158
2019-01-07,23,0,SCED,0.047999
2019-01-08,0,0,SCED,0.050298
2019-01-08,1,0,SCED,0.053698
2019-01-08,2,0,SCED,0.041547
2019-01-08,3,0,SCED,0.048102
2019-01-08,4,0,SCED,0.037916
2019-01-08,5,0,SCED,0.036559
2019-01-08,6,0,SCED,0.035078
2019-01-08,7,0,SCED,0.044401
2019-01-08,8,0,SCED,0.039683
2019-01-08,9,0,SCED,0.057454
2019-01-08,10,0,SCED,0.061994
2019-01-08,11,0,SCED,0.047467
2019-01-08,12,0,SCED,0.047259
2019-01-08,13,0,SCED,0.047868
2019-01-08,14,0,SCED,0.045353
2019-01-08,15,0,SCED,0.042454
2019-01-08,16,0,SCED,0.082971
2019-01-08,17,0,SCED,0.053881
2019-01-08,18,0,SCED,0.055163
2019-01-08,19,0,SCED,0.05353
2019-01-08,20,0,SCED,0.053732
2019-01-08,21,0,SCED,0.053535
2019-01-08,22,0,SCED,0.053535
2019-01-08,23,0,SCED,0.054616
2019-01-09,0,0,SCED,0.039107
2019-01-09,1,0,SCED,0.038182
2019-01-09,2,0,SCED,0.037666
2019-01-09,3,0,SCED,0.047798
2019-01-09,4,0,SCED,0.051312
2019-01-09,5,0,SCED,0.054098
2019-01-09,6,0,SCED,0.055416
2019-01-09,7,0,SCED,0.058961
2019-01-09,8,0,SCED,0.054415
2019-01-09,9,0,SCED,0.037792
2019-01-09,10,0,SCED,0.044505
2019-01-09,11,0,SCED,0.03898
2019-01-09,12,0,SCED,0.038935
2019-01-09,13,0,SCED,0.037929
2019-01-09,14,0,SCED,0.039585
2019-01-09,15,0,SCED,0.050963
2019-01-09,16,0,SCED,0.051453
2019-01-09,17,0,SCED,0.07165
2019-01-09,18,0,SCED,0.05049
2019-01-09,19,0,SCED,0.050801
2019-01-09,20,0,SCED,0.070984
2019-01-09,21,0,SCED,0.07125
2019-01-09,22,0,SCED,0.055957
2019-01-09,23,0,SCED,0.044384
2019-01-10,0,0,SCED,0.053144
2019-01-10,1,0,SCED,0.054758
2019-01-10,2,0,SCED,0.045767
2019-01-10,3,0,SCED,0.046848
2019-01-10,4,0,SCED,0.066264
2019-01-10,5,0,SCED,0.049128
2019-01-10,6,0,SCED,0.06472
2019-01-10,7,0,SCED,0.062646
2019-01-10,8,0,SCED,0.050346
2019-01-10,9,0,SCED,0.072258
2019-01-10,10,0,SCED,0.055733
2019-01-10,11,0,SCED,0.049174
2019-01-10,12,0,SCED,0.057603
2019-01-10,13,0,SCED,0.048546
2019-01-10,14,0,SCED,0.045916
2019-01-10,15,0,SCED,0.043695
2019-01-10,16,0,SCED,0.050516
2019-01-10,17,0,SCED,0.04921
2019-01-10,18,0,SCED,0.048473
2019-01-10,19,0,SCED,0.065919
2019-01-10,20,0,SCED,0.050233
2019-01-10,21,0,SCED,0.049704
2019-01-10,22,0,SCED,0.047204
2019-01-10,23,0,SCED,0.04605
2019-01-11,0,0,SCED,0.063093
2019-01-11,1,0,SCED,0.054107
2019-01-11,2,0,SCED,0.043923
2019-01-11,3,0,SCED,0.044082
2019-01-11,4,0,SCED,0.053065
2019-01-11,5,0,SCED,0.051638
2019-01-11,6,0,SCED,0.038429
2019-01-11,7,0,SCED,0.049276
2019-01-11,8,0,SCED,0.051946
2019-01-11,9,0,SCED,0.056163
2019-01-11,10,0,SCED,0.044661
2019-01-11,11,0,SCED,0.059947
2019-01-11,12,0,SCED,0.059473
2019-01-11,13,0,SCED,0.042005
2019-01-11,14,0,SCED,0.041961
2019-01-11,15,0,SCED,0.042245
2019-01-11,16,0,SCED,0.111683
2019-01-11,17,0,SCED,0.072472
2019-01-11,18,0,SCED,0.071652
2019-01-11,19,0,SCED,0.071275
2019-01-11,20,0,SCED,0.069813
2019-01-11,21,0,SCED,0.103322
2019-01-11,22,0,SCED,0.060127
2019-01-11,23,0,SCED,0.066237
2019-01-12,0,0,SCED,0.060609
2019-01-12,1,0,SCED,0.057531
2019-01-12,2,0,SCED,0.042176
2019-01-12,3,0,SCED,0.048943
2019-01-12,4,0,SCED,0.04
2019-01-12,5,0,SCED,0.049014
2019-01-12,6,0,SCED,0.052767
2019-01-12,7,0,SCED,0.065057
2019-01-12,8,0,SCED,0.072659
2019-01-12,9,0,SCED,0.07025
2019-01-12,10,0,SCED,0.077428
2019-01-12,11,0,SCED,0.069484
2019-01-12,12,0,SCED,0.077338
2019-01-12,13,0,SCED,0.0987
2019-01-12,14,0,SCED,0.069828
2019-01-12,15,0,SCED,0.049515
2019-01-12,16,0,SCED,0.065199
2019-01-12,17,0,SCED,0.062366
2019-01-12,18,0,SCED,0.060816
2019-01-12,19,0,SCED,0.051187
