Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2019-01-01,986649.81,295013.79,293505.99,41.223121,58.841785,54105424.664047,3950811.14314,0.0,18849.791143,180.18,1507.8,127,7861.02,76164.261387,-79273111.767713,0.0,15183860.373482,0.0,-64089251.394232,0.0,0.0,-64089251.394232,-64.956432
2019-01-02,1136655.54,130939.9,130939.9,13.019575,18.459432,15341124.666108,5640891.037221,0.0,0.0,0.0,0.0,28,6134.85,44615.491618,2070231.80545,0.0,19691927.946437,0.0,21762159.751887,0.0,0.0,21762159.751887,19.145783
2019-01-03,1100872.77,151029.29,150238.538214,15.770799,19.75728,16488545.065632,5261706.95449,0.0,2003.200826,331.388,790.751786,103,11088.549811,82042.862923,-16421421.244826,0.0,21745558.021897,0.0,5324136.777071,0.0,131628.9,5455765.677071,4.955855
2019-01-04,1013727.34,139993.84,139816.84,15.992419,14.091339,9932381.263786,4352394.364828,0.0,358.976093,0.0,177.0,70,7587.09,65253.21682,-4733251.014915,0.0,14064651.915739,0.0,9331400.900824,0.0,0.0,9331400.900824,9.20504
2019-01-05,903816.2,156305.99,156305.99,20.910215,11.48128,7063663.380267,3313303.300818,0.0,0.0,0.0,0.0,60,5398.83,41150.242591,68884.884977,0.0,10440103.837262,0.0,10508988.722239,0.0,0.0,10508988.722239,11.627352
2019-01-06,837425.54,299729.54,297184.54,53.373046,18.758643,13479601.259011,2229365.490299,0.0,16565.410666,0.0,2545.0,85,6263.01,52979.188353,-66890135.424241,0.0,8342121.504754,0.0,-58548013.919488,0.0,0.0,-58548013.919488,-69.914292
2019-01-07,835476.71,274965.24,273314.600061,47.081344,16.986058,11614117.062495,2577339.186805,0.0,18353.602052,0.0,1650.639939,121,12129.87,74482.303878,-83114272.980955,0.0,8710751.205639,0.0,-74403521.775316,0.0,0.0,-74403521.775316,-89.055172
2019-01-08,854810.49,179507.09,179255.09,26.348415,15.458015,10586691.433922,2626982.103461,0.0,4770.504319,0.0,252.0,100,12759.96,59342.899274,-22746006.156521,0.0,9100436.333946,0.0,-13645569.822574,0.0,0.0,-13645569.822574,-15.963269
2019-01-09,887344.94,198454.88,198450.846,28.807163,10.566849,6448401.412174,2928038.771204,0.0,0.0,0.0,4.034,50,7377.42,48921.458129,1799830.663984,0.0,11102517.699996,0.0,12902348.36398,0.0,0.0,12902348.36398,14.540398
2019-01-10,933598.34,217570.5,215893.504197,29.711849,48.717637,42244806.521123,3237898.862044,0.0,8919.417273,0.0,1676.995803,76,8626.17,63678.634582,-43816412.779869,0.0,11575585.265435,0.0,-32240827.514433,0.0,0.0,-32240827.514433,-34.533938
2019-01-11,918205.77,266624.32,265370.385721,40.432795,70.669281,62058203.392738,2830738.31228,0.0,3489.224392,0.0,1253.934279,99,9483.45,80645.076117,-34666756.514903,0.0,10292217.289919,0.0,-24374539.224984,0.0,0.0,-24374539.224984,-26.545835
2019-01-12,882997.25,253466.77,250941.072834,38.735977,68.612163,57742862.156308,2841488.811713,0.0,15768.122888,0.0,2525.697166,160,14292.54,76463.249068,-69610800.333813,0.0,10249504.905389,0.0,-59361295.428424,0.0,0.0,-59361295.428424,-67.227045
2019-01-13,968302.49,140864.43,140864.43,17.024166,13.503597,9020818.472833,4054747.776207,0.0,0.0,0.0,0.0,37,5692.83,36976.173402,1684685.11503,0.0,13343096.378578,0.0,15027781.493608,0.0,0.0,15027781.493608,15.519718
2019-01-14,1048428.58,121728.56,121728.56,13.135703,16.126792,12157786.946736,4750003.154393,0.0,0.0,0.0,0.0,43,7720.02,46193.751425,1101428.054809,0.0,16882049.926063,0.0,17983477.980872,0.0,0.0,17983477.980872,17.152793
2019-01-15,1016539.15,147080.71,147080.71,16.909902,16.818036,12954007.545818,4142184.159406,0.0,332.002141,385.783199,0.0,74,9528.75,55353.483893,-5840673.543956,0.0,15084261.128855,0.0,9243587.584899,0.0,-27969.35,9215618.234899,9.06568
2019-01-16,934076.17,215691.01,214670.590865,29.595665,31.75757,26601392.619905,3062597.097772,0.0,5939.141703,167.615,1020.419135,119,12582.84,71472.389896,-33154044.958858,0.0,10748519.667284,0.0,-22405525.291574,0.0,17119.25,-22388406.041574,-23.968501
2019-01-17,868965.08,154901.7,154843.7,21.683107,68.099778,56333730.20029,2842599.00406,0.0,0.0,0.0,58.0,63,7415.49,51272.660238,632402.223292,0.0,9521944.324376,0.0,10154346.547668,0.0,0.0,10154346.547668,11.685563
2019-01-18,885312.54,320373.83,318037.076721,54.086441,60.650164,51061944.779668,2632406.17668,0.0,20740.811593,0.0,2336.753279,127,9707.7,64219.990418,-95868345.013359,0.0,10333057.610334,0.0,-85535287.403025,0.0,0.0,-85535287.403025,-96.615922
2019-01-19,964352.87,282263.57,279938.270921,39.963683,20.453968,16078243.006498,3646600.001891,0.0,16067.064151,0.0,2325.299079,168,15774.12,94274.993958,-71453650.925422,0.0,18704046.170341,0.0,-52749604.755081,0.0,0.0,-52749604.755081,-54.699484
2019-01-20,1030244.15,183813.28,182414.08,21.400212,19.39402,15930620.52609,4049954.614482,0.0,4563.71109,0.0,1399.2,97,10612.17,73592.807051,-23246888.740761,0.0,15159520.408679,0.0,-8087368.332082,0.0,0.0,-8087368.332082,-7.849953
2019-01-21,998892.9,347210.64,345163.670174,51.075014,60.206213,56808258.688901,3331300.473487,0.0,22068.277022,0.0,2046.969826,135,9168.24,72719.838073,-97251497.366985,0.0,11806778.92666,0.0,-85444718.440325,0.0,0.0,-85444718.440325,-85.539419
2019-01-22,900192.29,367214.69,364425.328681,65.166025,76.723184,66416333.156205,2649285.241551,0.0,23459.002607,0.0,2789.361319,136,10742.85,68924.688302,-101570571.33835,0.0,9246516.981012,0.0,-92324054.357339,0.0,0.0,-92324054.357339,-102.56037
2019-01-23,1078724.34,230384.78,229394.163103,26.812299,36.060925,34426373.011684,4473424.892814,0.0,6225.55529,0.0,990.616897,119,13159.86,90503.174275,-29633433.39173,0.0,14357310.016437,0.0,-15276123.375294,0.0,41051.337234,-15235072.03806,-14.12323
