Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2019-01-01,0,0.0,0.0,5705.748694,1608.981306
2019-01-01,1,0.0,0.0,5903.881995,1515.608005
2019-01-01,2,0.0,0.0,5094.937677,1553.382323
2019-01-01,3,0.0,0.0,5275.648795,1516.191205
2019-01-01,4,0.0,0.0,5352.790328,1443.789672
2019-01-01,5,0.0,0.0,5639.844788,1523.995212
2019-01-01,6,0.0,0.0,5292.642636,1558.447364
2019-01-01,7,0.0,0.0,5547.518834,1440.201166
2019-01-01,8,0.0,0.0,4983.083689,1265.806311
2019-01-01,9,0.0,0.0,5122.231736,1167.328264
2019-01-01,10,0.0,0.0,7050.490104,171.291421
2019-01-01,11,0.0,0.0,4933.550796,818.889204
2019-01-01,12,0.0,0.0,7228.44464,884.37536
2019-01-01,13,0.0,0.0,5001.102575,566.611043
2019-01-01,14,0.0,0.0,5098.324054,858.845946
2019-01-01,15,0.0,0.0,5251.484725,709.397586
2019-01-01,16,0.0,35.735,4148.48,0.0
2019-01-01,17,0.0,0.0,4792.540246,246.649754
2019-01-01,18,0.0,0.0,7884.595964,0.0
2019-01-01,19,0.0,144.445,4380.16,0.0
2019-01-01,20,0.0,0.0,5008.505731,0.0
2019-01-01,21,0.0,0.0,5106.27,0.0
2019-01-01,22,0.0,0.0,5767.15584,0.0
2019-01-01,23,0.0,0.0,5169.942288,0.0
2019-01-02,0,0.0,0.0,4563.41651,0.0
2019-01-02,1,0.0,0.0,4093.78,0.0
2019-01-02,2,0.0,0.0,3880.15,0.0
2019-01-02,3,0.0,0.0,3893.07,0.0
2019-01-02,4,0.0,0.0,4098.59,0.0
2019-01-02,5,0.0,0.0,4870.39,0.0
2019-01-02,6,0.0,0.0,4761.23,0.0
2019-01-02,7,0.0,0.0,5013.36,0.0
2019-01-02,8,0.0,0.0,4898.36,0.0
2019-01-02,9,0.0,0.0,6785.6,0.0
2019-01-02,10,0.0,0.0,6657.72,0.0
2019-01-02,11,0.0,0.0,5428.61,0.0
2019-01-02,12,0.0,0.0,5236.47,0.0
2019-01-02,13,0.0,0.0,6527.31,0.0
2019-01-02,14,0.0,0.0,5766.27,0.0
2019-01-02,15,0.0,0.0,5810.98,0.0
2019-01-02,16,0.0,0.0,6449.79,0.0
2019-01-02,17,0.0,0.0,5528.74,0.0
2019-01-02,18,0.0,0.0,5434.4,0.0
2019-01-02,19,0.0,0.0,6209.15,0.0
2019-01-02,20,0.0,0.0,6844.31,0.0
2019-01-02,21,0.0,0.0,7011.46,0.0
2019-01-02,22,0.0,0.0,8390.867455,0.0
2019-01-02,23,0.0,0.0,4900.64,0.0
2019-01-03,0,0.0,0.0,4452.603545,0.0
2019-01-03,1,0.0,0.0,4899.698206,0.0
2019-01-03,2,0.0,0.0,4526.24,0.0
2019-01-03,3,0.0,0.0,4840.96,0.0
2019-01-03,4,0.0,6.452,4193.48,0.0
2019-01-03,5,0.0,122.788,4279.7,0.0
2019-01-03,6,0.0,47.465,4609.78,0.0
2019-01-03,7,0.0,0.0,5323.4,0.0
2019-01-03,8,0.0,0.0,5515.8067,0.0
2019-01-03,9,0.0,0.0,5422.43,0.0
2019-01-03,10,0.0,0.0,6870.77,0.0
2019-01-03,11,0.0,0.0,8370.95,0.0
2019-01-03,12,0.0,0.0,7967.96105,54.958762
2019-01-03,13,0.0,0.0,6354.935354,693.053406
2019-01-03,14,0.0,0.0,4842.347677,691.022323
2019-01-03,15,0.0,0.0,5116.240692,510.215498
2019-01-03,16,0.0,0.0,5728.947779,53.950837
2019-01-03,17,0.0,0.0,5368.433201,0.0
2019-01-03,18,0.0,0.0,6253.36,0.0
2019-01-03,19,0.0,0.0,5506.45,0.0
2019-01-03,20,0.0,0.0,6159.19,0.0
2019-01-03,21,0.0,105.748,4670.78,0.0
2019-01-03,22,0.0,0.0,5564.340829,0.0
2019-01-03,23,0.0,48.935,4370.25,0.0
2019-01-04,0,0.0,0.0,4872.76,0.0
2019-01-04,1,0.0,0.0,5636.92,0.0
2019-01-04,2,0.0,0.0,4960.94,0.0
2019-01-04,3,0.0,0.0,5162.6,0.0
2019-01-04,4,0.0,0.0,5371.61,0.0
2019-01-04,5,0.0,0.0,5225.28,0.0
2019-01-04,6,0.0,0.0,5495.2,0.0
2019-01-04,7,0.0,0.0,5157.42,0.0
2019-01-04,8,0.0,0.0,5736.47,0.0
2019-01-04,9,0.0,0.0,7775.3467,0.0
2019-01-04,10,0.0,0.0,5511.1,0.0
2019-01-04,11,0.0,0.0,7125.026301,0.0
2019-01-04,12,0.0,0.0,6974.12,0.0
2019-01-04,13,0.0,0.0,6663.501286,201.552015
2019-01-04,14,0.0,0.0,6816.755922,157.424078
2019-01-04,15,0.0,0.0,7463.302059,0.0
2019-01-04,16,0.0,0.0,5644.78,0.0
2019-01-04,17,0.0,0.0,4716.1,0.0
2019-01-04,18,0.0,0.0,4538.53,0.0
2019-01-04,19,0.0,0.0,4661.65,0.0
2019-01-04,20,0.0,0.0,4801.35,0.0
2019-01-04,21,0.0,0.0,4932.783994,0.0
2019-01-04,22,0.0,0.0,6113.85,0.0
2019-01-04,23,0.0,0.0,4824.47,0.0
2019-01-05,0,0.0,0.0,5128.45,0.0
2019-01-05,1,0.0,0.0,3784.3,0.0
2019-01-05,2,0.0,0.0,3985.74,0.0
2019-01-05,3,0.0,0.0,4152.24,0.0
2019-01-05,4,0.0,0.0,3915.67,0.0
2019-01-05,5,0.0,0.0,4207.24,0.0
2019-01-05,6,0.0,0.0,4474.37,0.0
2019-01-05,7,0.0,0.0,4604.77,0.0
2019-01-05,8,0.0,0.0,4676.79,0.0
2019-01-05,9,0.0,0.0,6417.52,0.0
2019-01-05,10,0.0,0.0,6111.685596,0.0
2019-01-05,11,0.0,0.0,4516.915653,0.0
2019-01-05,12,0.0,0.0,4421.63,0.0
2019-01-05,13,0.0,0.0,4102.8667,0.0
2019-01-05,14,0.0,0.0,4093.70249,0.0
2019-01-05,15,0.0,0.0,3953.38,0.0
2019-01-05,16,0.0,0.0,3474.62,0.0
2019-01-05,17,0.0,0.0,3506.93,0.0
2019-01-05,18,0.0,0.0,4044.89,0.0
2019-01-05,19,0.0,0.0,3789.96,0.0
2019-01-05,20,0.0,0.0,3726.41,0.0
2019-01-05,21,0.0,0.0,4318.781557,0.0
2019-01-05,22,0.0,0.0,4396.642017,0.0
2019-01-05,23,0.0,0.0,5368.21,0.0
2019-01-06,0,0.0,0.0,7294.96,0.0
2019-01-06,1,0.0,0.0,6916.16,0.0
2019-01-06,2,0.0,0.0,5651.73,0.0
2019-01-06,3,0.0,0.0,5248.67,0.0
2019-01-06,4,0.0,0.0,6783.17,0.0
2019-01-06,5,0.0,0.0,9683.460336,0.0
2019-01-06,6,0.0,0.0,9888.71,0.0
2019-01-06,7,0.0,0.0,11123.5,0.0
2019-01-06,8,0.0,0.0,8737.701619,89.735081
2019-01-06,9,0.0,0.0,7730.228237,821.741763
2019-01-06,10,0.0,0.0,7977.529873,356.900127
2019-01-06,11,0.0,0.0,7000.361512,1254.878488
2019-01-06,12,0.0,0.0,6692.848624,1515.12076
2019-01-06,13,0.0,0.0,6898.351653,551.798347
2019-01-06,14,0.0,0.0,7360.182232,1170.367768
2019-01-06,15,0.0,0.0,7246.65636,1255.05034
2019-01-06,16,0.0,0.0,6909.97411,787.741253
2019-01-06,17,0.0,0.0,6566.360255,1314.519745
2019-01-06,18,0.0,0.0,6689.386626,1030.023374
2019-01-06,19,0.0,0.0,6048.931256,361.698744
2019-01-06,20,0.0,0.0,8103.810751,974.714875
2019-01-06,21,0.0,0.0,8195.292576,1636.247424
2019-01-06,22,0.0,0.0,9450.531959,1710.57823
2019-01-06,23,0.0,0.0,7065.948955,1734.294345
2019-01-07,0,0.0,0.0,6743.230658,1740.53777
2019-01-07,1,0.0,0.0,6657.615712,1657.354288
2019-01-07,2,0.0,0.0,6587.5301,1698.6199
2019-01-07,3,0.0,0.0,6395.715694,1666.294306
2019-01-07,4,0.0,0.0,5991.277319,1582.622681
2019-01-07,5,0.0,0.0,5980.273853,1654.806147
2019-01-07,6,0.0,0.0,6658.460086,1596.789914
2019-01-07,7,0.0,0.0,7711.939446,1111.510554
2019-01-07,8,0.0,0.0,7098.78348,738.25652
2019-01-07,9,0.0,0.0,6282.27846,378.17154
2019-01-07,10,0.0,0.0,6139.77,0.0
2019-01-07,11,0.0,0.0,7534.961127,170.537523
2019-01-07,12,0.0,0.0,10655.74567,681.49433
2019-01-07,13,0.0,0.0,11111.278154,527.20139
2019-01-07,14,0.0,0.0,10239.857271,1146.532729
2019-01-07,15,0.0,0.0,10109.009408,1206.700592
2019-01-07,16,0.0,0.0,8286.870755,488.57671
2019-01-07,17,0.0,0.0,6501.224843,307.595157
2019-01-07,18,0.0,0.0,9454.62,0.0
2019-01-07,19,0.0,0.0,7005.6,0.0
2019-01-07,20,0.0,0.0,7512.7033,0.0
2019-01-07,21,0.0,0.0,7162.93,0.0
2019-01-07,22,0.0,0.0,8055.371688,0.0
2019-01-07,23,0.0,0.0,4428.217829,0.0
2019-01-08,0,0.0,0.0,4050.06,0.0
2019-01-08,1,0.0,0.0,3648.71,0.0
2019-01-08,2,0.0,0.0,3473.83,0.0
2019-01-08,3,0.0,0.0,3226.2,0.0
2019-01-08,4,0.0,0.0,3371.188543,0.0
2019-01-08,5,0.0,0.0,4202.94,0.0
2019-01-08,6,0.0,0.0,5954.72,0.0
2019-01-08,7,0.0,0.0,5445.09,0.0
2019-01-08,8,0.0,0.0,5522.68554,0.0
2019-01-08,9,0.0,0.0,5332.65,0.0
2019-01-08,10,0.0,0.0,5097.57936,0.0
2019-01-08,11,0.0,0.0,6224.95,0.0
2019-01-08,12,0.0,0.0,8915.03,0.0
2019-01-08,13,0.0,0.0,6772.998659,166.428041
2019-01-08,14,0.0,0.0,4377.316354,925.933646
2019-01-08,15,0.0,0.0,5230.716917,1207.776258
2019-01-08,16,0.0,0.0,5489.318902,865.791098
2019-01-08,17,0.0,0.0,4551.983892,1132.766108
2019-01-08,18,0.0,0.0,4602.070832,471.809168
2019-01-08,19,0.0,0.0,7567.829978,0.0
2019-01-08,20,0.0,0.0,4944.3533,0.0
2019-01-08,21,0.0,0.0,5362.36,0.0
2019-01-08,22,0.0,0.0,6193.791473,0.0
2019-01-08,23,0.0,0.0,4450.53,0.0
2019-01-09,0,0.0,0.0,4794.4434,0.0
2019-01-09,1,0.0,0.0,3102.276,0.0
2019-01-09,2,0.0,0.0,3446.18,0.0
2019-01-09,3,0.0,0.0,4513.03,0.0
2019-01-09,4,0.0,0.0,4417.06,0.0
2019-01-09,5,0.0,0.0,4297.01,0.0
2019-01-09,6,0.0,0.0,4199.02,0.0
2019-01-09,7,0.0,0.0,4457.91,0.0
2019-01-09,8,0.0,0.0,4153.54,0.0
2019-01-09,9,0.0,0.0,4199.38,0.0
2019-01-09,10,0.0,0.0,4730.48,0.0
2019-01-09,11,0.0,0.0,4134.292054,0.0
2019-01-09,12,0.0,0.0,4024.25,0.0
2019-01-09,13,0.0,0.0,4746.916162,0.0
2019-01-09,14,0.0,0.0,4587.8767,0.0
2019-01-09,15,0.0,0.0,4062.91,0.0
2019-01-09,16,0.0,0.0,4220.73,0.0
2019-01-09,17,0.0,0.0,3951.37,0.0
2019-01-09,18,0.0,0.0,5018.83,0.0
2019-01-09,19,0.0,0.0,4486.69,0.0
2019-01-09,20,0.0,0.0,4935.73,0.0
2019-01-09,21,0.0,0.0,6005.54,0.0
2019-01-09,22,0.0,0.0,5553.347857,0.0
2019-01-09,23,0.0,0.0,4117.87,0.0
2019-01-10,0,0.0,0.0,4329.7567,0.0
2019-01-10,1,0.0,0.0,4613.78,0.0
2019-01-10,2,0.0,0.0,4401.44,0.0
2019-01-10,3,0.0,0.0,4095.67,0.0
2019-01-10,4,0.0,0.0,5206.78,0.0
2019-01-10,5,0.0,0.0,8170.19,0.0
2019-01-10,6,0.0,0.0,8455.62,0.0
2019-01-10,7,0.0,0.0,8158.51,0.0
2019-01-10,8,0.0,0.0,8971.576885,0.0
2019-01-10,9,0.0,0.0,6974.88,0.0
2019-01-10,10,0.0,0.0,7936.51,0.0
