Date,Hour,Minute,Type,Solve Time
2019-01-01,0,0,SCED,0.057445
2019-01-01,1,0,SCED,0.055845
2019-01-01,2,0,SCED,0.058005
2019-01-01,3,0,SCED,0.064414
2019-01-01,4,0,SCED,0.061234
2019-01-01,5,0,SCED,0.063213
2019-01-01,6,0,SCED,0.056987
2019-01-01,7,0,SCED,0.056827
2019-01-01,8,0,SCED,0.056616
2019-01-01,9,0,SCED,0.057691
2019-01-01,10,0,SCED,0.059138
2019-01-01,11,0,SCED,0.056377
2019-01-01,12,0,SCED,0.057327
2019-01-01,13,0,SCED,0.063132
2019-01-01,14,0,SCED,0.057134
2019-01-01,15,0,SCED,0.061006
2019-01-01,16,0,SCED,0.056531
2019-01-01,17,0,SCED,0.059292
2019-01-01,18,0,SCED,0.064402
2019-01-01,19,0,SCED,0.057423
2019-01-01,20,0,SCED,0.05619
2019-01-01,21,0,SCED,0.060885
2019-01-01,22,0,SCED,0.05524
2019-01-01,23,0,SCED,0.055772
2019-01-02,0,0,SCED,0.056236
2019-01-02,1,0,SCED,0.055025
2019-01-02,2,0,SCED,0.055583
2019-01-02,3,0,SCED,0.05546
2019-01-02,4,0,SCED,0.062109
2019-01-02,5,0,SCED,0.065772
2019-01-02,6,0,SCED,0.056324
2019-01-02,7,0,SCED,0.062062
2019-01-02,8,0,SCED,0.056807
2019-01-02,9,0,SCED,0.056798
2019-01-02,10,0,SCED,0.064714
2019-01-02,11,0,SCED,0.056604
2019-01-02,12,0,SCED,0.056604
2019-01-02,13,0,SCED,0.05686
2019-01-02,14,0,SCED,0.056838
2019-01-02,15,0,SCED,0.05719
2019-01-02,16,0,SCED,0.059611
2019-01-02,17,0,SCED,0.064566
2019-01-02,18,0,SCED,0.057947
2019-01-02,19,0,SCED,0.070107
2019-01-02,20,0,SCED,0.058483
2019-01-02,21,0,SCED,0.06523
2019-01-02,22,0,SCED,0.057127
2019-01-02,23,0,SCED,0.056699
2019-01-03,0,0,SCED,0.056733
2019-01-03,1,0,SCED,0.055998
2019-01-03,2,0,SCED,0.063019
2019-01-03,3,0,SCED,0.0576
2019-01-03,4,0,SCED,0.057294
2019-01-03,5,0,SCED,0.057711
2019-01-03,6,0,SCED,0.058018
2019-01-03,7,0,SCED,0.057422
2019-01-03,8,0,SCED,0.05759
2019-01-03,9,0,SCED,0.065074
2019-01-03,10,0,SCED,0.073124
2019-01-03,11,0,SCED,0.070564
2019-01-03,12,0,SCED,0.070474
2019-01-03,13,0,SCED,0.074315
2019-01-03,14,0,SCED,0.072838
2019-01-03,15,0,SCED,0.055724
2019-01-03,16,0,SCED,0.069062
2019-01-03,17,0,SCED,0.056734
2019-01-03,18,0,SCED,0.056462
2019-01-03,19,0,SCED,0.056309
2019-01-03,20,0,SCED,0.057969
2019-01-03,21,0,SCED,0.056601
2019-01-03,22,0,SCED,0.056581
2019-01-03,23,0,SCED,0.06143
2019-01-04,0,0,SCED,0.05656
2019-01-04,1,0,SCED,0.056881
2019-01-04,2,0,SCED,0.058425
2019-01-04,3,0,SCED,0.055321
2019-01-04,4,0,SCED,0.065687
2019-01-04,5,0,SCED,0.056675
2019-01-04,6,0,SCED,0.057173
2019-01-04,7,0,SCED,0.056628
2019-01-04,8,0,SCED,0.055526
2019-01-04,9,0,SCED,0.056621
2019-01-04,10,0,SCED,0.056864
2019-01-04,11,0,SCED,0.056612
2019-01-04,12,0,SCED,0.055552
2019-01-04,13,0,SCED,0.060026
2019-01-04,14,0,SCED,0.058094
2019-01-04,15,0,SCED,0.05758
2019-01-04,16,0,SCED,0.056372
2019-01-04,17,0,SCED,0.056835
2019-01-04,18,0,SCED,0.055577
2019-01-04,19,0,SCED,0.058232
2019-01-04,20,0,SCED,0.056626
2019-01-04,21,0,SCED,0.056108
2019-01-04,22,0,SCED,0.056524
2019-01-04,23,0,SCED,0.066111
2019-01-05,0,0,SCED,0.054219
2019-01-05,1,0,SCED,0.06617
2019-01-05,2,0,SCED,0.056969
2019-01-05,3,0,SCED,0.061374
2019-01-05,4,0,SCED,0.055389
2019-01-05,5,0,SCED,0.056695
2019-01-05,6,0,SCED,0.06664
2019-01-05,7,0,SCED,0.059308
2019-01-05,8,0,SCED,0.056915
2019-01-05,9,0,SCED,0.064931
2019-01-05,10,0,SCED,0.056905
2019-01-05,11,0,SCED,0.05574
2019-01-05,12,0,SCED,0.062385
2019-01-05,13,0,SCED,0.055998
2019-01-05,14,0,SCED,0.056966
2019-01-05,15,0,SCED,0.059006
2019-01-05,16,0,SCED,0.055649
2019-01-05,17,0,SCED,0.060896
2019-01-05,18,0,SCED,0.056076
2019-01-05,19,0,SCED,0.064965
2019-01-05,20,0,SCED,0.056192
2019-01-05,21,0,SCED,0.05732
2019-01-05,22,0,SCED,0.055221
2019-01-05,23,0,SCED,0.055811
2019-01-06,0,0,SCED,0.0561
2019-01-06,1,0,SCED,0.055942
2019-01-06,2,0,SCED,0.056119
2019-01-06,3,0,SCED,0.057172
2019-01-06,4,0,SCED,0.058394
2019-01-06,5,0,SCED,0.056354
2019-01-06,6,0,SCED,0.056527
2019-01-06,7,0,SCED,0.062406
2019-01-06,8,0,SCED,0.055728
2019-01-06,9,0,SCED,0.065643
2019-01-06,10,0,SCED,0.063162
2019-01-06,11,0,SCED,0.058718
2019-01-06,12,0,SCED,0.06718
2019-01-06,13,0,SCED,0.056882
2019-01-06,14,0,SCED,0.055092
2019-01-06,15,0,SCED,0.056934
2019-01-06,16,0,SCED,0.067037
2019-01-06,17,0,SCED,0.057159
2019-01-06,18,0,SCED,0.057903
2019-01-06,19,0,SCED,0.063705
2019-01-06,20,0,SCED,0.05593
2019-01-06,21,0,SCED,0.055374
2019-01-06,22,0,SCED,0.063601
2019-01-06,23,0,SCED,0.057055
2019-01-07,0,0,SCED,0.065477
2019-01-07,1,0,SCED,0.054429
2019-01-07,2,0,SCED,0.054955
2019-01-07,3,0,SCED,0.065364
2019-01-07,4,0,SCED,0.055038
2019-01-07,5,0,SCED,0.056506
2019-01-07,6,0,SCED,0.062904
2019-01-07,7,0,SCED,0.05636
2019-01-07,8,0,SCED,0.060881
2019-01-07,9,0,SCED,0.069186
2019-01-07,10,0,SCED,0.082461
2019-01-07,11,0,SCED,0.07702
2019-01-07,12,0,SCED,0.080868
2019-01-07,13,0,SCED,0.075615
2019-01-07,14,0,SCED,0.077444
2019-01-07,15,0,SCED,0.0679
2019-01-07,16,0,SCED,0.056814
2019-01-07,17,0,SCED,0.063786
2019-01-07,18,0,SCED,0.056844
2019-01-07,19,0,SCED,0.053591
2019-01-07,20,0,SCED,0.057126
2019-01-07,21,0,SCED,0.055383
2019-01-07,22,0,SCED,0.055607
2019-01-07,23,0,SCED,0.054669
2019-01-08,0,0,SCED,0.053998
2019-01-08,1,0,SCED,0.053984
2019-01-08,2,0,SCED,0.054874
2019-01-08,3,0,SCED,0.054737
2019-01-08,4,0,SCED,0.054812
2019-01-08,5,0,SCED,0.054783
2019-01-08,6,0,SCED,0.054194
2019-01-08,7,0,SCED,0.063549
2019-01-08,8,0,SCED,0.056121
2019-01-08,9,0,SCED,0.064055
2019-01-08,10,0,SCED,0.05566
2019-01-08,11,0,SCED,0.057225
2019-01-08,12,0,SCED,0.057088
2019-01-08,13,0,SCED,0.058486
2019-01-08,14,0,SCED,0.057286
2019-01-08,15,0,SCED,0.058981
2019-01-08,16,0,SCED,0.057241
2019-01-08,17,0,SCED,0.057872
2019-01-08,18,0,SCED,0.06234
2019-01-08,19,0,SCED,0.061536
2019-01-08,20,0,SCED,0.057863
2019-01-08,21,0,SCED,0.057278
2019-01-08,22,0,SCED,0.055907
2019-01-08,23,0,SCED,0.055706
2019-01-09,0,0,SCED,0.05623
2019-01-09,1,0,SCED,0.054489
2019-01-09,2,0,SCED,0.054851
2019-01-09,3,0,SCED,0.061581
2019-01-09,4,0,SCED,0.056301
2019-01-09,5,0,SCED,0.055804
2019-01-09,6,0,SCED,0.056669
2019-01-09,7,0,SCED,0.055923
2019-01-09,8,0,SCED,0.055213
