Date,Hour,Minute,Generator,Output,Output DA,Curtailment,Unit Market Revenue,Unit Uplift Payment
2035-01-01,0,0,9,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,21,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,22,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,23,56.49,56.49,0.0,1.287783,0.0
2035-01-01,0,0,24,99.95,99.95,0.0,2.278526,0.0
2035-01-01,0,0,31,9.14,9.14,0.0,0.208361,0.0
2035-01-01,0,0,32,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,41,4.67,4.67,0.0,0.10646,0.0
2035-01-01,0,0,52,9.69,9.69,0.0,0.2209,0.0
2035-01-01,0,0,53,15.39,15.39,0.0,0.350841,0.0
2035-01-01,0,0,55,143.41,143.41,0.0,3.269269,0.0
2035-01-01,0,0,68,10.2,10.2,0.0,0.232497,0.0
2035-01-01,0,0,77,200.0,200.0,0.0,4.558587,0.0
2035-01-01,0,0,78,151.2,151.2,0.0,3.446292,0.0
2035-01-01,0,0,79,87.5,87.5,0.0,1.994382,0.0
2035-01-01,0,0,80,141.5,141.5,0.0,3.2252,0.0
2035-01-01,0,0,81,185.0,185.0,0.0,4.216693,0.0
2035-01-01,0,0,82,130.5,130.5,0.0,2.974478,0.0
2035-01-01,0,0,83,291.0,291.0,0.0,6.632744,0.0
2035-01-01,0,0,88,170.6,170.6,0.0,3.888475,0.0
2035-01-01,0,0,89,164.0,164.0,0.0,3.738041,0.0
2035-01-01,0,0,90,220.2,220.2,0.0,5.019004,0.0
2035-01-01,0,0,91,785.5,785.5,0.0,17.903851,0.0
2035-01-01,0,0,92,282.5,282.5,0.0,6.439004,0.0
2035-01-01,0,0,96,3.62,3.62,0.0,0.082524,0.0
2035-01-01,0,0,97,22.27,22.27,0.0,0.507682,0.0
2035-01-01,0,0,104,3.9,3.9,0.0,0.088896,0.0
2035-01-01,0,0,106,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,109,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,111,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,113,143.72,143.72,0.0,3.27577,0.0
2035-01-01,0,0,115,143.72,143.72,0.0,3.27577,0.0
2035-01-01,0,0,117,9.58,9.58,0.0,0.218354,0.0
2035-01-01,0,0,123,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,125,90.45,90.45,0.0,2.061958,0.0
2035-01-01,0,0,126,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,127,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,128,129.54,129.54,0.0,2.953079,0.0
2035-01-01,0,0,139,6.04,6.04,0.0,0.137692,0.0
2035-01-01,0,0,153,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,154,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,157,250.0,250.0,0.0,5.698708,0.0
2035-01-01,0,0,158,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,162,14.06,14.06,0.0,0.320568,0.0
2035-01-01,0,0,164,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,167,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,168,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,170,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,172,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,173,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,188,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,194,176.5,176.5,0.0,4.022745,0.0
2035-01-01,0,0,204,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,205,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,206,65.45,65.45,0.0,1.492041,0.0
2035-01-01,0,0,210,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,217,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,218,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,219,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,225,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,265,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,266,3.91,3.91,0.0,0.089135,0.0
2035-01-01,0,0,267,4.8,4.8,0.0,0.109424,0.0
2035-01-01,0,0,272,480.32,480.32,0.0,10.947802,0.0
2035-01-01,0,0,277,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,278,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,279,264.6,264.6,0.0,6.030977,0.0
2035-01-01,0,0,281,4.1,4.1,0.0,0.093466,0.0
2035-01-01,0,0,pv_3-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_6-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_7-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_13-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_22-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_27-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_28-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_29-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_30-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_31-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_32-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_34-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_38-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_40-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_46-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_50-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_55-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_59-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_68-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_70-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_76-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_77-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_83-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_86-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_88-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_89-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_92-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_94-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_101-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_102-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_106-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_117-c,0.0,0.0,0.0,0.0,0.0
2035-01-01,0,0,pv_119-c,0.0,0.0,0.0,0.0,0.0
