Date,Hour,Minute,Generator,Dispatch,Dispatch DA,Headroom,Unit State,Unit Cost,Unit Market Revenue,Unit Uplift Payment
2035-01-01,0,0,1,2187.0,2187.0,0.0,True,10.757143,49.86249,0.0
2035-01-01,0,0,2,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,3,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,4,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,5,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,7,53.19,53.19,124.11,True,2.609772,1.212554,0.0
2035-01-01,0,0,8,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,10,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,11,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,12,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,13,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,14,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,15,50.1,50.1,0.0,True,2.63,1.142113,0.0
2035-01-01,0,0,16,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,18,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,25,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,26,424.7,0.0,0.0,False,0.0,9.681741,0.0
2035-01-01,0,0,27,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,28,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,44,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,45,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,47,18.0,18.0,42.0,True,0.23,0.41034,0.0
2035-01-01,0,0,48,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,49,0.0,0.0,0.0,False,0.0,0.0,0.0
2035-01-01,0,0,50,0.0,0.0,0.0,False,0.0,0.0,0.0
