Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2019-01-01,0,0,Tennessee Colony 345,86.22,0.0,0.0,-8.440706,-8.440706
2019-01-01,0,0,Wheeler 345,98.07,0.0,1560.6,-1000.0,-1000.0
2019-01-01,0,0,Alpine 2 345,144.28,0.0,0.0,45.144658,45.144658
2019-01-01,0,0,Rosharon 345,191.66,0.0,0.0,5.428832,5.428832
2019-01-01,0,0,Sullivan City 345,28.42,0.0,0.0,16.157773,16.157773
2019-01-01,0,0,Prosper 345,555.01,0.0,0.0,20.210371,20.210371
2019-01-01,0,0,Eastland 345,39.0,0.0,0.0,-146.633905,-146.633905
2019-01-01,0,0,Fischer 345,158.95,0.0,0.0,23.213932,23.213932
2019-01-01,0,0,Bryan 1 345,183.84,0.0,0.0,5.79575,5.79575
2019-01-01,0,0,Rowlett 1 345,985.21,0.0,0.0,16.175141,16.175141
2019-01-01,0,0,Weatherford 3 345,41.53,0.0,0.0,5.916332,5.916332
2019-01-01,0,0,Odonnell 345,349.77,0.0,0.0,-552.345052,-552.345052
2019-01-01,0,0,Dallas 10 345,729.29,0.0,0.0,21.110794,21.110794
2019-01-01,0,0,O'Donnell 345,74.47,0.0,0.0,-570.079885,-570.079885
2019-01-01,0,0,Canyon Lake 1 345,40.64,0.0,0.0,23.444196,23.444196
2019-01-01,0,0,Adrian 1 345,9.02,0.0,0.0,-570.079885,-570.079885
2019-01-01,0,0,Austin 17 345,167.06,0.0,0.0,22.018488,22.018488
2019-01-01,0,0,Taft 2 345,98.42,0.0,0.0,15.588613,15.588613
2019-01-01,0,0,Dilley 1 345,66.15,0.0,0.0,21.722382,21.722382
2019-01-01,0,0,Dallas 8 345,446.52,0.0,0.0,6.922123,6.922123
2019-01-01,0,0,San Angelo 3 345,138.54,0.0,0.0,41.878106,41.878106
2019-01-01,0,0,Carlsbad 345,92.04,0.0,0.0,45.339176,45.339176
2019-01-01,0,0,Dale 345,134.72,0.0,0.0,20.856072,20.856072
2019-01-01,0,0,Brenham 345,141.06,0.0,0.0,7.527819,7.527819
2019-01-01,0,0,Raymondville 345,180.31,0.0,0.0,15.816234,15.816234
2019-01-01,0,0,Mccamey 345,292.33,0.0,0.0,45.144658,45.144658
2019-01-01,0,0,Fort Worth 16 345,951.37,0.0,0.0,8.189928,8.189928
2019-01-01,0,0,Art 345,56.11,0.0,0.0,29.596528,29.596528
2019-01-01,0,0,Austin 22 345,988.62,0.0,0.0,22.018488,22.018488
2019-01-01,0,0,Abilene 2 345,181.2,0.0,0.0,-281.482017,-281.482017
2019-01-01,0,0,Campbellton 345,30.57,0.0,0.0,18.446594,18.446594
2019-01-01,0,0,Corpus Christi 11 345,243.62,0.0,0.0,15.608212,15.608212
2019-01-01,0,0,New Braunfels 2 345,252.38,0.0,0.0,23.523666,23.523666
2019-01-01,0,0,Abilene 5 345,218.8,0.0,0.0,-294.522336,-294.522336
2019-01-01,0,0,Rule 2 345,88.16,0.0,0.0,-904.007913,-904.007913
2019-01-01,0,0,Cedar Creek 2 345,19.29,0.0,0.0,20.447796,20.447796
2019-01-01,0,0,Fort Worth 15 345,236.15,0.0,0.0,4.859687,4.859687
2019-01-01,0,0,Lytle 345,43.29,0.0,0.0,20.206163,20.206163
2019-01-01,0,0,Conroe 4 345,138.24,0.0,0.0,2.427147,2.427147
2019-01-01,0,0,Gordon 345,87.25,0.0,0.0,-7.417571,-7.417571
2019-01-01,0,0,Melvin 345,43.4,0.0,0.0,36.48553,36.48553
2019-01-01,0,0,Blum 345,242.77,0.0,0.0,8.313847,8.313847
2019-01-01,0,0,Rockdale 2 345,42.21,0.0,0.0,9.511874,9.511874
2019-01-01,0,0,Richards 2 345,8.21,0.0,0.0,3.387893,3.387893
2019-01-01,0,0,Tarpley 345,146.96,0.0,0.0,29.817653,29.817653
2019-01-01,0,0,Bayside 3 345,70.85,0.0,0.0,14.84325,14.84325
2019-01-01,0,0,San Antonio 25 345,680.06,0.0,0.0,24.927078,24.927078
2019-01-01,0,0,Roscoe 2 345,23.38,0.0,0.0,-392.195505,-392.195505
