Date,Hour,Minute,Type,Solve Time
2019-01-01,0,0,SCED,0.030182
2019-01-01,1,0,SCED,0.030983
2019-01-01,2,0,SCED,0.032327
2019-01-01,3,0,SCED,0.030507
2019-01-01,4,0,SCED,0.030043
2019-01-01,5,0,SCED,0.033623
2019-01-01,6,0,SCED,0.030098
2019-01-01,7,0,SCED,0.029855
2019-01-01,8,0,SCED,0.029849
2019-01-01,9,0,SCED,0.0334
2019-01-01,10,0,SCED,0.033357
2019-01-01,11,0,SCED,0.029319
2019-01-01,12,0,SCED,0.031271
2019-01-01,13,0,SCED,0.029421
2019-01-01,14,0,SCED,0.033273
2019-01-01,15,0,SCED,0.032338
2019-01-01,16,0,SCED,0.028336
2019-01-01,17,0,SCED,0.028916
2019-01-01,18,0,SCED,0.030544
2019-01-01,19,0,SCED,0.033159
2019-01-01,20,0,SCED,0.03012
2019-01-01,21,0,SCED,0.028805
2019-01-01,22,0,SCED,0.035206
2019-01-01,23,0,SCED,0.035996
2019-01-02,0,0,SCED,0.030063
2019-01-02,1,0,SCED,0.030085
2019-01-02,2,0,SCED,0.029751
2019-01-02,3,0,SCED,0.032572
2019-01-02,4,0,SCED,0.036337
2019-01-02,5,0,SCED,0.028714
2019-01-02,6,0,SCED,0.029246
2019-01-02,7,0,SCED,0.030329
2019-01-02,8,0,SCED,0.027346
2019-01-02,9,0,SCED,0.029356
2019-01-02,10,0,SCED,0.03339
2019-01-02,11,0,SCED,0.030833
2019-01-02,12,0,SCED,0.032801
2019-01-02,13,0,SCED,0.030271
2019-01-02,14,0,SCED,0.0286
2019-01-02,15,0,SCED,0.037054
2019-01-02,16,0,SCED,0.032113
2019-01-02,17,0,SCED,0.036894
2019-01-02,18,0,SCED,0.026511
2019-01-02,19,0,SCED,0.034206
2019-01-02,20,0,SCED,0.030727
2019-01-02,21,0,SCED,0.037402
2019-01-02,22,0,SCED,0.031153
2019-01-02,23,0,SCED,0.030225
2019-01-03,0,0,SCED,0.027316
2019-01-03,1,0,SCED,0.030042
2019-01-03,2,0,SCED,0.031112
2019-01-03,3,0,SCED,0.030718
2019-01-03,4,0,SCED,0.030538
2019-01-03,5,0,SCED,0.03472
2019-01-03,6,0,SCED,0.027165
2019-01-03,7,0,SCED,0.031248
2019-01-03,8,0,SCED,0.034513
2019-01-03,9,0,SCED,0.034201
2019-01-03,10,0,SCED,0.026308
2019-01-03,11,0,SCED,0.029523
2019-01-03,12,0,SCED,0.035559
2019-01-03,13,0,SCED,0.035252
2019-01-03,14,0,SCED,0.031767
2019-01-03,15,0,SCED,0.033155
2019-01-03,16,0,SCED,0.025921
2019-01-03,17,0,SCED,0.028995
2019-01-03,18,0,SCED,0.036312
2019-01-03,19,0,SCED,0.027266
2019-01-03,20,0,SCED,0.034664
2019-01-03,21,0,SCED,0.033486
2019-01-03,22,0,SCED,0.03075
2019-01-03,23,0,SCED,0.030427
2019-01-04,0,0,SCED,0.030221
2019-01-04,1,0,SCED,0.030524
2019-01-04,2,0,SCED,0.030682
2019-01-04,3,0,SCED,0.030099
2019-01-04,4,0,SCED,0.029303
2019-01-04,5,0,SCED,0.030051
2019-01-04,6,0,SCED,0.029777
2019-01-04,7,0,SCED,0.031124
2019-01-04,8,0,SCED,0.0375
2019-01-04,9,0,SCED,0.031327
2019-01-04,10,0,SCED,0.030116
2019-01-04,11,0,SCED,0.027233
2019-01-04,12,0,SCED,0.029021
2019-01-04,13,0,SCED,0.03081
2019-01-04,14,0,SCED,0.031004
2019-01-04,15,0,SCED,0.027406
2019-01-04,16,0,SCED,0.028649
2019-01-04,17,0,SCED,0.028839
2019-01-04,18,0,SCED,0.029977
2019-01-04,19,0,SCED,0.033066
