Date,Hour,Minute,Generator,Dispatch,Dispatch DA,Headroom,Unit State,Unit Cost,Unit Market Revenue,Unit Uplift Payment
2019-01-01,0,0,1,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,2,304.6,304.6,0.0,True,2390.622305,1535.577072,0.0
2019-01-01,0,0,3,236.0,236.0,0.0,True,1541.900242,1189.744547,0.0
2019-01-01,0,0,4,176.4,176.4,0.0,True,683.355767,889.283636,0.0
2019-01-01,0,0,5,380.7,380.7,-0.0,True,2512.542264,1919.219275,0.0
2019-01-01,0,0,6,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,7,177.3,177.3,0.0,True,795.791919,893.820797,0.0
2019-01-01,0,0,8,381.8,381.8,0.0,True,3588.258818,1924.764694,0.0
2019-01-01,0,0,10,92.7,92.7,0.0,True,191.790772,503.252744,0.0
2019-01-01,0,0,11,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,12,260.0,260.0,0.0,True,639.125553,1411.49637,0.0
2019-01-01,0,0,13,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,14,22.0,22.0,0.0,True,3.655396,127.506504,0.0
2019-01-01,0,0,15,50.1,50.1,0.0,True,51.326952,290.367084,0.0
2019-01-01,0,0,16,203.2,203.2,0.0,True,1273.517724,1177.696437,0.0
2019-01-01,0,0,18,432.0,432.0,0.0,True,5883.25143,6742.747397,0.0
2019-01-01,0,0,25,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,26,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,27,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,28,25.7,25.7,0.0,True,12.298273,129.561165,0.0
2019-01-01,0,0,44,108.0,108.0,0.0,True,212.552169,2377.996717,0.0
2019-01-01,0,0,45,54.9,54.9,0.0,True,27.368889,1399.703752,0.0
2019-01-01,0,0,47,60.0,60.0,0.0,True,74.152872,1529.730876,0.0
2019-01-01,0,0,48,44.0,44.0,0.0,True,27.95747,1121.802643,0.0
2019-01-01,0,0,49,639.0,639.0,0.0,True,3191.415702,7602.539503,0.0
2019-01-01,0,0,50,595.0,595.0,0.0,True,7610.288971,7079.046955,0.0
2019-01-01,0,0,51,242.0,242.0,0.0,True,1577.574231,2526.984093,0.0
2019-01-01,0,0,54,1152.8,1152.8,0.0,True,32292.001146,51828.19847,0.0
2019-01-01,0,0,60,201.6,201.6,0.0,True,581.078244,3170.750424,0.0
2019-01-01,0,0,61,201.0,201.0,0.0,True,965.414163,3161.313667,0.0
2019-01-01,0,0,62,283.2,283.2,0.0,True,1196.443307,4454.149405,0.0
2019-01-01,0,0,66,24.9,24.9,0.0,True,16.568484,395.000901,0.0
2019-01-01,0,0,70,191.1,191.1,0.0,True,773.477423,982.776689,0.0
2019-01-01,0,0,71,0.0,0.0,0.0,False,0.0,0.0,0.0
2019-01-01,0,0,72,450.0,450.0,0.0,True,5601.08925,2314.230822,0.0
2019-01-01,0,0,73,56.0,56.0,0.0,True,81.532526,287.993169,0.0
