Date,Hour,Minute,Type,Solve Time
2035-01-01,0,0,SCED,0.063728
2035-01-01,1,0,SCED,0.067771
2035-01-01,2,0,SCED,0.051185
2035-01-01,3,0,SCED,0.050927
2035-01-01,4,0,SCED,0.051359
2035-01-01,5,0,SCED,0.050706
2035-01-01,6,0,SCED,0.076287
2035-01-01,7,0,SCED,0.084441
2035-01-01,8,0,SCED,0.085704
2035-01-01,9,0,SCED,0.049534
2035-01-01,10,0,SCED,0.050578
2035-01-01,11,0,SCED,0.071699
2035-01-01,12,0,SCED,0.07478
2035-01-01,13,0,SCED,0.051001
2035-01-01,14,0,SCED,0.080672
2035-01-01,15,0,SCED,0.082956
2035-01-01,16,0,SCED,0.101721
2035-01-01,17,0,SCED,0.086592
2035-01-01,18,0,SCED,0.085022
2035-01-01,19,0,SCED,0.073907
2035-01-01,20,0,SCED,0.089418
2035-01-01,21,0,SCED,0.093315
2035-01-01,22,0,SCED,0.070768
2035-01-01,23,0,SCED,0.09245
2035-01-02,0,0,SCED,0.098574
2035-01-02,1,0,SCED,0.082389
2035-01-02,2,0,SCED,0.086076
2035-01-02,3,0,SCED,0.083998
2035-01-02,4,0,SCED,0.083123
2035-01-02,5,0,SCED,0.081617
2035-01-02,6,0,SCED,0.08763
2035-01-02,7,0,SCED,0.094454
2035-01-02,8,0,SCED,0.080364
2035-01-02,9,0,SCED,0.083938
2035-01-02,10,0,SCED,0.086566
2035-01-02,11,0,SCED,0.095957
2035-01-02,12,0,SCED,0.096281
2035-01-02,13,0,SCED,0.067541
2035-01-02,14,0,SCED,0.07549
2035-01-02,15,0,SCED,0.078284
2035-01-02,16,0,SCED,0.08533
2035-01-02,17,0,SCED,0.068683
2035-01-02,18,0,SCED,0.080059
2035-01-02,19,0,SCED,0.103142
2035-01-02,20,0,SCED,0.099862
2035-01-02,21,0,SCED,0.079582
2035-01-02,22,0,SCED,0.068931
2035-01-02,23,0,SCED,0.072161
2035-01-03,0,0,SCED,0.080567
2035-01-03,1,0,SCED,0.07763
2035-01-03,2,0,SCED,0.07928
2035-01-03,3,0,SCED,0.076697
2035-01-03,4,0,SCED,0.075555
2035-01-03,5,0,SCED,0.091971
2035-01-03,6,0,SCED,0.094733
2035-01-03,7,0,SCED,0.087137
2035-01-03,8,0,SCED,0.068907
2035-01-03,9,0,SCED,0.062196
2035-01-03,10,0,SCED,0.088936
2035-01-03,11,0,SCED,0.063951
2035-01-03,12,0,SCED,0.055225
2035-01-03,13,0,SCED,0.063083
2035-01-03,14,0,SCED,0.078815
2035-01-03,15,0,SCED,0.083295
2035-01-03,16,0,SCED,0.081619
2035-01-03,17,0,SCED,0.072392
2035-01-03,18,0,SCED,0.081485
2035-01-03,19,0,SCED,0.076971
2035-01-03,20,0,SCED,0.07466
2035-01-03,21,0,SCED,0.072495
2035-01-03,22,0,SCED,0.075383
2035-01-03,23,0,SCED,0.070506
2035-01-04,0,0,SCED,0.080835
2035-01-04,1,0,SCED,0.076019
2035-01-04,2,0,SCED,0.07998
2035-01-04,3,0,SCED,0.077672
2035-01-04,4,0,SCED,0.080722
2035-01-04,5,0,SCED,0.073396
2035-01-04,6,0,SCED,0.081127
2035-01-04,7,0,SCED,0.076304
2035-01-04,8,0,SCED,0.086711
2035-01-04,9,0,SCED,0.069588
2035-01-04,10,0,SCED,0.061281
2035-01-04,11,0,SCED,0.057818
2035-01-04,12,0,SCED,0.056191
2035-01-04,13,0,SCED,0.052375
2035-01-04,14,0,SCED,0.077977
2035-01-04,15,0,SCED,0.080084
2035-01-04,16,0,SCED,0.064962
2035-01-04,17,0,SCED,0.074184
2035-01-04,18,0,SCED,0.076425
2035-01-04,19,0,SCED,0.074899
2035-01-04,20,0,SCED,0.082998
2035-01-04,21,0,SCED,0.087574
2035-01-04,22,0,SCED,0.076396
2035-01-04,23,0,SCED,0.081508
2035-01-05,0,0,SCED,0.087686
2035-01-05,1,0,SCED,0.092556
2035-01-05,2,0,SCED,0.097045
2035-01-05,3,0,SCED,0.0987
2035-01-05,4,0,SCED,0.07763
2035-01-05,5,0,SCED,0.073662
2035-01-05,6,0,SCED,0.083138
2035-01-05,7,0,SCED,0.074023
2035-01-05,8,0,SCED,0.078769
2035-01-05,9,0,SCED,0.084363
2035-01-05,10,0,SCED,0.089637
2035-01-05,11,0,SCED,0.090868
2035-01-05,12,0,SCED,0.095275
2035-01-05,13,0,SCED,0.088744
2035-01-05,14,0,SCED,0.088583
2035-01-05,15,0,SCED,0.054286
2035-01-05,16,0,SCED,0.058175
2035-01-05,17,0,SCED,0.053393
2035-01-05,18,0,SCED,0.054707
2035-01-05,19,0,SCED,0.052795
2035-01-05,20,0,SCED,0.055647
2035-01-05,21,0,SCED,0.054957
2035-01-05,22,0,SCED,0.064298
2035-01-05,23,0,SCED,0.048066
2035-01-06,0,0,SCED,0.047058
2035-01-06,1,0,SCED,0.069856
2035-01-06,2,0,SCED,0.068083
2035-01-06,3,0,SCED,0.072569
2035-01-06,4,0,SCED,0.051677
2035-01-06,5,0,SCED,0.07208
2035-01-06,6,0,SCED,0.072596
2035-01-06,7,0,SCED,0.069306
2035-01-06,8,0,SCED,0.050107
2035-01-06,9,0,SCED,0.065484
2035-01-06,10,0,SCED,0.065172
2035-01-06,11,0,SCED,0.064394
2035-01-06,12,0,SCED,0.048174
2035-01-06,13,0,SCED,0.066469
2035-01-06,14,0,SCED,0.067089
2035-01-06,15,0,SCED,0.069118
2035-01-06,16,0,SCED,0.073639
2035-01-06,17,0,SCED,0.074622
2035-01-06,18,0,SCED,0.072097
2035-01-06,19,0,SCED,0.069648
2035-01-06,20,0,SCED,0.048754
2035-01-06,21,0,SCED,0.047956
2035-01-06,22,0,SCED,0.056465
2035-01-06,23,0,SCED,0.045957
2035-01-07,0,0,SCED,0.04659
2035-01-07,1,0,SCED,0.047099
2035-01-07,2,0,SCED,0.046769
2035-01-07,3,0,SCED,0.059071
2035-01-07,4,0,SCED,0.043656
2035-01-07,5,0,SCED,0.044437
2035-01-07,6,0,SCED,0.064434
2035-01-07,7,0,SCED,0.072419
2035-01-07,8,0,SCED,0.08097
2035-01-07,9,0,SCED,0.073869
2035-01-07,10,0,SCED,0.072222
2035-01-07,11,0,SCED,0.070877
2035-01-07,12,0,SCED,0.071615
2035-01-07,13,0,SCED,0.073042
2035-01-07,14,0,SCED,0.069498
2035-01-07,15,0,SCED,0.08092
2035-01-07,16,0,SCED,0.071918
2035-01-07,17,0,SCED,0.069231
2035-01-07,18,0,SCED,0.070933
2035-01-07,19,0,SCED,0.05253
2035-01-07,20,0,SCED,0.05257
2035-01-07,21,0,SCED,0.051129
2035-01-07,22,0,SCED,0.068101
2035-01-07,23,0,SCED,0.065922
2035-01-08,0,0,SCED,0.065738
2035-01-08,1,0,SCED,0.069902
2035-01-08,2,0,SCED,0.077702
2035-01-08,3,0,SCED,0.081612
2035-01-08,4,0,SCED,0.082767
2035-01-08,5,0,SCED,0.072241
2035-01-08,6,0,SCED,0.074085
2035-01-08,7,0,SCED,0.074364
2035-01-08,8,0,SCED,0.081775
2035-01-08,9,0,SCED,0.084118
2035-01-08,10,0,SCED,0.068582
2035-01-08,11,0,SCED,0.054709
2035-01-08,12,0,SCED,0.064738
2035-01-08,13,0,SCED,0.072417
2035-01-08,14,0,SCED,0.073709
2035-01-08,15,0,SCED,0.069803
2035-01-08,16,0,SCED,0.077832
2035-01-08,17,0,SCED,0.074702
2035-01-08,18,0,SCED,0.073274
2035-01-08,19,0,SCED,0.072327
2035-01-08,20,0,SCED,0.052509
2035-01-08,21,0,SCED,0.049651
2035-01-08,22,0,SCED,0.049471
2035-01-08,23,0,SCED,0.049908
2035-01-09,0,0,SCED,0.043993
2035-01-09,1,0,SCED,0.043438
2035-01-09,2,0,SCED,0.067082
2035-01-09,3,0,SCED,0.07229
2035-01-09,4,0,SCED,0.078317
2035-01-09,5,0,SCED,0.059981
2035-01-09,6,0,SCED,0.096283
2035-01-09,7,0,SCED,0.098044
2035-01-09,8,0,SCED,0.100934
2035-01-09,9,0,SCED,0.069333
2035-01-09,10,0,SCED,0.065896
2035-01-09,11,0,SCED,0.055064
2035-01-09,12,0,SCED,0.055315
2035-01-09,13,0,SCED,0.053484
2035-01-09,14,0,SCED,0.058132
2035-01-09,15,0,SCED,0.057859
2035-01-09,16,0,SCED,0.095912
2035-01-09,17,0,SCED,0.081225
2035-01-09,18,0,SCED,0.082789
2035-01-09,19,0,SCED,0.090264
2035-01-09,20,0,SCED,0.087552
2035-01-09,21,0,SCED,0.077953
2035-01-09,22,0,SCED,0.067087
2035-01-09,23,0,SCED,0.073998
2035-01-10,0,0,SCED,0.072598
2035-01-10,1,0,SCED,0.067159
2035-01-10,2,0,SCED,0.079592
2035-01-10,3,0,SCED,0.077041
2035-01-10,4,0,SCED,0.084754
2035-01-10,5,0,SCED,0.076075
2035-01-10,6,0,SCED,0.073853
2035-01-10,7,0,SCED,0.067156
2035-01-10,8,0,SCED,0.083475
2035-01-10,9,0,SCED,0.076672
2035-01-10,10,0,SCED,0.063827
2035-01-10,11,0,SCED,0.056554
2035-01-10,12,0,SCED,0.051734
2035-01-10,13,0,SCED,0.072648
2035-01-10,14,0,SCED,0.073683
2035-01-10,15,0,SCED,0.07043
2035-01-10,16,0,SCED,0.081472
2035-01-10,17,0,SCED,0.074562
2035-01-10,18,0,SCED,0.057312
2035-01-10,19,0,SCED,0.054407
2035-01-10,20,0,SCED,0.055235
2035-01-10,21,0,SCED,0.053251
2035-01-10,22,0,SCED,0.07241
2035-01-10,23,0,SCED,0.052802
2035-01-11,0,0,SCED,0.078478
2035-01-11,1,0,SCED,0.074721
2035-01-11,2,0,SCED,0.073336
2035-01-11,3,0,SCED,0.073557
2035-01-11,4,0,SCED,0.073791
2035-01-11,5,0,SCED,0.054679
2035-01-11,6,0,SCED,0.050825
2035-01-11,7,0,SCED,0.061514
2035-01-11,8,0,SCED,0.048928
2035-01-11,9,0,SCED,0.050767
2035-01-11,10,0,SCED,0.050817
2035-01-11,11,0,SCED,0.04907
2035-01-11,12,0,SCED,0.050658
2035-01-11,13,0,SCED,0.069943
2035-01-11,14,0,SCED,0.072696
2035-01-11,15,0,SCED,0.074788
2035-01-11,16,0,SCED,0.057687
2035-01-11,17,0,SCED,0.057723
2035-01-11,18,0,SCED,0.077731
2035-01-11,19,0,SCED,0.077891
2035-01-11,20,0,SCED,0.079796
2035-01-11,21,0,SCED,0.079097
2035-01-11,22,0,SCED,0.083811
2035-01-11,23,0,SCED,0.082552
2035-01-12,0,0,SCED,0.087347
2035-01-12,1,0,SCED,0.09095
2035-01-12,2,0,SCED,0.091034
2035-01-12,3,0,SCED,0.091966
2035-01-12,4,0,SCED,0.090594
2035-01-12,5,0,SCED,0.057134
2035-01-12,6,0,SCED,0.055563
2035-01-12,7,0,SCED,0.077758
2035-01-12,8,0,SCED,0.073183
2035-01-12,9,0,SCED,0.061781
2035-01-12,10,0,SCED,0.06386
2035-01-12,11,0,SCED,0.061947
2035-01-12,12,0,SCED,0.065576
2035-01-12,13,0,SCED,0.066886
2035-01-12,14,0,SCED,0.069422
2035-01-12,15,0,SCED,0.056343
2035-01-12,16,0,SCED,0.071197
2035-01-12,17,0,SCED,0.072135
2035-01-12,18,0,SCED,0.076311
2035-01-12,19,0,SCED,0.078206
2035-01-12,20,0,SCED,0.077552
2035-01-12,21,0,SCED,0.078043
2035-01-12,22,0,SCED,0.082687
2035-01-12,23,0,SCED,0.081268
2035-01-13,0,0,SCED,0.079084
2035-01-13,1,0,SCED,0.077677
2035-01-13,2,0,SCED,0.086834
2035-01-13,3,0,SCED,0.088875
2035-01-13,4,0,SCED,0.076749
2035-01-13,5,0,SCED,0.10618
2035-01-13,6,0,SCED,0.114093
2035-01-13,7,0,SCED,0.091501
2035-01-13,8,0,SCED,0.081733
2035-01-13,9,0,SCED,0.07587
2035-01-13,10,0,SCED,0.080928
2035-01-13,11,0,SCED,0.064907
2035-01-13,12,0,SCED,0.06192
2035-01-13,13,0,SCED,0.066
2035-01-13,14,0,SCED,0.077457
2035-01-13,15,0,SCED,0.090002
2035-01-13,16,0,SCED,0.105379
2035-01-13,17,0,SCED,0.106022
2035-01-13,18,0,SCED,0.089014
2035-01-13,19,0,SCED,0.083522
2035-01-13,20,0,SCED,0.070734
2035-01-13,21,0,SCED,0.075349
2035-01-13,22,0,SCED,0.074217
2035-01-13,23,0,SCED,0.067411
2035-01-14,0,0,SCED,0.070996
2035-01-14,1,0,SCED,0.079996
2035-01-14,2,0,SCED,0.068925
2035-01-14,3,0,SCED,0.078492
2035-01-14,4,0,SCED,0.072579
2035-01-14,5,0,SCED,0.085737
2035-01-14,6,0,SCED,0.087651
2035-01-14,7,0,SCED,0.07584
2035-01-14,8,0,SCED,0.086788
2035-01-14,9,0,SCED,0.078475
2035-01-14,10,0,SCED,0.077163
2035-01-14,11,0,SCED,0.074199
2035-01-14,12,0,SCED,0.083385
2035-01-14,13,0,SCED,0.067275
2035-01-14,14,0,SCED,0.08987
2035-01-14,15,0,SCED,0.075345
2035-01-14,16,0,SCED,0.076715
2035-01-14,17,0,SCED,0.084632
2035-01-14,18,0,SCED,0.077239
2035-01-14,19,0,SCED,0.064376
2035-01-14,20,0,SCED,0.070782
2035-01-14,21,0,SCED,0.07494
2035-01-14,22,0,SCED,0.074859
2035-01-14,23,0,SCED,0.07706
2035-01-15,0,0,SCED,0.070448
2035-01-15,1,0,SCED,0.077018
2035-01-15,2,0,SCED,0.075898
2035-01-15,3,0,SCED,0.072143
2035-01-15,4,0,SCED,0.074539
2035-01-15,5,0,SCED,0.071714
2035-01-15,6,0,SCED,0.078352
2035-01-15,7,0,SCED,0.080352
2035-01-15,8,0,SCED,0.079417
2035-01-15,9,0,SCED,0.07057
2035-01-15,10,0,SCED,0.075399
2035-01-15,11,0,SCED,0.05559
2035-01-15,12,0,SCED,0.060188
2035-01-15,13,0,SCED,0.058002
2035-01-15,14,0,SCED,0.068731
2035-01-15,15,0,SCED,0.062322
2035-01-15,16,0,SCED,0.085531
2035-01-15,17,0,SCED,0.078898
2035-01-15,18,0,SCED,0.083175
2035-01-15,19,0,SCED,0.090051
2035-01-15,20,0,SCED,0.068137
2035-01-15,21,0,SCED,0.059136
2035-01-15,22,0,SCED,0.056569
2035-01-15,23,0,SCED,0.054109
2035-01-16,0,0,SCED,0.055669
2035-01-16,1,0,SCED,0.076505
2035-01-16,2,0,SCED,0.072479
2035-01-16,3,0,SCED,0.086682
2035-01-16,4,0,SCED,0.088914
2035-01-16,5,0,SCED,0.086346
2035-01-16,6,0,SCED,0.093803
2035-01-16,7,0,SCED,0.087095
2035-01-16,8,0,SCED,0.093306
2035-01-16,9,0,SCED,0.082058
2035-01-16,10,0,SCED,0.054696
2035-01-16,11,0,SCED,0.052977
2035-01-16,12,0,SCED,0.053375
2035-01-16,13,0,SCED,0.076447
2035-01-16,14,0,SCED,0.073242
2035-01-16,15,0,SCED,0.075633
2035-01-16,16,0,SCED,0.078644
2035-01-16,17,0,SCED,0.084292
2035-01-16,18,0,SCED,0.057653
2035-01-16,19,0,SCED,0.086155
2035-01-16,20,0,SCED,0.087876
2035-01-16,21,0,SCED,0.058913
2035-01-16,22,0,SCED,0.057281
2035-01-16,23,0,SCED,0.052289
2035-01-17,0,0,SCED,0.054353
2035-01-17,1,0,SCED,0.07942
2035-01-17,2,0,SCED,0.068287
2035-01-17,3,0,SCED,0.072942
2035-01-17,4,0,SCED,0.080675
2035-01-17,5,0,SCED,0.076425
2035-01-17,6,0,SCED,0.086199
2035-01-17,7,0,SCED,0.084292
2035-01-17,8,0,SCED,0.083888
2035-01-17,9,0,SCED,0.054706
2035-01-17,10,0,SCED,0.050564
2035-01-17,11,0,SCED,0.049234
2035-01-17,12,0,SCED,0.074458
2035-01-17,13,0,SCED,0.050528
2035-01-17,14,0,SCED,0.074697
2035-01-17,15,0,SCED,0.072794
2035-01-17,16,0,SCED,0.100937
2035-01-17,17,0,SCED,0.107764
2035-01-17,18,0,SCED,0.084856
2035-01-17,19,0,SCED,0.102868
2035-01-17,20,0,SCED,0.068839
2035-01-17,21,0,SCED,0.068515
2035-01-17,22,0,SCED,0.056224
2035-01-17,23,0,SCED,0.065452
2035-01-18,0,0,SCED,0.057082
2035-01-18,1,0,SCED,0.056087
2035-01-18,2,0,SCED,0.066426
2035-01-18,3,0,SCED,0.043604
2035-01-18,4,0,SCED,0.044491
2035-01-18,5,0,SCED,0.044442
2035-01-18,6,0,SCED,0.043686
2035-01-18,7,0,SCED,0.043468
2035-01-18,8,0,SCED,0.043572
2035-01-18,9,0,SCED,0.043285
2035-01-18,10,0,SCED,0.043713
2035-01-18,11,0,SCED,0.043173
2035-01-18,12,0,SCED,0.043242
2035-01-18,13,0,SCED,0.052981
2035-01-18,14,0,SCED,0.042904
2035-01-18,15,0,SCED,0.055959
2035-01-18,16,0,SCED,0.056782
2035-01-18,17,0,SCED,0.05764
2035-01-18,18,0,SCED,0.057782
2035-01-18,19,0,SCED,0.058013
2035-01-18,20,0,SCED,0.062739
2035-01-18,21,0,SCED,0.064089
2035-01-18,22,0,SCED,0.04856
2035-01-18,23,0,SCED,0.068157
2035-01-19,0,0,SCED,0.048226
