Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.30299,220699.74,220699.74,49.859584,10.896507,4042978.975719,3185134.998707,0.0,0.0,0.0,0.0,146,4004.85,27818.339559,4692293.823191,0.0,9183797.741419,0.0,13876091.564611,0.0,0.0,13876091.564611,20.918448
2035-01-02,726983.002141,111623.36,111623.36,18.139532,15.290371,5595598.260596,5520241.428895,0.0,0.0,0.0,0.0,31,3414.12,13748.291734,2539505.202363,0.0,13549226.471324,0.0,16088731.673687,0.0,0.0,16088731.673687,22.130822
2035-01-03,682109.488632,117881.64,117881.64,20.89256,14.587817,5062753.912809,4887734.573887,0.0,0.0,0.0,0.0,62,4448.61,20136.501497,2594088.922078,0.0,12329155.987343,0.0,14923244.909422,0.0,0.0,14923244.909422,21.878078
2035-01-04,656650.15701,108249.91,108249.91,19.739216,14.547749,4864018.910535,4688762.936125,0.0,0.0,0.0,0.0,46,3594.18,18286.739524,2451976.411325,0.0,11932708.770197,0.0,14384685.181522,0.0,0.0,14384685.181522,21.906163
2035-01-05,637031.206365,109343.72,109343.72,20.721302,14.272034,4736334.058933,4355396.765328,0.0,0.0,0.0,0.0,54,4034.79,15521.709495,2442891.171912,0.0,11341437.574368,0.0,13784328.74628,0.0,0.0,13784328.74628,21.638389
2035-01-06,592596.149866,226860.36,226860.36,62.028482,9.475333,3314033.138739,2301012.816143,0.0,0.0,0.0,0.0,46,4615.89,20927.408397,3745699.080666,0.0,7046853.059014,0.0,10792552.13968,0.0,0.0,10792552.13968,18.212322
2035-01-07,569691.449412,205265.67,205265.67,56.325782,9.846942,3254292.713346,2355425.766465,0.0,0.0,0.0,0.0,52,9426.09,21229.312398,3411575.353552,0.0,7160465.860819,0.0,10572041.214372,0.0,0.0,10572041.214372,18.557486
2035-01-08,582052.849976,126291.7,126291.7,27.710063,12.856047,4169539.645046,3313359.116801,0.0,0.0,0.0,0.0,57,5453.34,19593.151832,2674347.861677,0.0,9355353.154131,0.0,12029701.015808,0.0,0.0,12029701.015808,20.667713
2035-01-09,603907.619855,174153.26,174153.26,40.523908,11.510139,3957830.168857,2993230.383668,0.0,0.0,0.0,0.0,43,6127.95,17618.157757,3603621.259276,0.0,8757843.540414,0.0,12361464.79969,0.0,0.0,12361464.79969,20.469132
2035-01-10,638003.835054,139774.08,139774.08,28.054141,13.237914,4499771.943958,3946067.93688,0.0,0.0,0.0,0.0,46,2373.72,15600.753566,2990711.747032,0.0,10610624.068966,0.0,13601335.815998,0.0,0.0,13601335.815998,21.31858
2035-01-11,620297.209111,215050.84,215050.84,53.066691,10.294028,3737756.160416,2647600.452315,0.0,0.0,0.0,0.0,47,5976.15,21788.02329,4439557.59257,0.0,8111709.188735,0.0,12551266.781305,0.0,0.0,12551266.781305,20.234279
2035-01-12,602320.734327,178572.21,178572.21,42.141081,11.305869,3904432.552005,2905326.492164,0.0,0.0,0.0,0.0,46,8842.26,22651.467961,3716197.386388,0.0,8594065.107978,0.0,12310262.494366,0.0,0.0,12310262.494366,20.438052
2035-01-13,659410.430059,110179.14,110179.14,20.060609,14.533993,4891687.717789,4692178.560602,0.0,0.0,0.0,0.0,42,3246.27,16867.791604,2503896.38645,0.0,12032079.575793,0.0,14535975.962244,0.0,0.0,14535975.962244,22.043898
2035-01-14,688782.440976,74929.92,74929.92,12.206502,16.071997,5463324.972913,5606784.059626,0.0,0.0,0.0,0.0,51,3771.33,17503.732754,1718915.192008,0.0,13657442.884225,0.0,15376358.076233,0.0,0.0,15376358.076233,22.323969
2035-01-15,673421.620958,99262.79,99262.79,17.288385,15.062508,5145404.232052,4998014.215998,0.0,0.0,0.0,0.0,58,3485.94,20339.949951,2249591.558531,0.0,12590744.368975,0.0,14840335.927506,0.0,0.0,14840335.927506,22.037213
2035-01-16,621948.924802,166690.25,166690.25,36.614404,11.996816,4146870.474307,3314536.514334,0.0,0.0,0.0,0.0,53,5511.3,18363.665047,3585674.171445,0.0,9401516.938341,0.0,12987191.109786,0.0,0.0,12987191.109786,20.881443
2035-01-17,534083.481211,116036.38,116036.38,27.756772,12.440728,3814774.86317,2829612.399806,0.0,0.0,0.0,0.0,37,3997.38,14369.371739,2439440.73768,0.0,8400983.64726,0.0,10840424.384939,0.0,0.0,10840424.384939,20.297247
