Date,Hour,Minute,Type,Solve Time
2035-01-01,0,0,SCED,0.033505
2035-01-01,1,0,SCED,0.03619
2035-01-01,2,0,SCED,0.032371
2035-01-01,3,0,SCED,0.032493
2035-01-01,4,0,SCED,0.031927
2035-01-01,5,0,SCED,0.04196
2035-01-01,6,0,SCED,0.040556
2035-01-01,7,0,SCED,0.046422
2035-01-01,8,0,SCED,0.048453
2035-01-01,9,0,SCED,0.032271
2035-01-01,10,0,SCED,0.032335
2035-01-01,11,0,SCED,0.037406
2035-01-01,12,0,SCED,0.039552
2035-01-01,13,0,SCED,0.0321
2035-01-01,14,0,SCED,0.042862
2035-01-01,15,0,SCED,0.044141
2035-01-01,16,0,SCED,0.056601
2035-01-01,17,0,SCED,0.054399
2035-01-01,18,0,SCED,0.057854
2035-01-01,19,0,SCED,0.049208
2035-01-01,20,0,SCED,0.0499
2035-01-01,21,0,SCED,0.050593
2035-01-01,22,0,SCED,0.04798
2035-01-01,23,0,SCED,0.051603
2035-01-02,0,0,SCED,0.054372
2035-01-02,1,0,SCED,0.047982
2035-01-02,2,0,SCED,0.053462
2035-01-02,3,0,SCED,0.054027
2035-01-02,4,0,SCED,0.055035
2035-01-02,5,0,SCED,0.059959
2035-01-02,6,0,SCED,0.048157
2035-01-02,7,0,SCED,0.051969
2035-01-02,8,0,SCED,0.054397
2035-01-02,9,0,SCED,0.058014
2035-01-02,10,0,SCED,0.055779
2035-01-02,11,0,SCED,0.052329
2035-01-02,12,0,SCED,0.051452
2035-01-02,13,0,SCED,0.054143
2035-01-02,14,0,SCED,0.050259
2035-01-02,15,0,SCED,0.042364
2035-01-02,16,0,SCED,0.055491
2035-01-02,17,0,SCED,0.053392
2035-01-02,18,0,SCED,0.05423
2035-01-02,19,0,SCED,0.055756
2035-01-02,20,0,SCED,0.054048
2035-01-02,21,0,SCED,0.056273
2035-01-02,22,0,SCED,0.052165
2035-01-02,23,0,SCED,0.051513
2035-01-03,0,0,SCED,0.042501
2035-01-03,1,0,SCED,0.040887
2035-01-03,2,0,SCED,0.04918
2035-01-03,3,0,SCED,0.053921
2035-01-03,4,0,SCED,0.04446
2035-01-03,5,0,SCED,0.050958
2035-01-03,6,0,SCED,0.050789
2035-01-03,7,0,SCED,0.047989
2035-01-03,8,0,SCED,0.041352
2035-01-03,9,0,SCED,0.038652
2035-01-03,10,0,SCED,0.051078
2035-01-03,11,0,SCED,0.041588
2035-01-03,12,0,SCED,0.034968
2035-01-03,13,0,SCED,0.034105
2035-01-03,14,0,SCED,0.042747
2035-01-03,15,0,SCED,0.044895
2035-01-03,16,0,SCED,0.044877
2035-01-03,17,0,SCED,0.046869
2035-01-03,18,0,SCED,0.043509
2035-01-03,19,0,SCED,0.049466
2035-01-03,20,0,SCED,0.061379
2035-01-03,21,0,SCED,0.057046
2035-01-03,22,0,SCED,0.048775
2035-01-03,23,0,SCED,0.037177
2035-01-04,0,0,SCED,0.043021
2035-01-04,1,0,SCED,0.047793
2035-01-04,2,0,SCED,0.049661
