Datetime,Abilene 2 345_LMP,Abilene 2 345_LMP DA,Abilene 5 345_LMP,Abilene 5 345_LMP DA,Adrian 1 345_LMP,Adrian 1 345_LMP DA,Agua Dulce 345_LMP,Agua Dulce 345_LMP DA,Allen 1 345_LMP,Allen 1 345_LMP DA,Alpine 2 345_LMP,Alpine 2 345_LMP DA,Alto 345_LMP,Alto 345_LMP DA,Art 345_LMP,Art 345_LMP DA,Austin 17 345_LMP,Austin 17 345_LMP DA,Austin 22 345_LMP,Austin 22 345_LMP DA,Austin 27 345_LMP,Austin 27 345_LMP DA,Bastrop 2 345_LMP,Bastrop 2 345_LMP DA,Bayside 1 345_LMP,Bayside 1 345_LMP DA,Bayside 3 345_LMP,Bayside 3 345_LMP DA,Blue Ridge 345_LMP,Blue Ridge 345_LMP DA,Blum 345_LMP,Blum 345_LMP DA,Brenham 345_LMP,Brenham 345_LMP DA,Brownsville 1 345_LMP,Brownsville 1 345_LMP DA,Brownsville 2 345_LMP,Brownsville 2 345_LMP DA,Bryan 1 345_LMP,Bryan 1 345_LMP DA,Bryan 5 345_LMP,Bryan 5 345_LMP DA
2035-01-01 00:00:00,-295.885142,-295.885142,-309.744382,-309.744382,-579.855732,-579.855732,14.178976,14.178976,7.925164,7.925164,65.167734,65.167734,-13.402944,-13.402944,39.004598,39.004598,26.252885,26.252885,26.252885,26.252885,18.457972,18.457972,9.222203,9.222203,13.496948,13.496948,14.178976,14.178976,9.932603,9.932603,-10.376896,-10.376896,1.86916,1.86916,15.835451,15.835451,15.816234,15.816234,-1.045426,-1.045426,-1.045426,-1.045426
2035-01-01 01:00:00,-279.060603,-284.981147,-291.430694,-298.778494,-567.865629,-573.052975,10.946095,20.324285,17.357706,22.404848,13.455933,66.652068,0.071096,-4.736321,11.34983,42.880552,7.981348,31.294496,7.981348,31.294496,6.716497,24.21213,5.217844,15.820619,10.654356,19.704603,10.946095,20.324285,19.44578,24.44578,51.588364,3.090476,4.179543,9.139732,11.654656,21.829339,11.646436,21.811879,3.313211,6.491573,3.313211,6.491573
2035-01-01 02:00:00,-296.420611,-296.420611,-310.457799,-310.457799,-580.377258,-580.377258,19.92449,19.92449,7.928329,7.928329,74.589844,74.589844,-9.646251,-9.646251,46.540189,46.540189,32.869001,32.869001,32.869001,32.869001,24.512028,24.512028,14.610304,14.610304,19.193284,19.193284,19.92449,19.92449,9.932603,9.932603,-9.862971,-9.862971,6.727063,6.727063,21.700408,21.700408,21.679805,21.679805,3.602318,3.602318,3.602318,3.602318
2035-01-01 03:00:00,-287.693577,-287.693577,-301.304103,-301.304103,-574.528471,-574.528471,14.419402,14.419402,17.410098,17.410098,57.920613,57.920613,-9.112194,-9.112194,35.599456,35.599456,24.720294,24.720294,24.720294,24.720294,18.07004,18.07004,10.190517,10.190517,13.837528,13.837528,14.419402,14.419402,19.44578,19.44578,2.353047,2.353047,3.917247,3.917247,15.832629,15.832629,15.816234,15.816234,1.430659,1.430659,1.430659,1.430659
2035-01-01 04:00:00,-279.015053,-279.015053,-291.363389,-291.363389,-567.814174,-567.814174,8.819467,8.819467,17.357442,17.357442,21.649731,21.649731,-0.612148,-0.612148,13.449344,13.449344,9.773293,9.773293,9.773293,9.773293,7.851072,7.851072,5.573537,5.573537,8.57686,8.57686,8.819467,8.819467,19.44578,19.44578,51.310921,51.310921,3.823917,3.823917,9.4087,9.4087,9.401864,9.401864,2.943516,2.943516,2.943516,2.943516
2035-01-01 05:00:00,-276.251472,-276.251472,-288.219292,-288.219292,-565.69903,-565.69903,7.435755,7.435755,17.340657,17.340657,13.455933,13.455933,2.96316,2.96316,9.577586,9.577586,7.843881,7.843881,7.843881,7.843881,6.942684,6.942684,5.874905,5.874905,7.320577,7.320577,7.435755,7.435755,19.44578,19.44578,67.657398,67.657398,5.055857,5.055857,7.715494,7.715494,7.712249,7.712249,4.639977,4.639977,4.639977,4.639977
2035-01-01 06:00:00,-284.708731,-284.708731,-297.672858,-297.672858,-571.99167,-571.99167,13.562911,13.562911,17.389938,17.389938,32.235161,32.235161,-5.63331,-5.63331,16.750377,16.750377,10.374323,10.374323,10.374323,10.374323,7.662952,7.662952,4.450396,4.450396,13.053962,13.053962,13.562911,13.562911,19.44578,19.44578,-6.581808,-6.581808,2.125064,2.125064,14.799023,14.799023,14.784683,14.784683,0.521001,0.521001,0.521001,0.521001
2035-01-01 07:00:00,-278.470557,-288.829511,-290.624782,-302.683235,-567.269747,-575.490894,7.943037,30.204768,20.340622,17.435526,16.168326,41.885618,0.507149,-6.286395,10.00934,16.30773,7.392025,7.726139,7.392025,7.726139,6.181585,6.415297,4.747402,4.862151,7.747913,29.18873,7.943037,30.204768,22.429737,19.464337,-7.940066,-1.430541,3.681866,4.396348,8.416947,32.672471,8.411449,32.643843,3.035465,1.948178,3.035465,1.948178
2035-01-01 08:00:00,-281.562822,-281.562822,-294.354098,-294.354098,-569.862893,-569.862893,16.970744,16.970744,20.360903,20.360903,25.739933,25.739933,-1.359515,-1.359515,12.421556,12.421556,7.679636,7.679636,7.679636,7.679636,6.552878,6.552878,5.217844,5.217844,16.466283,16.466283,16.970744,16.970744,22.429737,22.429737,-5.018146,-5.018146,4.502018,4.502018,18.195955,18.195955,18.181741,18.181741,3.199013,3.199013,3.199013,3.199013
2035-01-01 09:00:00,-276.398608,-277.365075,-288.363967,-289.502748,-565.787292,-566.569048,5.947738,6.714716,21.984454,21.865847,13.455933,17.924463,1.886247,0.650902,9.60336,12.172565,7.725645,9.369134,7.725645,9.369134,6.577829,7.655442,5.217844,5.624982,5.847309,6.564774,5.947738,6.714716,24.082902,23.958224,-8.265456,-7.407962,4.135094,4.008435,6.191658,7.078888,6.188828,7.074663,3.705916,3.367671,3.705916,3.367671
2035-01-01 10:00:00,-13.110892,-13.110892,-14.178083,-14.178083,-46.808223,-46.808223,3.330403,3.330403,21.151365,21.151365,-2.511668,-2.511668,6.49062,6.49062,0.485991,0.485991,1.947027,1.947027,1.947027,1.947027,2.840135,2.840135,3.898329,3.898329,3.408547,3.408547,3.330403,3.330403,21.399492,21.399492,17.331435,17.331435,4.740809,4.740809,3.140612,3.140612,3.142813,3.142813,5.074749,5.074749,5.074749,5.074749
2035-01-01 11:00:00,-272.175731,-268.375511,-283.51884,-278.970527,-562.511524,-559.361999,2.977438,11.456183,20.154266,20.115093,-3.477996,-13.243602,3.582303,3.771758,-0.380034,-2.132766,1.024667,2.515565,1.024667,2.515565,1.781726,4.616323,2.678724,7.105397,3.07219,11.847828,2.977438,11.456183,22.429737,22.429737,-10.257651,-13.251479,3.670857,11.113452,2.747309,10.504974,2.749978,10.516009,3.247697,6.750942,3.247697,6.750942
2035-01-01 12:00:00,-271.573941,-272.138073,-282.862498,-283.548522,-562.081275,-562.560431,9.110678,8.072778,20.147403,20.153106,-1000.0,-1000.0,9.038906,9.933689,6.699707,7.427461,7.392025,7.624863,7.392025,7.624863,8.198702,8.261011,9.154491,9.014749,9.234988,8.145452,9.110678,8.072778,22.429737,22.429737,-10.8306,-10.402943,10.236676,9.57769,8.808758,7.896271,8.812261,7.898318,9.722206,9.90992,9.722206,9.90992
2035-01-01 13:00:00,31.339562,36.74769,32.063002,37.474418,31.607259,37.014302,5.246255,10.503387,22.129393,27.111336,-1000.0,-1000.0,13.401814,18.697201,-0.275678,4.956548,2.401608,7.645794,2.401608,7.645794,4.53863,9.792748,7.070671,12.336557,5.452414,10.710516,5.246255,10.503387,22.429737,27.429737,26.028731,31.367644,9.073083,14.348267,4.745546,10.000323,4.751355,10.006159,9.906349,15.185426,9.906349,15.185426
2035-01-01 14:00:00,-225.828492,-225.828492,-228.921668,-228.921668,-525.036573,-525.036573,27.995618,27.995618,24.698363,24.698363,-1000.0,-1000.0,24.553048,24.553048,-74.902619,-74.902619,-34.408375,-34.408375,-34.408375,-34.408375,-13.119103,-13.119103,12.105397,12.105397,30.964242,30.964242,27.995618,27.995618,27.429737,27.429737,-39.172497,-39.172497,42.802033,42.802033,20.785567,20.785567,20.869211,20.869211,23.797044,23.797044,23.797044,23.797044
2035-01-01 15:00:00,-267.768141,-267.768141,-279.139642,-279.139642,-559.81897,-559.81897,13.389462,13.389462,25.129849,25.129849,-1000.0,-1000.0,17.351814,17.351814,11.670897,11.670897,12.392025,12.392025,12.392025,12.392025,13.341312,13.341312,14.466071,14.466071,13.492006,13.492006,13.389462,13.389462,27.429737,27.429737,-7.077099,-7.077099,15.347862,15.347862,13.140407,13.140407,13.143296,13.143296,15.737573,15.737573,15.737573,15.737573
