Datetime,Abilene 2 345_LMP,Abilene 5 345_LMP,Adrian 1 345_LMP,Agua Dulce 345_LMP,Allen 1 345_LMP,Alpine 2 345_LMP,Alto 345_LMP,Art 345_LMP,Austin 17 345_LMP,Austin 22 345_LMP,Austin 27 345_LMP,Bastrop 2 345_LMP,Bayside 1 345_LMP,Bayside 3 345_LMP,Blue Ridge 345_LMP,Blum 345_LMP,Brenham 345_LMP,Brownsville 1 345_LMP,Brownsville 2 345_LMP,Bryan 1 345_LMP,Bryan 5 345_LMP,Burnet 345_LMP,Calliham 345_LMP,Camp Wood 345_LMP,Campbellton 345_LMP,Canyon Lake 1 345_LMP,Carlsbad 345_LMP,Castell 345_LMP,Cedar Creek 2 345_LMP,Centerville 345_LMP,Conroe 4 345_LMP,Conroe 7 345_LMP,Coppell 345_LMP,Corpus Christi 11 345_LMP,Crane 2 345_LMP,Dale 345_LMP,Dallas 10 345_LMP,Dallas 3 345_LMP,Dallas 8 345_LMP,Del Valle 345_LMP,Dilley 1 345_LMP,East Bernard 1 345_LMP,Eastland 345_LMP,Eden 345_LMP,Edinburg 1 345_LMP,Electra 345_LMP,Feeeport 345_LMP,Fischer 345_LMP,Fort Worth 10 345_LMP,Fort Worth 12 345_LMP,Fort Worth 15 345_LMP,Fort Worth 16 345_LMP,Frost 345_LMP,Glen Rose 2 345_LMP,Gordon 345_LMP,Houston 11 345_LMP,Houston 12 345_LMP,Houston 20 345_LMP,Houston 45 345_LMP,Houston 46 345_LMP,Houston 48 345_LMP,Katy 2 345_LMP,Kennedale 2 345_LMP,Knox City 345_LMP,Laredo 5 345_LMP,Lopeno 345_LMP,Los Fresnos 1 345_LMP,Loving 345_LMP,Lytle 345_LMP,Mccamey 345_LMP,Melvin 345_LMP,Merkel 2 345_LMP,Mexia 345_LMP,Meyersville 345_LMP,Mission 3 345_LMP,Monahans 2 345_LMP,Montgomery 2 345_LMP,Mount Enterprise 345_LMP,New Braunfels 2 345_LMP,New Caney 345_LMP,North Richland Hills 1 345_LMP,O'Donnell 345_LMP,Odessa 8 345_LMP,Odonnell 345_LMP,Panhandle 3 345_LMP,Pasadena 4 345_LMP,Plano 2 345_LMP,Prosper 345_LMP,Raymondville 345_LMP,Reagan 345_LMP,Richards 2 345_LMP,Rockdale 2 345_LMP,Roscoe 2 345_LMP,Rosharon 345_LMP,Rowlett 1 345_LMP,Rule 2 345_LMP,San Angelo 3 345_LMP,San Antonio 14 345_LMP,San Antonio 2 345_LMP,San Antonio 25 345_LMP,San Antonio 29 345_LMP,San Antonio 33 345_LMP,San Perlita 345_LMP,Sarita 1 345_LMP,Snyder 2 345_LMP,Spring 3 345_LMP,Sullivan City 345_LMP,Taft 2 345_LMP,Tarpley 345_LMP,Tell 345_LMP,Tennessee Colony 345_LMP,Texas City 2 345_LMP,Throckmorton 345_LMP,Tomball 1 345_LMP,Trent 2 345_LMP,Tyler 8 345_LMP,Waco 2 345_LMP,Wadsworth 2 345_LMP,Weatherford 2 345_LMP,Weatherford 3 345_LMP,Weatherford 4 345_LMP,Wheeler 345_LMP,Whitesboro 345_LMP
2019-01-01 00:00:00,-281.36497,-294.581405,-570.196327,16.133195,17.133377,49.869191,-2.115994,32.55872,24.121728,24.121728,18.964333,12.853616,15.681941,16.133195,19.44578,8.526253,7.988579,17.229179,17.216465,6.060184,6.060184,27.992866,20.010329,38.868497,20.144968,25.709036,50.085757,31.741589,22.373002,-0.876824,2.309758,3.759306,23.374244,16.984863,49.66197,22.827555,19.634755,22.15553,8.506659,22.827555,23.792059,7.831746,-146.135303,43.140505,17.269076,32.427557,5.651677,25.452673,2.469701,4.622115,6.046044,9.688686,3.865356,8.564967,-6.384198,5.651677,6.240288,5.780098,6.375705,6.124616,5.333151,6.598383,13.759269,-1000.0,23.792059,18.231629,17.216465,94.277001,22.10398,49.869191,40.228573,-314.330556,-13.796525,11.233167,17.596716,49.869191,3.459349,-2.115994,25.797514,4.050697,32.722108,-570.196327,49.66197,-552.466298,-1000.0,5.220208,23.67989,20.202869,17.216465,6.060184,3.379403,10.197521,-392.360127,5.651677,16.291842,-904.033912,46.232382,23.522453,23.817036,27.359998,26.810497,26.33543,17.229179,17.11815,-429.84393,3.528768,17.596716,16.963042,32.804908,-1000.0,-9.789938,5.333151,242.36312,3.824661,-314.330556,-9.789938,-51.46379,6.124616,11.421168,7.143879,32.722108,-1000.0,19.880799
2019-01-01 01:00:00,-273.461181,-285.280942,-563.816522,12.44408,17.050894,16.155361,10.436496,14.251045,13.322895,13.322895,12.755532,12.083295,12.394438,12.44408,19.44578,3.005566,11.548095,12.564649,12.56325,11.335953,11.335953,13.748757,12.870602,14.94518,12.885414,13.497514,16.179186,14.161152,13.130519,10.572816,10.923371,11.082835,24.401753,12.537772,16.132565,13.180524,20.968158,25.044285,7.052132,13.180524,13.286628,11.530842,-139.931107,15.415142,12.569038,32.427557,11.291013,13.469312,4.037636,5.513177,6.341018,9.688686,43.904739,6.267654,-2.75865,11.291013,11.355766,11.305141,11.370664,11.343041,11.255973,11.39516,13.759269,-1000.0,13.286628,12.674928,12.56325,97.478066,13.100924,16.155361,15.094801,-302.943061,9.151526,11.905031,12.605082,16.155361,11.049837,10.436496,13.507247,11.11489,35.181756,-563.816522,16.132565,-545.823316,-1000.0,11.243548,24.697251,20.246076,12.56325,11.335953,11.041042,11.7911,-383.340604,11.291013,16.06379,-902.609436,15.755278,13.256969,13.289376,13.679136,13.618685,13.566423,12.564649,12.552435,-421.380799,11.057473,12.605082,12.535371,14.278128,-1000.0,9.592289,11.255973,247.863393,11.090024,-302.943061,9.592289,-33.281502,11.343041,13.667623,9.066117,35.181756,-1000.0,19.905625
2019-01-01 02:00:00,-273.120921,-284.742272,-563.393664,13.762991,17.103998,13.455933,13.929091,13.613489,13.690281,13.690281,13.737222,13.792841,13.767098,13.762991,19.44578,2.455446,13.837121,13.753015,13.753131,13.854673,13.854673,13.655046,13.727702,13.556059,13.726476,13.675833,13.453961,13.620926,13.706197,13.917813,13.888809,13.875615,22.792571,13.755239,13.457819,13.70206,22.37367,26.893574,5.541687,13.70206,13.693281,13.838549,-139.949803,13.517176,13.752652,32.427557,13.858391,13.678167,3.038236,4.466372,5.300993,8.349699,51.725204,5.635107,-3.44257,13.858391,13.853034,13.857223,13.851801,13.854087,13.861291,13.849775,13.759269,-1000.0,13.693281,13.743891,13.753131,96.639821,13.708646,13.455933,13.543679,-302.107908,14.035405,13.80759,13.74967,13.455933,13.878346,13.929091,13.675028,13.872963,34.178599,-563.393664,13.457819,-545.383015,-1000.0,13.862319,23.046206,20.255504,13.753131,13.854673,13.879073,13.817016,-382.742784,13.858391,15.944964,-902.515021,13.489034,13.695735,13.693054,13.660807,13.665808,13.670132,13.753015,13.754026,-420.819856,13.877714,13.74967,13.755438,13.611248,-1000.0,13.998938,13.861291,247.183844,13.875021,-302.107908,13.998938,-29.793031,13.854087,12.723337,8.095495,34.178599,-1000.0,19.911043
2019-01-01 03:00:00,-275.698631,-287.811467,-565.512909,13.42579,17.11053,23.620081,7.911279,18.38923,15.839753,15.839753,14.281299,12.434772,13.289431,13.42579,19.44578,4.387698,10.964663,13.756973,13.753131,10.381944,10.381944,17.009527,14.597377,20.295908,14.638062,16.319403,23.685522,18.14231,15.311325,8.28573,9.248646,9.686668,23.053412,13.683146,23.557463,15.448681,21.446289,25.317277,6.545119,15.448681,15.740134,10.917272,-141.898856,21.586817,13.769029,32.427557,10.258502,16.241935,2.907415,4.565333,5.584712,8.834487,-30.814123,6.585221,-4.334091,10.258502,10.436367,10.297308,10.477287,10.401414,10.16225,10.544576,13.759269,-1000.0,15.740134,14.059892,13.753131,95.942495,15.230033,23.620081,20.706894,-305.911523,4.381675,11.945108,13.868035,23.620081,9.596027,7.911279,16.346139,9.77472,33.770715,-565.512909,23.557463,-547.589682,-1000.0,10.128121,23.325419,20.238562,13.753131,10.381944,9.571869,11.632158,-385.738891,10.258502,16.059457,-902.988204,22.521116,15.658665,15.747681,16.818288,16.652241,16.508686,13.756973,13.723422,-423.631141,9.617004,13.868035,13.676552,18.463623,-1000.0,5.592379,10.16225,245.714629,9.706417,-305.911523,5.592379,-37.253798,10.401414,12.359986,7.843254,33.770715,-1000.0,19.901308
2019-01-01 04:00:00,-276.674623,-288.950912,-566.291053,15.149416,17.116482,19.338156,5.101904,12.137963,9.630574,9.630574,9.112691,8.49908,14.871642,15.149416,19.44578,5.120117,8.20933,15.824061,15.816234,7.510702,7.510702,10.781037,17.536028,15.166529,18.500505,9.349535,19.425602,11.662278,9.454975,5.337444,6.776346,7.476658,23.052191,15.67367,19.254483,9.500619,21.169876,24.811937,6.844922,9.500619,14.143107,9.832718,-142.683606,16.547365,15.84862,32.427557,8.479067,9.394925,2.78924,4.535573,5.628974,8.939307,-27.419606,6.921476,-4.734658,8.479067,8.778977,8.5445,8.847975,8.72004,8.324776,8.998576,13.759269,-1000.0,14.143107,16.44113,15.816234,95.614146,21.232672,19.338156,15.33397,-307.295214,0.174007,12.133151,16.050302,19.338156,7.031795,5.101904,9.625421,7.703568,33.54361,-566.291053,19.254483,-548.399926,-1000.0,8.270068,23.328785,20.232479,15.816234,7.510702,6.889023,8.112644,-386.839001,8.479067,16.097066,-903.161947,17.869659,23.210969,23.621814,10.941996,9.73521,8.691893,15.824061,15.755716,-424.663388,7.32679,16.050302,15.660238,12.94071,-1000.0,1.864345,8.324776,245.097104,7.473482,-307.295214,1.864345,-40.487209,8.72004,12.153372,7.678899,33.54361,-1000.0,19.897813
2019-01-01 05:00:00,-276.885504,-289.199325,-566.461559,15.108355,20.244034,19.463847,4.448659,11.839285,9.19227,9.19227,8.65711,8.023028,14.813476,15.108355,22.429737,9.280736,7.730315,15.824543,15.816234,6.991352,6.991352,10.406798,17.641929,15.049639,18.670646,8.887006,19.556426,11.334459,9.010813,4.695803,6.220435,6.962815,22.07632,15.664891,19.375263,9.05798,26.906766,30.906519,7.052086,9.05798,14.008613,9.463128,-142.848585,16.508636,15.850614,32.427557,8.026057,8.936308,2.873823,4.807471,6.175327,8.939307,-22.651584,9.514332,-4.837339,8.026057,8.344092,8.095444,8.41726,8.281592,7.862495,8.577208,16.826656,-1000.0,14.008613,16.47961,15.816234,95.678159,21.57945,19.463847,15.223708,-307.599711,-0.770247,11.906354,16.064716,19.463847,6.489127,4.448659,9.181098,7.20396,33.347426,-566.461559,19.375263,-548.577466,-1000.0,7.804499,22.265577,23.222029,15.816234,6.991352,6.337048,7.619664,-387.080056,8.026057,18.901662,-903.200017,17.909159,23.685645,24.123052,10.580697,9.294822,8.183129,15.824543,15.751989,-424.889573,6.803675,16.064716,15.650632,12.695046,-1000.0,1.019911,7.862495,245.050145,6.959204,-307.599711,1.019911,-41.20966,8.281592,12.106691,7.69494,33.347426,-1000.0,22.884984
2019-01-01 06:00:00,-276.923171,-289.499885,-566.766586,14.93223,20.230853,24.087375,1.354485,13.791217,9.883508,9.883508,8.619664,7.122203,14.563983,14.93223,22.429737,39.266979,6.15033,15.82661,15.816234,5.118029,5.118029,11.676479,18.096175,17.992089,19.18323,9.784304,24.213269,13.154664,9.454975,1.781305,3.802426,4.772547,22.801196,15.627235,23.966914,9.566365,68.240934,74.815793,5.439667,9.566365,14.841203,7.928752,-142.348594,20.094028,15.859168,32.427557,6.136747,9.800327,5.008642,8.003763,11.118266,9.688686,11.351436,28.377235,-3.561611,6.136747,6.547902,6.226451,6.642493,6.467103,5.923124,6.839205,37.840607,-1000.0,14.841203,16.644662,15.816234,96.879248,22.473646,24.087375,18.359598,-308.293107,-5.669997,10.933548,16.12654,24.087375,4.239331,1.354485,10.101937,5.063033,34.681546,-566.766586,23.966914,-548.895075,-1000.0,5.847378,22.961538,23.24994,15.816234,5.118029,4.070386,6.338612,-387.511291,6.136747,18.715399,-903.268123,21.973232,24.856156,25.350946,11.770242,10.359118,9.139141,15.82661,15.736004,-425.294206,4.575595,16.12654,15.609429,14.713928,-1000.0,-3.2605,5.923124,246.234572,4.777767,-308.293107,-3.2605,-44.572495,6.467103,13.809035,9.603934,34.681546,-1000.0,22.901021
2019-01-01 07:00:00,-269.820055,-282.149212,-562.113003,14.154352,19.730605,17.242829,4.718933,10.618178,8.389125,8.389125,8.039179,7.624547,13.891777,14.154352,22.429737,6.500935,7.492782,14.792081,14.784683,6.858044,6.858044,9.41188,16.410373,13.436076,17.368398,8.057358,17.32308,10.169956,8.270469,4.913882,6.246588,6.898494,35.805909,14.649919,17.16604,8.301312,17.74495,20.296476,16.869855,8.301312,12.902511,9.117713,-134.690444,14.675737,14.815296,32.427557,7.837517,8.110941,12.597683,14.033827,14.589073,19.283966,-24.391902,11.477082,5.076858,7.837517,8.117737,7.898654,8.182205,8.062669,7.693864,8.325276,16.826656,-1000.0,12.902511,15.375385,14.784683,106.17381,20.031264,17.242829,13.559164,-300.572513,0.179543,11.30313,15.005943,17.242829,6.4643,4.718933,8.329783,7.115486,44.21488,-562.113003,17.16604,-544.049525,-1000.0,7.642927,36.305249,23.203713,14.784683,6.858044,6.324424,7.32486,-380.932234,7.837517,19.530952,-902.229076,15.895153,21.959381,22.359805,9.592959,8.406569,7.380885,14.792081,14.727475,-419.120995,6.756409,15.005943,14.637222,11.411217,-1000.0,1.736618,7.693864,257.145551,6.893211,-300.572513,1.736618,-38.208174,8.062669,22.262832,17.644524,44.21488,-1000.0,22.874459
2019-01-01 08:00:00,-264.856896,-277.231972,-559.096007,13.188142,19.456199,17.475722,4.622142,11.221131,8.976984,8.976984,8.419833,7.759695,12.952786,13.188142,22.429737,41.018641,7.393693,13.759762,13.753131,6.779993,6.779993,10.006664,15.210297,13.825317,15.988216,8.794908,17.551857,10.81687,8.78807,4.8452,6.087651,6.689571,43.34832,13.632337,17.402871,8.837175,64.793283,70.188298,19.152626,8.837175,12.590351,8.692557,-128.887082,15.05092,13.780571,32.427557,7.54614,8.824315,20.127128,22.492721,24.693868,25.048653,11.351436,35.184613,12.086328,7.54614,7.803032,7.602188,7.862133,7.752549,7.41355,7.989133,42.77597,-1000.0,12.590351,14.282599,13.753131,113.264527,18.235166,17.475722,13.997026,-295.723889,0.346004,10.632487,13.951455,17.475722,6.324235,4.622142,9.018801,6.879712,51.48448,-559.096007,17.402871,-540.908073,-1000.0,7.366536,43.954755,23.239048,13.753131,6.779993,6.207433,7.376651,-376.666921,7.54614,19.545446,-901.555445,16.197168,19.862128,20.200009,10.118519,9.134711,8.284167,13.759762,13.701854,-415.118799,6.562944,13.951455,13.620956,11.872282,-1000.0,1.81278,7.41355,265.460333,6.688813,-295.723889,1.81278,-36.437296,7.752549,29.608794,25.07816,51.48448,-1000.0,22.894762
2019-01-01 09:00:00,-258.913709,-270.967485,-555.079987,9.339099,19.15777,12.406865,7.136473,10.480203,9.611096,9.611096,9.150659,8.605112,9.282587,9.339099,22.429737,45.376233,8.18465,9.476353,9.474761,7.977242,7.977242,10.009867,9.824645,11.210686,9.903041,9.722064,12.430785,10.379777,9.454975,7.254857,7.617444,7.785576,51.091485,9.445756,12.383977,9.495556,70.462159,76.154735,23.556893,9.495556,9.898941,8.285058,-122.715445,11.658516,9.481349,32.427557,8.011225,9.704142,26.242971,28.417326,30.450975,30.717177,11.892896,40.220416,18.664277,8.011225,8.080582,8.026357,8.096538,8.066952,7.974251,8.125369,47.938796,-1000.0,9.898941,9.601893,9.474761,120.015791,10.254906,12.406865,11.334264,-288.979289,5.831578,8.725453,9.522381,12.406865,7.729849,7.136473,9.7486,7.825387,58.25841,-555.079987,12.383977,-536.726386,-1000.0,7.961141,51.852398,23.248224,9.474761,7.977242,7.713307,8.359628,-370.989227,8.011225,19.769835,-900.658752,12.005173,10.509682,10.562593,9.969037,9.839599,9.727695,9.476353,9.462448,-409.791348,7.75615,9.522381,9.443024,10.556487,-1000.0,6.279175,7.974251,273.69741,7.790731,-288.979289,6.279175,-30.75645,8.066952,36.036452,31.356823,58.25841,-1000.0,22.900035
