Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2035-01-01,0,0,Tennessee Colony 345,26.317859,0.0,0.0,-8.785349,-8.785349
2035-01-01,0,0,Wheeler 345,172.330631,0.0,0.0,-1000.0,-1000.0
2035-01-01,0,0,Alpine 2 345,96.408579,0.0,0.0,54.272416,54.272416
2035-01-01,0,0,Rosharon 345,81.921553,0.0,0.0,8.011456,8.011456
2035-01-01,0,0,Sullivan City 345,27.247793,0.0,0.0,22.274014,22.274014
2035-01-01,0,0,Prosper 345,334.016606,0.0,0.0,20.519717,20.519717
2035-01-01,0,0,Eastland 345,23.471014,0.0,0.0,-150.607237,-150.607237
2035-01-01,0,0,Fischer 345,153.840081,0.0,0.0,27.957455,27.957455
2035-01-01,0,0,Bryan 1 345,56.115463,0.0,0.0,8.213962,8.213962
2035-01-01,0,0,Rowlett 1 345,592.919948,0.0,0.0,16.396861,16.396861
2035-01-01,0,0,Weatherford 3 345,24.993621,0.0,0.0,1.754991,1.754991
2035-01-01,0,0,Odonnell 345,233.717969,0.0,0.0,-555.144418,-555.144418
2035-01-01,0,0,Dallas 10 345,438.901948,0.0,0.0,9.465683,9.465683
2035-01-01,0,0,O'Donnell 345,49.761206,0.0,0.0,-572.768348,-572.768348
2035-01-01,0,0,Canyon Lake 1 345,39.333507,0.0,0.0,28.204971,28.204971
2035-01-01,0,0,Adrian 1 345,15.85013,0.0,0.0,-572.768348,-572.768348
2035-01-01,0,0,Austin 17 345,161.689361,0.0,0.0,26.672442,26.672442
2035-01-01,0,0,Taft 2 345,94.360584,0.0,0.0,23.972455,23.972455
2035-01-01,0,0,Dilley 1 345,63.421588,0.0,0.0,25.585902,25.585902
2035-01-01,0,0,Dallas 8 345,268.725058,0.0,0.0,4.778725,4.778725
2035-01-01,0,0,San Angelo 3 345,213.879253,0.0,0.0,50.330609,50.330609
2035-01-01,0,0,Carlsbad 345,142.09215,0.0,0.0,54.507144,54.507144
2035-01-01,0,0,Dale 345,130.389026,0.0,0.0,25.354468,25.354468
2035-01-01,0,0,Brenham 345,136.525208,0.0,0.0,10.284641,10.284641
2035-01-01,0,0,Raymondville 345,172.872963,0.0,0.0,22.686715,22.686715
2035-01-01,0,0,Mccamey 345,195.336289,0.0,0.0,54.272416,54.272416
2035-01-01,0,0,Fort Worth 16 345,572.554329,0.0,0.0,4.714556,4.714556
2035-01-01,0,0,Art 345,86.623104,0.0,0.0,35.581121,35.581121
2035-01-01,0,0,Austin 22 345,956.837878,0.0,0.0,26.672442,26.672442
2035-01-01,0,0,Abilene 2 345,279.738131,0.0,0.0,-285.393039,-285.393039
2035-01-01,0,0,Campbellton 345,29.309115,0.0,0.0,21.702229,21.702229
2035-01-01,0,0,Corpus Christi 11 345,233.571688,0.0,0.0,23.861749,23.861749
2035-01-01,0,0,New Braunfels 2 345,244.266497,0.0,0.0,28.345982,28.345982
2035-01-01,0,0,Abilene 5 345,337.785337,0.0,0.0,-298.687387,-298.687387
2035-01-01,0,0,Rule 2 345,154.916574,0.0,0.0,-904.60819,-904.60819
2035-01-01,0,0,Cedar Creek 2 345,18.669866,0.0,0.0,24.891556,24.891556
2035-01-01,0,0,Fort Worth 15 345,142.12,0.0,0.0,0.477389,0.477389
2035-01-01,0,0,Lytle 345,41.504468,0.0,0.0,23.918462,23.918462
2035-01-01,0,0,Conroe 4 345,59.088154,0.0,0.0,4.318888,4.318888
2035-01-01,0,0,Gordon 345,52.508872,0.0,0.0,-11.700893,-11.700893
2035-01-01,0,0,Melvin 345,67.001296,0.0,0.0,43.85453,43.85453
2035-01-01,0,0,Blum 345,146.104055,0.0,0.0,-0.0,-0.0
2035-01-01,0,0,Rockdale 2 345,40.853034,0.0,0.0,12.466836,12.466836
