Date,Hour,Minute,Type,Solve Time
2035-01-01,0,0,SCED,0.049545
2035-01-01,1,0,SCED,0.049147
2035-01-01,2,0,SCED,0.052032
2035-01-01,3,0,SCED,0.05226
2035-01-01,4,0,SCED,0.058695
2035-01-01,5,0,SCED,0.069767
2035-01-01,6,0,SCED,0.043823
2035-01-01,7,0,SCED,0.05182
2035-01-01,8,0,SCED,0.051759
2035-01-01,9,0,SCED,0.064673
2035-01-01,10,0,SCED,0.068807
2035-01-01,11,0,SCED,0.056417
2035-01-01,12,0,SCED,0.059723
2035-01-01,13,0,SCED,0.063851
2035-01-01,14,0,SCED,0.069523
2035-01-01,15,0,SCED,0.067098
2035-01-01,16,0,SCED,0.07486
2035-01-01,17,0,SCED,0.093723
2035-01-01,18,0,SCED,0.099868
2035-01-01,19,0,SCED,0.096362
2035-01-01,20,0,SCED,0.070985
2035-01-01,21,0,SCED,0.067729
2035-01-01,22,0,SCED,0.053146
2035-01-01,23,0,SCED,0.055538
2035-01-02,0,0,SCED,0.060797
2035-01-02,1,0,SCED,0.046002
2035-01-02,2,0,SCED,0.050209
2035-01-02,3,0,SCED,0.050011
2035-01-02,4,0,SCED,0.05102
2035-01-02,5,0,SCED,0.051551
2035-01-02,6,0,SCED,0.045798
2035-01-02,7,0,SCED,0.047729
2035-01-02,8,0,SCED,0.055114
2035-01-02,9,0,SCED,0.063473
2035-01-02,10,0,SCED,0.095703
2035-01-02,11,0,SCED,0.100077
2035-01-02,12,0,SCED,0.114772
2035-01-02,13,0,SCED,0.073872
2035-01-02,14,0,SCED,0.101814
2035-01-02,15,0,SCED,0.076254
2035-01-02,16,0,SCED,0.110753
2035-01-02,17,0,SCED,0.120476
2035-01-02,18,0,SCED,0.083806
2035-01-02,19,0,SCED,0.087332
2035-01-02,20,0,SCED,0.085875
2035-01-02,21,0,SCED,0.084731
2035-01-02,22,0,SCED,0.068618
2035-01-02,23,0,SCED,0.068037
2035-01-03,0,0,SCED,0.069821
2035-01-03,1,0,SCED,0.074913
2035-01-03,2,0,SCED,0.069579
2035-01-03,3,0,SCED,0.071032
2035-01-03,4,0,SCED,0.059635
2035-01-03,5,0,SCED,0.073817
2035-01-03,6,0,SCED,0.063533
2035-01-03,7,0,SCED,0.061831
2035-01-03,8,0,SCED,0.056558
2035-01-03,9,0,SCED,0.071928
2035-01-03,10,0,SCED,0.060484
2035-01-03,11,0,SCED,0.069062
2035-01-03,12,0,SCED,0.064089
2035-01-03,13,0,SCED,0.064007
2035-01-03,14,0,SCED,0.065525
2035-01-03,15,0,SCED,0.065189
2035-01-03,16,0,SCED,0.072109
2035-01-03,17,0,SCED,0.067498
2035-01-03,18,0,SCED,0.080373
2035-01-03,19,0,SCED,0.091167
2035-01-03,20,0,SCED,0.101753
2035-01-03,21,0,SCED,0.107569
2035-01-03,22,0,SCED,0.085488
2035-01-03,23,0,SCED,0.068204
2035-01-04,0,0,SCED,0.071115
2035-01-04,1,0,SCED,0.064222
2035-01-04,2,0,SCED,0.069008
2035-01-04,3,0,SCED,0.074692
2035-01-04,4,0,SCED,0.06814
2035-01-04,5,0,SCED,0.067324
2035-01-04,6,0,SCED,0.078635
2035-01-04,7,0,SCED,0.071677
2035-01-04,8,0,SCED,0.078028
2035-01-04,9,0,SCED,0.107139
2035-01-04,10,0,SCED,0.108707
2035-01-04,11,0,SCED,0.088671
2035-01-04,12,0,SCED,0.073864
2035-01-04,13,0,SCED,0.067566
2035-01-04,14,0,SCED,0.067145
2035-01-04,15,0,SCED,0.05157
2035-01-04,16,0,SCED,0.062342
2035-01-04,17,0,SCED,0.056742
2035-01-04,18,0,SCED,0.058734
2035-01-04,19,0,SCED,0.06303
2035-01-04,20,0,SCED,0.065026
2035-01-04,21,0,SCED,0.06034
2035-01-04,22,0,SCED,0.05276
2035-01-04,23,0,SCED,0.059021
2035-01-05,0,0,SCED,0.061431
2035-01-05,1,0,SCED,0.068272
2035-01-05,2,0,SCED,0.070142
2035-01-05,3,0,SCED,0.073299
2035-01-05,4,0,SCED,0.07366
2035-01-05,5,0,SCED,0.067285
2035-01-05,6,0,SCED,0.072582
2035-01-05,7,0,SCED,0.059317
2035-01-05,8,0,SCED,0.057825
2035-01-05,9,0,SCED,0.07073
2035-01-05,10,0,SCED,0.076228
2035-01-05,11,0,SCED,0.081419
2035-01-05,12,0,SCED,0.062398
2035-01-05,13,0,SCED,0.053768
2035-01-05,14,0,SCED,0.059984
2035-01-05,15,0,SCED,0.044098
2035-01-05,16,0,SCED,0.063033
2035-01-05,17,0,SCED,0.057525
2035-01-05,18,0,SCED,0.063767
2035-01-05,19,0,SCED,0.057824
2035-01-05,20,0,SCED,0.050322
2035-01-05,21,0,SCED,0.04379
2035-01-05,22,0,SCED,0.045103
2035-01-05,23,0,SCED,0.046455
2035-01-06,0,0,SCED,0.05265
2035-01-06,1,0,SCED,0.036622
2035-01-06,2,0,SCED,0.048249
2035-01-06,3,0,SCED,0.048415
2035-01-06,4,0,SCED,0.05514
2035-01-06,5,0,SCED,0.044757
2035-01-06,6,0,SCED,0.045979
2035-01-06,7,0,SCED,0.055246
2035-01-06,8,0,SCED,0.056422
2035-01-06,9,0,SCED,0.060192
2035-01-06,10,0,SCED,0.043913
2035-01-06,11,0,SCED,0.048706
2035-01-06,12,0,SCED,0.051771
2035-01-06,13,0,SCED,0.054692
2035-01-06,14,0,SCED,0.048743
2035-01-06,15,0,SCED,0.047053
2035-01-06,16,0,SCED,0.055491
2035-01-06,17,0,SCED,0.0479
2035-01-06,18,0,SCED,0.045396
2035-01-06,19,0,SCED,0.045036
2035-01-06,20,0,SCED,0.042319
2035-01-06,21,0,SCED,0.038912
2035-01-06,22,0,SCED,0.037337
2035-01-06,23,0,SCED,0.029161
2035-01-07,0,0,SCED,0.029352
2035-01-07,1,0,SCED,0.028587
2035-01-07,2,0,SCED,0.028744
2035-01-07,3,0,SCED,0.031321
2035-01-07,4,0,SCED,0.033584
2035-01-07,5,0,SCED,0.038779
2035-01-07,6,0,SCED,0.033111
2035-01-07,7,0,SCED,0.045644
2035-01-07,8,0,SCED,0.037904
2035-01-07,9,0,SCED,0.051203
2035-01-07,10,0,SCED,0.065251
2035-01-07,11,0,SCED,0.076308
2035-01-07,12,0,SCED,0.070904
2035-01-07,13,0,SCED,0.072966
2035-01-07,14,0,SCED,0.07377
2035-01-07,15,0,SCED,0.081618
2035-01-07,16,0,SCED,0.067411
2035-01-07,17,0,SCED,0.067062
2035-01-07,18,0,SCED,0.059398
2035-01-07,19,0,SCED,0.051774
2035-01-07,20,0,SCED,0.04674
2035-01-07,21,0,SCED,0.04055
2035-01-07,22,0,SCED,0.039721
2035-01-07,23,0,SCED,0.037594
2035-01-08,0,0,SCED,0.036226
2035-01-08,1,0,SCED,0.039363
2035-01-08,2,0,SCED,0.040856
2035-01-08,3,0,SCED,0.041385
2035-01-08,4,0,SCED,0.04499
2035-01-08,5,0,SCED,0.046038
2035-01-08,6,0,SCED,0.044824
2035-01-08,7,0,SCED,0.045102
2035-01-08,8,0,SCED,0.042432
2035-01-08,9,0,SCED,0.051513
2035-01-08,10,0,SCED,0.058781
2035-01-08,11,0,SCED,0.060011
2035-01-08,12,0,SCED,0.049084
2035-01-08,13,0,SCED,0.062969
2035-01-08,14,0,SCED,0.046706
2035-01-08,15,0,SCED,0.055583
2035-01-08,16,0,SCED,0.044881
2035-01-08,17,0,SCED,0.042584
2035-01-08,18,0,SCED,0.059708
2035-01-08,19,0,SCED,0.066709
2035-01-08,20,0,SCED,0.045864
2035-01-08,21,0,SCED,0.043026
2035-01-08,22,0,SCED,0.053614
2035-01-08,23,0,SCED,0.05572
2035-01-09,0,0,SCED,0.051889
2035-01-09,1,0,SCED,0.037996
2035-01-09,2,0,SCED,0.043488
2035-01-09,3,0,SCED,0.042048
2035-01-09,4,0,SCED,0.045952
2035-01-09,5,0,SCED,0.044498
2035-01-09,6,0,SCED,0.046079
2035-01-09,7,0,SCED,0.044871
2035-01-09,8,0,SCED,0.043455
2035-01-09,9,0,SCED,0.055793
2035-01-09,10,0,SCED,0.069648
2035-01-09,11,0,SCED,0.057026
2035-01-09,12,0,SCED,0.064613
2035-01-09,13,0,SCED,0.065175
2035-01-09,14,0,SCED,0.064142
2035-01-09,15,0,SCED,0.065148
2035-01-09,16,0,SCED,0.083582
2035-01-09,17,0,SCED,0.094397
2035-01-09,18,0,SCED,0.096422
2035-01-09,19,0,SCED,0.070496
2035-01-09,20,0,SCED,0.0711
2035-01-09,21,0,SCED,0.082549
2035-01-09,22,0,SCED,0.060525
2035-01-09,23,0,SCED,0.054268
2035-01-10,0,0,SCED,0.054757
2035-01-10,1,0,SCED,0.059208
2035-01-10,2,0,SCED,0.055947
2035-01-10,3,0,SCED,0.059346
2035-01-10,4,0,SCED,0.064523
2035-01-10,5,0,SCED,0.066692
2035-01-10,6,0,SCED,0.062573
2035-01-10,7,0,SCED,0.070529
2035-01-10,8,0,SCED,0.058987
2035-01-10,9,0,SCED,0.055652
2035-01-10,10,0,SCED,0.052509
2035-01-10,11,0,SCED,0.043023
2035-01-10,12,0,SCED,0.062243
2035-01-10,13,0,SCED,0.045246
2035-01-10,14,0,SCED,0.038963
2035-01-10,15,0,SCED,0.036027
2035-01-10,16,0,SCED,0.045899
2035-01-10,17,0,SCED,0.045883
2035-01-10,18,0,SCED,0.05542
2035-01-10,19,0,SCED,0.055342
2035-01-10,20,0,SCED,0.045673
2035-01-10,21,0,SCED,0.042213
2035-01-10,22,0,SCED,0.041423
2035-01-10,23,0,SCED,0.04689
2035-01-11,0,0,SCED,0.047686
2035-01-11,1,0,SCED,0.050389
2035-01-11,2,0,SCED,0.047995
2035-01-11,3,0,SCED,0.045043
