Year,Month,Day,Period,19,20,23,24,31,41,52,53,55,63,64,65,68,74,77,78,79,80,81,82,83,84,88,89,90,91,92,95,96,97,99,102,103,104,109,110,113,115,117,119,120,125,128,131,132,133,134,135,136,139,140,141,143,145,146,157,159,162,163,169,192,194,199,204,205,206,236,237,245,247,248,249,251,252,266,267,270,272,274,275,279,281,wind_1-c,wind_3-c,wind_6-c,wind_7-c,wind_8-c,wind_12-c,wind_13-c,wind_14-c,wind_15-c,wind_17-c,wind_18-c,wind_19-c,wind_22-c,wind_23-c,wind_25-c,wind_26-c,wind_27-c,wind_28-c,wind_29-c,wind_30-c,wind_31-c,wind_32-c,wind_33-c,wind_34-c,wind_35-c,wind_36-c,wind_38-c,wind_40-c,wind_42-c,wind_43-c,wind_44-c,wind_46-c,wind_48-c,wind_49-c,wind_50-c,wind_52-c,wind_53-c,wind_54-c,wind_55-c,wind_57-c,wind_58-c,wind_59-c,wind_61-c,wind_62-c,wind_63-c,wind_65-c,wind_66-c,wind_68-c,wind_70-c,wind_71-c,wind_74-c,wind_76-c,wind_77-c,wind_78-c,wind_79-c,wind_80-c,wind_81-c,wind_82-c,wind_83-c,wind_85-c,wind_86-c,wind_87-c,wind_88-c,wind_89-c,wind_90-c,wind_91-c,wind_92-c,wind_93-c,wind_94-c,wind_98-c,wind_99-c,wind_100-c,wind_101-c,wind_102-c,wind_106-c,wind_107-c,wind_108-c,wind_110-c,wind_111-c,wind_112-c,wind_113-c,wind_115-c,wind_117-c,wind_118-c,wind_119-c,wind_120-c
2035,1,1,1,0.0,0.0,56.49,99.95,8.763250342345563,4.67,9.290517110934905,14.755574914872074,143.41,170.0,200.0,0.0,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,9.51,1.1041724052489603,7.140307078803263,0.0,21.034474794083927,18.29172524868263,3.401230827148757,0.0,338.6,110.19723607487558,110.19723607487558,6.878387352823202,200.0,117.6,90.45,129.54,12.271494969229721,18.04874484302033,0.0,0,0.0,0.0,6.04,250.6,230.0,40.73,1.236086554372566,268.0,250.0,0,14.06,175.64001170289956,0,332.6,176.5,0.0,0.0,0.0,22.86731617065382,0.0,0.0,0.0,0.0,0.0,0.0,3.7713721915908005,0.0,3.91,4.8,533.1425112883169,372.20002116894113,683.2150112006032,944.7050110957969,137.46674376780743,3.9309949180165074,0.0,0.0,56.49,99.95,9.14,4.67,9.69,15.39,143.41,170.0,200.0,0.0,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,9.51,3.62,22.27,0.0,24.15,21.0,3.9,0.0,338.6,143.72,143.72,9.58,200.0,117.6,90.45,129.54,30.0,44.1,0.0,0,0.0,0.0,6.04,250.6,230.0,40.73,2.04,268.0,250.0,0,14.06,185.4,0,332.6,176.5,0.0,0.0,0.0,65.45,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,3.91,4.8,579.0,480.32,746.4,1039.0,264.6,4.1,0.0,0.0,0.0,0.0
2035,1,1,2,0.0,0.0,108.8,192.5,38.993587683062806,13.69,41.5149010220311,67.85263396526943,276.23,170.0,200.0,0.0,8.887476917155796,2.94,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,29.18,3.9927118189803563,25.803857822276008,0.57,21.034474794083927,18.29172524868263,3.401230827148757,15.46,338.6,64.68298660782426,64.68298660782426,4.135648345747562,200.0,117.6,174.2,249.5,12.271494969229721,18.04874484302033,0.0,0,0.0,0.0,17.68,250.6,230.0,96.32,5.77446316822086,268.0,250.0,0,25.6,175.64001170289956,0,332.6,176.5,0.0,53.03,81.8,82.62281020681765,0.0,7.04,0.0,0.0,0.71,0.0,2.5561522631893205,0.0,11.45,14.07,533.1425112883169,218.01814614399066,683.2150112006032,944.7050110957969,137.46674376780743,16.097903578901747,0.0,0.0,108.8,192.5,40.67,13.69,43.3,70.77,276.23,170.0,200.0,0.0,10.2,2.94,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,29.18,13.09,80.48,0.57,24.15,21.0,3.9,15.46,338.6,84.36,84.36,5.76,200.0,117.6,174.2,249.5,30.0,44.1,0.0,0,0.0,0.0,17.68,250.6,230.0,96.32,9.53,268.0,250.0,0,25.6,185.4,0,332.6,176.5,0.0,53.03,81.8,236.48,0.0,7.04,0.0,0.0,0.71,0.0,6.71,0.0,11.45,14.07,579.0,281.35,746.4,1039.0,264.6,16.79,7.04,0.0,0.0,0.71
2035,1,1,3,0.0,0.0,108.8,192.5,22.550508539602586,13.12,23.9022282327768,37.967561184466156,545.86,170.0,200.0,0.0,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,20.26,4.578350221764335,29.59363912768483,0.0,21.034474794083927,18.29172524868263,3.401230827148757,23.45,338.6,71.12368228712398,71.12368228712398,3.561252742171512,200.0,117.6,174.2,249.5,12.271494969229721,18.04874484302033,0.0,0,0.0,0.0,16.94,250.6,230.0,71.92,5.513915512152133,268.0,250.0,0,39.45,175.64001170289956,0,332.6,176.5,2.23,92.6,115.14,94.76048115820824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97,13.48,533.1425112883169,310.06078129232264,683.2058577304638,944.6959186510318,137.46674376780743,10.12470886201325,0.0,0.0,108.8,192.5,23.52,13.12,24.93,39.6,545.86,170.0,200.0,0.0,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,20.26,15.01,92.3,0.0,24.15,21.0,3.9,23.45,338.6,92.76,92.76,4.96,200.0,117.6,174.2,249.5,30.0,44.1,0.0,0,0.0,0.0,16.94,250.6,230.0,71.92,9.1,268.0,250.0,0,39.45,185.4,0,332.6,176.5,2.23,92.6,115.14,271.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97,13.48,579.0,400.13,746.39,1038.99,264.6,10.56,0.0,0.0,0.0,0.0
2035,1,1,4,0.0,0.0,108.8,192.5,28.868869563241237,14.75,30.59446862847604,48.60998363768773,623.0,170.0,200.0,0.0,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,31.98,5.2737958250703105,34.09841301440175,0.0,21.034474794083927,18.29172524868263,3.401230827148757,41.41,338.6,60.43519445742897,60.43519445742897,2.9078777431037546,200.0,117.6,174.2,249.5,12.271494969229721,18.04874484302033,0.0,0,0.0,0.36299994245079653,19.05,250.6,230.0,49.82,5.744166929143102,268.0,250.0,0,48.75,175.64001170289956,0,332.6,176.5,5.75,171.27,219.08,109.19012451723043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.34,15.16,533.1425112883169,249.4945886404147,683.2150112006032,944.7050110957969,137.46674376780743,12.953107644488542,0.0,0.0,108.8,192.5,30.11,14.75,31.91,50.7,623.0,170.0,200.0,0.0,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,31.98,17.29,106.35,0.0,24.15,21.0,3.9,41.41,338.6,78.82,78.82,4.05,200.0,117.6,174.2,249.5,30.0,44.1,0.0,0,0.0,1.21,19.05,250.6,230.0,49.82,9.48,268.0,250.0,0,48.75,185.4,0,332.6,176.5,5.75,171.27,219.08,312.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.34,15.16,579.0,321.97,746.4,1039.0,264.6,13.51,0.0,0.0,0.0,0.0
2035,1,1,5,25.32,30.7,98.16,162.22,35.95425468686637,19.01,38.11125440244194,60.546754767652466,623.0,170.0,200.0,0.6149999382776539,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,84.17,6.085149028927281,39.337416950982146,0.0,21.034474794083927,18.29172524868263,3.401230827148757,70.49,338.6,34.50372685339132,34.50372685339132,2.1539835134101883,200.0,117.6,148.85,202.15,12.271494969229721,18.04874484302033,2.5126132908870384,0,3.4652978331955677,0.8369998673039027,24.55,250.6,230.0,64.2,6.48339516264042,268.0,250.0,0,48.75,175.64001170289956,0,332.6,176.5,11.79,304.45,372.92,125.95716046879157,0.0,0.0,2.1498505902552787,1.6289999669551538,0.0,4.142119911565176,3.340902436389022,3.968999937381974,15.89,19.53,533.1425112883169,116.5372276473956,683.2150112006032,944.7050110957969,137.46674376780743,16.136254748833615,25.32,30.7,98.16,162.22,37.5,19.01,39.75,63.15,623.0,170.0,200.0,2.05,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,84.17,19.95,122.69,0.0,24.15,21.0,3.9,70.49,338.6,45.0,45.0,3.0,200.0,117.6,148.85,202.15,30.0,44.1,2.82,0,3.89,2.79,24.55,250.6,230.0,64.2,10.7,268.0,250.0,0,48.75,185.4,0,332.6,176.5,11.79,304.45,372.92,360.51,0.0,0.0,2.46,5.43,0.0,4.74,8.77,13.23,15.89,19.53,579.0,150.39,746.4,1039.0,264.6,16.83,0.0,2.46,5.43,0.0
2035,1,1,6,42.5,51.55,108.8,192.5,35.01465016438293,21.31,37.11412975895667,58.964773051633045,460.36,170.0,200.0,0.7709999226212538,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,36.0,6.417620830507769,41.479188450147205,0.0,21.034474794083927,18.29172524868263,3.401230827148757,93.96,338.6,81.39045789972198,81.39045789972198,3.6689519178420213,200.0,117.6,174.2,249.5,12.271494969229721,18.04874484302033,1.844365075225592,0,2.627925092012063,0.9749998454256932,27.51,250.6,230.0,107.65,7.792192690799608,268.0,250.0,0,48.75,175.64001170289956,0,332.6,176.5,17.34,395.39,497.04,132.82259611055395,0.0,0.0,3.294689725716423,2.2109999551490764,0.0,6.335520961782179,4.578979165951659,4.964999921668304,17.82,21.89,533.1425112883169,282.77654839475764,683.2150112006032,944.7050110957969,137.46674376780743,15.714391879583065,42.5,51.55,108.8,192.5,36.52,21.31,38.71,61.5,460.36,170.0,200.0,2.57,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,36.0,21.04,129.37,0.0,24.15,21.0,3.9,93.96,338.6,106.15,106.15,5.11,200.0,117.6,174.2,249.5,30.0,44.1,2.07,0,2.95,3.25,27.51,250.6,230.0,107.65,12.86,268.0,250.0,0,48.75,185.4,0,332.6,176.5,17.34,395.39,497.04,380.16,0.0,0.0,3.77,7.37,0.0,7.25,12.02,16.55,17.82,21.89,579.0,364.92,746.4,1039.0,264.6,16.39,0.0,3.77,7.37,0.0
2035,1,1,7,67.73,82.14,108.8,192.5,33.26008253566385,25.12,35.25410878937838,55.98297721113583,186.9,170.0,200.0,0.9479999048572617,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,36.0,6.795845632305756,43.93517193571672,0.0,21.034474794083927,18.29172524868263,3.401230827148757,123.37,338.6,105.3743818102571,105.3743818102571,3.913070049361843,200.0,117.6,174.2,249.5,12.271494969229721,18.04874484302033,2.6373529578105086,0,3.527655377751786,1.1249998216450305,32.44,250.6,230.0,167.34,9.391834114105283,268.0,250.0,0,48.75,175.64001170289956,0,332.6,176.5,24.47,510.32,652.65,140.6802880995227,0.0,0.0,5.663021067013905,3.2099999348840047,0.0,10.897096054265349,6.47990312918783,6.119999903446127,21.01,25.82,533.1425112883169,375.78780868145816,683.2150112006032,944.7050110957969,137.46674376780743,14.956956273428665,67.73,82.14,108.8,192.5,34.69,25.12,36.77,58.39,186.9,170.0,200.0,3.16,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,36.0,22.28,137.03,0.0,24.15,21.0,3.9,123.37,338.6,137.43,137.43,5.45,200.0,117.6,174.2,249.5,30.0,44.1,2.96,0,3.96,3.75,32.44,250.6,230.0,167.34,15.5,268.0,250.0,0,48.75,185.4,0,332.6,176.5,24.47,510.32,652.65,402.65,0.0,0.0,6.48,10.7,0.0,12.47,17.01,20.4,21.01,25.82,579.0,484.95,746.4,1039.0,264.6,15.6,0.0,6.48,10.7,0.0
2035,1,1,8,102.4,124.19,108.8,192.5,77.69954132863069,22.47,82.35866045710097,130.8922084066495,186.9,170.0,200.0,1.1639998831791694,8.887476917155796,0.0,197.66252245691845,149.4325227474304,86.47751723115285,139.84751829848287,182.8375224050954,128.97501721267344,287.6000221660189,0,170.6,164.0,220.2,785.5,282.5,36.0,7.161869634045742,46.29496807850935,0.0,21.034474794083927,18.29172524868263,3.401230827148757,158.84,338.6,58.21928844395563,58.21928844395563,2.232962908901895,200.0,117.6,174.2,249.5,12.271494969229721,18.04874484302033,4.454988104409643,0,5.968507836095194,1.2959997945350754,29.02,250.6,230.0,108.39,11.282319432557443,268.0,237.53,0,48.75,175.64001170289956,0,332.6,176.5,33.41,649.64,840.25,148.23401423565005,0.0,0.0,9.822894566857451,4.787999902873712,0.0,18.88422179091212,9.123673130161583,7.517999881390193,18.79,23.09,533.1425112883169,209.3470139053155,683.2150112006032,944.7050110957969,137.46674376780743,34.842037883102414,102.4,124.19,108.8,192.5,81.04,22.47,85.9,136.52,186.9,170.0,200.0,3.88,10.2,0.0,200.0,151.2,87.5,141.5,185.0,130.5,291.0,0,170.6,164.0,220.2,785.5,282.5,36.0,23.48,144.39,0.0,24.15,21.0,3.9,158.84,338.6,75.93,75.93,3.11,200.0,117.6,174.2,249.5,30.0,44.1,5.0,0,6.7,4.32,29.02,250.6,230.0,108.39,18.62,268.0,237.53,0,48.75,185.4,0,332.6,176.5,33.41,649.64,840.25,424.27,0.0,0.0,11.24,15.96,0.0,21.61,23.95,25.06,18.79,23.09,579.0,270.16,746.4,1039.0,264.6,36.34,0.0,11.24,15.96,0.0
2035,1,1,9,207.92,258.78,108.8,192.5,28.926396370740225,13.5,30.66158278717216,48.705861317446484,186.9,96.01,112.86,1.3649998630065001,8.887476917155796,2.28,145.44996714992342,109.8210444953338,63.35095833733597,102.74592227781115,134.49923472491585,94.72004329243389,211.89499914912184,0,123.33,119.02,155.3,486.84,194.81,36.0,8.92488524242668,57.69637444232812,0.44,21.034474794083927,18.29172524868263,3.401230827148757,165.48,338.6,108.53338969105648,108.53338969105648,5.262899717765561,112.86,66.59,174.2,249.5,12.271494969229721,18.04874484302033,9.079265756786851,0,12.159721188462596,1.7219997269979936,17.44,250.6,230.0,41.83,13.869618249798059,268.0,192.06,0,48.75,175.64001170289956,0,332.6,176.5,39.0,673.8,875.39,184.74834904076891,0.0,5.47,15.337348723162659,6.338999871411123,0.55,29.484203758693894,9.809377164996274,8.804999861085482,11.29,13.88,533.1425112883169,379.73979924600184,683.2150112006032,944.7050110957969,137.46674376780743,12.981871021937442,207.92,258.78,108.8,192.5,30.17,13.5,31.98,50.8,186.9,96.01,112.86,4.55,10.2,2.28,147.17,111.12,64.1,103.96,136.09,95.84,214.4,0,123.33,119.02,155.3,486.84,194.81,36.0,29.26,179.95,0.44,24.15,21.0,3.9,165.48,338.6,141.55,141.55,7.33,112.86,66.59,174.2,249.5,30.0,44.1,10.19,0,13.65,5.74,17.44,250.6,230.0,41.83,22.89,268.0,192.06,0,48.75,185.4,0,332.6,176.5,39.0,673.8,875.39,528.78,0.0,5.47,17.55,21.13,0.55,33.74,25.75,29.35,11.29,13.88,579.0,490.05,746.4,1039.0,264.6,13.54,5.47,17.55,21.13,0.55
2035,1,1,10,310.69,385.8,108.8,192.5,35.436513419375494,21.27,37.59351660678613,60.048190832906954,186.9,51.0,60.0,1.6679998325969538,16.659662613335183,4.28,59.298756737075536,44.82975682422912,25.943255169345854,41.95425548954486,54.851256721528614,38.692505163802025,86.28000664980567,0,155.83,148.85,208.93,785.09,276.23,36.0,9.113997643325671,58.91474745083519,0.83,39.36887207836826,34.24036759646258,6.392569734102664,165.56,338.6,64.63698163868641,64.63698163868641,4.114108510613461,60.0,35.28,174.2,249.5,12.271494969229721,18.04874484302033,18.274361204288358,0,24.47979034864118,2.2469996437656747,27.47,250.6,230.0,78.23,16.99013087480723,243.76,153.55,0,48.75,175.64001170289956,0,332.6,130.37,39.0,404.71,932.43,188.64749722204468,2.132012617434116,10.26,27.511096171234215,9.665999803921741,1.03,52.89504604367936,11.375068044535485,10.769999830084116,17.79,21.86,533.1425112883169,217.98715013956286,683.2150112006032,944.7050110957969,137.46674376780743,15.7910942194468,310.69,385.8,108.8,192.5,36.96,21.27,39.21,62.63,186.9,51.0,60.0,5.56,19.12,4.28,60.0,45.36,26.25,42.45,55.5,39.15,87.3,0,155.83,148.85,208.93,785.09,276.23,36.0,29.88,183.75,0.83,45.2,39.31,7.33,165.56,338.6,84.3,84.3,5.73,60.0,35.28,174.2,249.5,30.0,44.1,20.51,0,27.48,7.49,27.47,250.6,230.0,78.23,28.04,243.76,153.55,0,48.75,185.4,0,332.6,130.37,39.0,404.71,932.43,539.94,5.53,10.26,31.48,32.22,1.03,60.53,29.86,35.9,17.79,21.86,579.0,281.31,746.4,1039.0,264.6,16.47,10.26,31.48,32.22,1.03
