Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.30299,263356.198379,262480.295897,63.80329,12.134471,4012625.542819,4036682.559903,0.0,10527.900037,0.0,875.902482,211,12952.92,59318.065608,-59177164.652253,0.0,12517429.169909,0.0,-46659735.482344,0.0,0.0,-46659735.482344,-70.340359
2035-01-02,726983.002141,128407.547343,128407.547343,21.452191,15.944482,6003763.675641,5587603.503544,0.0,0.0,0.0,0.0,28,2497.92,37885.367549,2293762.579575,0.0,13248292.975869,0.0,15542055.555445,0.0,0.0,15542055.555445,21.378843
2035-01-03,682109.488632,133837.248381,133352.748381,24.135372,14.678273,5098491.632625,4913697.964847,0.0,3763.233319,0.0,484.5,112,11616.78,53231.415052,-13739962.103941,0.0,12148064.996982,0.0,-1591897.106959,0.0,0.0,-1591897.106959,-2.333785
2035-01-04,656650.15701,127642.522017,127091.022017,23.947024,14.44548,5016577.056408,4469049.749027,0.0,1158.270368,0.0,551.5,101,8825.97,44289.616415,-6163449.153332,0.0,11403116.448004,0.0,5239667.294672,0.0,0.0,5239667.294672,7.979389
2035-01-05,637031.206365,141013.09553,140882.59553,28.393342,13.357508,4556344.587647,3952804.58581,0.0,33.189736,0.0,130.5,102,9317.19,43324.21856,507353.61723,0.0,10523129.640618,0.0,11030483.257848,0.0,0.0,11030483.257848,17.315452
2035-01-06,592596.149866,268788.467946,267681.87004,80.084212,10.066103,3113470.1575,2851663.551498,0.0,9336.208239,0.0,1106.597906,88,9392.1,46939.25749,-58332181.04912,0.0,10367801.451262,0.0,-47964379.597859,0.0,0.0,-47964379.597859,-80.939405
2035-01-07,569691.449412,251897.749155,250931.307639,75.637237,11.214865,3401316.795161,2987695.812641,0.0,12996.170399,0.0,966.441516,106,15656.67,49856.458714,-63150289.918307,0.0,10183377.326069,0.0,-52966912.592238,0.0,0.0,-52966912.592238,-92.974737
2035-01-08,582052.849976,166389.235216,166143.433266,39.774311,12.932225,4206540.6869,3320697.996599,0.0,1806.010974,0.0,245.80195,106,10411.74,41211.546627,-14929628.436409,0.0,9910216.640632,0.0,-5019411.795777,0.0,0.0,-5019411.795777,-8.623636
2035-01-09,603907.619855,186317.07002,185925.57002,44.436504,11.551546,3889868.89087,3086197.721147,0.0,425.234636,0.0,391.5,104,12519.51,40335.604703,-4050289.596072,0.0,8730510.762409,0.0,4680221.166337,0.0,0.0,4680221.166337,7.749896
2035-01-10,638003.835054,181393.681829,181141.681829,39.468436,12.665067,4365723.403207,3714637.609223,0.0,2091.124781,0.0,252.0,77,6888.27,53588.880901,-20425727.012522,0.0,11575093.619671,0.0,-8850633.39285,0.0,0.0,-8850633.39285,-13.872383
2035-01-11,620297.209111,247788.235384,246878.935384,65.581191,11.277314,3933682.286609,3061603.888411,0.0,3029.502288,0.0,909.3,142,15792.18,54252.730867,-28701167.446448,0.0,9611199.210053,0.0,-19089968.236394,0.0,0.0,-19089968.236394,-30.775519
2035-01-12,602320.734327,227926.785961,227167.285961,59.328448,11.808207,3888164.27425,3224163.618566,0.0,7744.293131,0.0,759.5,126,16131.63,50362.468524,-52325896.900638,0.0,12009477.558335,0.0,-40316419.342303,0.0,0.0,-40316419.342303,-66.935134
2035-01-13,659410.430059,134431.324731,133931.333572,25.346251,14.279425,4815135.257349,4600866.431706,0.0,2927.775295,0.0,499.991159,96,9814.62,38956.352312,-12694515.03215,0.0,11602122.561875,0.0,-1092392.470274,0.0,0.0,-1092392.470274,-1.65662
