Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.30299,292562.0,291141.736612,75.180459,11.353181,3891534.348716,3639510.557357,0.0,15056.628529,0.0,1420.263388,207,13775.34,50218.060268,-71324418.941686,0.0,12137248.146294,0.0,-59187170.795392,0.0,0.0,-59187170.795392,-89.225684
2035-01-02,726983.002141,142262.98,142174.48,24.310628,15.544558,5816776.568676,5483853.08738,0.0,15.853031,0.0,88.5,107,8945.73,49452.373315,353955.492697,0.0,12973548.188289,0.0,13327503.680986,0.0,0.0,13327503.680986,18.332621
2035-01-03,682109.488632,152723.58,151802.13372,28.384723,15.213911,5302916.57804,5074636.59585,0.0,4494.884578,0.0,921.44628,117,9936.81,48035.541316,-14375779.947387,0.0,11916608.323159,0.0,-2459171.624228,0.0,0.0,-2459171.624228,-3.605245
2035-01-04,656650.15701,139478.41,139001.997765,26.761295,14.224926,4822703.464471,4518096.292287,0.0,1766.167267,0.0,476.412235,114,11131.74,55974.282538,-8882528.780428,0.0,11370321.417561,0.0,2487792.637133,0.0,0.0,2487792.637133,3.788612
2035-01-05,637031.206365,156076.56,155605.06,32.299071,13.182155,4529912.529929,3867531.491666,0.0,337.125755,0.0,471.5,102,9867.72,46399.719898,-4437138.056087,0.0,10366046.333752,0.0,5928908.277664,0.0,0.0,5928908.277664,9.307092
2035-01-06,592596.149866,302090.55,299818.156539,97.539201,9.736681,3000565.778423,2769353.687013,0.0,14604.220489,0.0,2272.393461,88,9956.22,35534.399009,-72598477.345531,0.0,10584848.413545,0.0,-62013628.931985,0.0,0.0,-62013628.931985,-104.647371
2035-01-07,569691.449412,277498.85,276313.742389,88.791551,11.438329,3464946.030636,3051372.100622,0.0,17816.027532,0.0,1185.107611,128,17847.0,42893.056949,-77988446.757959,0.0,11223966.58808,0.0,-66764480.16988,0.0,0.0,-66764480.16988,-117.194106
2035-01-08,582052.849976,182658.23,182140.73,45.134685,13.478542,4321782.538597,3523441.067245,0.0,3637.23262,0.0,517.5,123,11890.47,41736.471464,-25005506.407619,0.0,10627314.824523,0.0,-14378191.583097,0.0,0.0,-14378191.583097,-24.702553
2035-01-09,603907.619855,208967.33,208370.83,52.56355,10.862569,3810894.404589,2749093.820341,0.0,880.1764,0.0,596.5,107,14127.15,41976.577698,-4284389.74245,0.0,8153145.755114,0.0,3868756.012664,0.0,0.0,3868756.012664,6.406205
2035-01-10,638003.835054,203753.65,203291.65,46.252378,12.185283,4137805.13654,3636452.192366,0.0,4814.731148,0.0,462.0,74,7443.15,36078.684332,-39901589.226929,0.0,12420499.228721,0.0,-27481089.998208,0.0,0.0,-27481089.998208,-43.07355
2035-01-11,620297.209111,280481.62,278546.000624,80.154568,10.494918,3599018.244395,2910950.12981,0.0,5759.864872,0.0,1935.619376,124,12232.29,48665.343343,-42034968.632546,0.0,9577188.72831,0.0,-32457779.904235,0.0,0.0,-32457779.904235,-52.326174
2035-01-12,602320.734327,250561.6,248386.560508,67.830879,11.559296,3837585.517466,3124818.336312,0.0,12250.909244,0.0,2175.039492,139,19015.2,47687.299075,-66443184.51484,0.0,11708666.221714,0.0,-54734518.293126,0.0,0.0,-54734518.293126,-90.872711
2035-01-13,659410.430059,151051.91,150399.41,29.328445,14.137302,4787835.333695,4534448.884829,0.0,3799.692413,0.0,652.5,100,10878.63,47105.270704,-13242852.44676,0.0,11318283.474663,0.0,-1924568.972097,0.0,0.0,-1924568.972097,-2.918621
