Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2035-01-01,0,0.0,0.0,9484.293406,1347.453249
2035-01-01,1,0.0,0.0,10343.780198,1251.92276
2035-01-01,2,0.0,0.0,10393.895265,1288.836227
2035-01-01,3,0.0,0.0,10260.185608,1257.771331
2035-01-01,4,0.0,0.0,10133.646922,1184.207305
2035-01-01,5,0.0,0.0,9412.06227,1271.918824
2035-01-01,6,0.0,0.0,9239.600475,1307.347865
2035-01-01,7,0.0,0.0,10368.48978,1188.358808
2035-01-01,8,0.0,0.0,10616.241638,1006.621638
2035-01-01,9,0.0,0.0,10324.872716,889.535143
2035-01-01,10,0.0,0.0,7601.247833,0.0
2035-01-01,11,0.0,0.0,7461.355527,542.195272
2035-01-01,12,0.0,0.0,7417.036715,1122.963508
2035-01-01,13,0.0,0.0,6370.592665,482.06438
2035-01-01,14,0.0,0.0,4790.225355,520.749946
2035-01-01,15,0.0,0.0,4050.330064,394.682274
2035-01-01,16,0.0,0.0,7553.815805,0.0
2035-01-01,17,0.0,0.0,14482.854789,0.0
2035-01-01,18,0.0,0.0,14162.379529,0.0
2035-01-01,19,0.0,0.0,14937.393546,0.0
2035-01-01,20,0.0,0.0,17441.678526,0.0
2035-01-01,21,0.0,0.0,16599.378913,0.0
2035-01-01,22,0.0,0.0,17231.179788,0.0
2035-01-01,23,0.0,0.0,17918.250581,0.0
2035-01-02,0,0.0,0.0,17081.408485,0.0
2035-01-02,1,0.0,0.0,17277.318794,0.0
2035-01-02,2,0.0,0.0,17236.890412,0.0
2035-01-02,3,0.0,0.0,17798.951135,0.0
2035-01-02,4,0.0,0.0,17442.930422,0.0
2035-01-02,5,0.0,0.0,17354.067211,0.0
2035-01-02,6,0.0,0.0,17907.265859,0.0
2035-01-02,7,0.0,0.0,17710.238609,0.0
2035-01-02,8,0.0,0.0,17518.261001,0.0
2035-01-02,9,0.0,0.0,18843.428574,0.0
2035-01-02,10,0.0,0.0,20225.329017,0.0
2035-01-02,11,0.0,0.0,18928.671318,0.0
2035-01-02,12,0.0,0.0,18072.715128,0.0
2035-01-02,13,0.0,0.0,15032.344728,0.0
2035-01-02,14,0.0,0.0,12244.680438,15.853031
2035-01-02,15,0.0,0.0,14555.44311,0.0
2035-01-02,16,0.0,0.0,17821.021497,0.0
2035-01-02,17,0.0,0.0,17655.268637,0.0
2035-01-02,18,0.0,0.0,17531.042067,0.0
2035-01-02,19,0.0,0.0,18009.819683,0.0
2035-01-02,20,0.0,0.0,18869.824027,0.0
2035-01-02,21,0.0,0.0,19701.968906,0.0
2035-01-02,22,0.0,0.0,20317.690233,0.0
2035-01-02,23,0.0,0.0,18649.348189,0.0
2035-01-03,0,0.0,0.0,18372.108081,0.0
2035-01-03,1,0.0,0.0,18353.878188,0.0
